smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;7;-0,39617152;-0,38543572;-0,01073581;0,6880428;0,6874213;0,00062144;26,17;26,19;-0,02;0,05569824;0,02066022;0,03503802;0,00492467;0,00169294;0,00323172
CCW;22,5;6;-0,3889;-0,38335;-0,00555003;0,66313324;0,65864176;0,00449151;26,19;26,2;-0,02;0,05543661;0,02204997;0,03338664;-0,00200277;0,00868571;-0,01068848
CCW;45;5;-0,38319008;-0,38107004;-0,00212002;0,68807008;0,6837401;0,00432998;26,15;26,18;-0,02;0,05296338;0,02577881;0,02718457;-0,00846094;0,01473438;-0,02319531
CCW;67,5;4;-0,38859996;-0,39143748;0,00283751;0,65092504;0,64562492;0,0053001;26,16;26,17;0;0,04679016;0,03059143;0,01619873;-0,01264343;0,01956482;-0,03220825
CCW;90;1;-0,4085;-0,40280016;-0,00569987;0,5942499;0,58909992;0,00514996;26,26;26,3;-0,04;0,03996338;0,03564453;0,00431885;-0,01315674;0,02139404;-0,03455078
CCW;112,5;6;-0,3907833;-0,3961;0,0053167;0,6468666;0,63854984;0,00831676;26,2;26,22;-0,02;0,03270996;0,04365682;-0,01094685;-0,01362508;0,02075602;-0,0343811
CCW;135;4;-0,378525;-0,38379996;0,00527498;0,69121268;0,69678752;-0,00557488;26,14;26,15;-0,01;0,02677856;0,04896667;-0,02218811;-0,01091309;0,01706299;-0,02797607
CCW;157,5;2;-0,390175;-0,394275;0,0041;0,6631001;0,65687516;0,00622499;26,2;26,22;-0,01;0,02198242;0,05401367;-0,03203125;-0,00508545;0,01179321;-0,01687866
CCW;180;9;-0,38645564;-0,39239448;0,00593886;0,64052224;0,6403611;0,00016117;26,23;26,25;-0,01;0,01978624;0,05631809;-0,03653184;0,00179525;0,00513889;-0,00334364
CCW;202,5;2;-0,37585;-0,382775;0,00692499;0,7357499;0,7278;0,00794989;26,05;26,07;-0,02;0,02125488;0,05572265;-0,03446777;0,00874268;-0,00166748;0,01041016
CCW;225;2;-0,37402504;-0,38224996;0,0082249;0,72587512;0,72597516;-0,00010002;26,13;26,13;0;0,02532349;0,05165405;-0,02633057;0,01523193;-0,0081897;0,02342163
CCW;247,5;1;-0,38144996;-0,3762;-0,00524995;0,7380003;0,7399502;-0,00194991;26,1;26,04;0,05;0,03073242;0,04806641;-0,01733399;0,01935059;-0,01272949;0,03208008
CCW;270;3;-0,3945;-0,38858332;-0,00591666;0,6673667;0,67320016;-0,00583345;26,15;26,18;-0,03;0,0362614;0,04183838;-0,00557698;0,02128906;-0,0146875;0,03597656
CCW;292,5;4;-0,39357492;-0,38701244;-0,00656247;0,6828251;0,69237508;-0,00954998;26,16;26,15;0,01;0,04400208;0,03357727;0,01042481;0,02062439;-0,01401184;0,03463623
CCW;315;6;-0,3903167;-0,3864417;-0,00387499;0,63840836;0,63815824;0,0002501;26,21;26,2;0,01;0,04933594;0,02683146;0,02250448;0,01712443;-0,01025106;0,02737549
CCW;337,5;3;-0,39590004;-0,3911332;-0,00476682;0,63255;0,6324334;0,00011659;26,27;26,27;0;0,05410482;0,02253581;0,03156901;0,01129069;-0,00501465;0,01630534
CW;0;7;-0,38701432;-0,38765008;0,00063574;0,6653999;0,6668642;-0,00146431;26,14;26,16;-0,02;0,05590611;0,02192243;0,03398368;0,00487828;0,00126221;0,00361607
CW;22,5;1;-0,4088002;-0,38924992;-0,01955029;0,5805;0,57060004;0,00989997;26,3;26,3;0;0,0554834;0,02172852;0,03375488;-0,00159912;0,0087207;-0,01031982
CW;45;6;-0,391425;-0,3896834;-0,00174162;0,66776676;0,66007492;0,0076918;26,2;26,19;0,01;0,05203654;0,02463175;0,02740479;-0,00843018;0,01449097;-0,02292114
CW;67,5;13;-0,39697696;-0,3938923;-0,00308466;0,6704461;0,66285384;0,00759226;26,19;26,19;0;0,0472568;0,03075571;0,01650109;-0,01275034;0,01922382;-0,03197416
CW;90;2;-0,3880999;-0,38785;-0,00024989;0,63952508;0,63169984;0,0078252;26,14;26,15;-0,01;0,03921509;0,03871582;0,00049927;-0,01427612;0,02159058;-0,0358667
CW;112,5;6;-0,3856;-0,38788332;0,00228333;0,6570249;0,6547582;0,00226671;26,17;26,19;-0,03;0,03277181;0,0438859;-0,01111409;-0,01382853;0,0207373;-0,03456584
CW;135;5;-0,38789004;-0,38541;-0,00248003;0,64905008;0,6425799;0,00647014;26,2;26,18;0,01;0,02717334;0,05019483;-0,02302149;-0,01062744;0,01708008;-0,02770752
CW;157,5;8;-0,38391876;-0,39149376;0,00757498;0,67381256;0,6726499;0,00116265;26,15;26,16;-0,01;0,02251892;0,05366974;-0,03115082;-0,00498871;0,01181213;-0,01680084
CW;180;9;-0,3864333;-0,3882056;0,00177228;0,66526676;0,6688778;-0,00361103;26,17;26,17;0;0,02015082;0,05662435;-0,03647353;0,00190701;0,00527452;-0,00336751
CW;202,5;2;-0,39134992;-0,38979992;-0,00155002;0,5918499;0,59362484;-0,00177491;26,3;26,3;0;0,02144531;0,05484131;-0,033396;0,0090271;-0,00202271;0,0110498
CW;225;8;-0,3840188;-0,38280628;-0,00121251;0,6675875;0,6722875;-0,0047;26,15;26,14;0,01;0,02569275;0,05187561;-0,02618286;0,015112;-0,00815857;0,02327057
CW;247,5;2;-0,400025;-0,39665;-0,00337499;0,59539984;0,6046999;-0,00930005;26,33;26,23;0,1;0,03083618;0,04815308;-0,01731689;0,01968872;-0,01259644;0,03228516
CW;270;5;-0,39872;-0,39418992;-0,00453007;0,60315;0,61143004;-0,00828004;26,29;26,29;0;0,03690967;0,04023926;-0,00332959;0,0214043;-0,01462793;0,03603223
CW;292,5;4;-0,39237504;-0,3856125;-0,00676256;0,61573756;0,61849992;-0,00276238;26,21;26,2;0,01;0,04407715;0,03356018;0,01051697;0,02060364;-0,01368774;0,03429138
CW;315;3;-0,39304996;-0,39;-0,00304997;0,61165;0,6147832;-0,00313324;26,25;26,26;-0,01;0,04953369;0,02799804;0,02153565;0,01703044;-0,01056559;0,02759603
CW;337,5;4;-0,39058748;-0,381375;-0,00921246;0,66528756;0,66735008;-0,0020625;26,16;26,16;-0,01;0,05388611;0,02415954;0,02972656;0,0117627;-0,00553528;0,01729797
