cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;axA;ayA;xC;yC;axC;ayC
1;225;-135.00;-135.00;50;-0.29060000;0.59969980;0.076675;-0.003801;-0.29629996;0.60079984;0.018091;-0.008691
2;180;180.00;135.00;50;-0.29560004;0.60949990;0.066877;0.015742;-0.30215000;0.60054992;0.029487;-0.028003
3;0;360.00;0.00;50;-0.30909994;0.60874984;0.029846;-0.028230;-0.28995012;0.60750010;0.067598;0.015884
4;22.5;22.50;22.50;50;-0.29280004;0.60799984;0.023035;-0.019836;-0.29395000;0.60464990;0.072163;0.007253
5;270;270.00;67.50;50;-0.30520004;0.60245000;0.069431;-0.024683;-0.30174994;0.62135000;0.027114;0.012490
6;45;45.00;45.00;50;-0.29004996;0.61160000;0.019199;-0.008472;-0.29370008;0.61310000;0.076860;-0.003171
7;90;90.00;-135.00;50;-0.29559996;0.61800000;0.024546;0.012847;-0.28420008;0.61214984;0.070391;-0.024319
8;247.5;247.50;-22.50;50;-0.29395000;0.60275000;0.075911;-0.014634;-0.28645000;0.61375000;0.021672;0.003003
9;337.5;337.50;-90.00;50;-0.29590016;0.60845000;0.039209;-0.033745;-0.29260004;0.60814990;0.059434;0.021433
10;315;-45.00;-45.00;50;-0.29560018;0.61254984;0.050479;-0.035083;-0.29970004;0.60804976;0.045776;0.023154
11;202.5;202.50;67.50;50;-0.29624996;0.60115000;0.074133;0.007258;-0.30339998;0.61750010;0.022708;-0.019731
12;67.5;67.50;67.50;50;-0.29145010;0.61150000;0.019788;0.002004;-0.30030004;0.60434990;0.076292;-0.014832
13;112.5;112.50;-135.00;50;-0.29340008;0.60279990;0.032983;0.019492;-0.30725000;0.60564990;0.061516;-0.032073
14;157.5;157.50;-135.00;50;-0.29725010;0.61070016;0.057222;0.021648;-0.29535002;0.61200000;0.039458;-0.033684
15;135;135.00;135.00;50;-0.29395004;0.61160000;0.045774;0.022754;-0.30814992;0.61309992;0.050442;-0.035527
16;292.5;292.50;-22.50;50;-0.30315004;0.60790000;0.061814;-0.031934;-0.29400006;0.60660004;0.037336;0.019702
17;90;90.00;90.00;50;-0.29365012;0.61144996;0.025220;0.012493;-0.29700002;0.60179990;0.070593;-0.024856
18;157.5;157.50;-112.50;50;-0.29490006;0.59984990;0.056018;0.021819;-0.30659996;0.60225004;0.039653;-0.033750
19;247.5;247.50;-90.00;50;-0.29600004;0.59929996;0.076079;-0.014939;-0.29355008;0.61599990;0.021787;0.002837
20;270;270.00;-157.50;50;-0.29265004;0.60630000;0.070720;-0.024961;-0.29235004;0.60255000;0.027332;0.012576
21;337.5;337.50;-112.50;50;-0.30059992;0.60689984;0.039490;-0.033853;-0.29990000;0.61090010;0.059495;0.021406
22;22.5;22.50;22.50;50;-0.29520014;0.60644996;0.021453;-0.019463;-0.28815004;0.61124990;0.074568;0.007324
23;112.5;112.50;-90.00;50;-0.29270014;0.60550004;0.034631;0.020063;-0.29430000;0.60209996;0.061331;-0.031846
24;0;360.00;67.50;50;-0.30179998;0.60979984;0.029197;-0.028596;-0.28304996;0.59849980;0.067861;0.016372
25;202.5;-157.50;-157.50;50;-0.28700010;0.60925010;0.074014;0.007356;-0.29415004;0.60594992;0.022271;-0.019907
26;292.5;-67.50;-90.00;50;-0.29475004;0.60590000;0.060042;-0.032034;-0.28365000;0.61125000;0.034263;0.019963
27;225;225.00;112.50;50;-0.29405004;0.59999990;0.077080;-0.003533;-0.28849998;0.61110000;0.019932;-0.008977
28;180;-180.00;-180.00;50;-0.29300004;0.61015000;0.067712;0.016331;-0.30395008;0.60924990;0.027715;-0.028284
29;45;45.00;45.00;50;-0.28975008;0.61380000;0.019214;-0.008838;-0.28810004;0.60089992;0.077539;-0.003601
30;67.5;67.50;-157.50;50;-0.29795000;0.60709990;0.021360;0.002495;-0.29455006;0.59955008;0.076577;-0.014651
31;135;135.00;-112.50;50;-0.28395004;0.60609990;0.045349;0.023450;-0.29995004;0.59379976;0.051008;-0.034907
32;315;315.00;0.00;50;-0.29690010;0.60070016;0.050095;-0.035105;-0.28905004;0.61115000;0.047983;0.022832
33;270;-90.00;-90.00;50;-0.29685000;0.59019992;0.070344;-0.024634;-0.29964996;0.60525008;0.025454;0.012346
34;157.5;157.50;67.50;50;-0.29129994;0.60445004;0.057732;0.022146;-0.30200002;0.60720010;0.039639;-0.034109
35;202.5;202.50;-135.00;50;-0.29780006;0.60139990;0.072588;0.007578;-0.29625008;0.61129992;0.022021;-0.018972
36;315;315.00;-67.50;50;-0.29945004;0.60575016;0.050969;-0.034973;-0.29930000;0.60170000;0.047993;0.022578
37;22.5;22.50;22.50;50;-0.30234998;0.60490000;0.021079;-0.019297;-0.29985002;0.59699990;0.074854;0.007271
38;67.5;67.50;-135.00;50;-0.29915002;0.60354990;0.019761;0.002776;-0.29025016;0.59754990;0.077805;-0.014607
39;135;135.00;-112.50;50;-0.29435006;0.60194990;0.044971;0.023000;-0.29280008;0.58770020;0.050281;-0.035676
40;337.5;337.50;22.50;50;-0.30950004;0.59194992;0.038999;-0.034602;-0.29945000;0.60249996;0.058000;0.021304
41;180;-180.00;-180.00;50;-0.28945010;0.60219980;0.066357;0.016008;-0.29470000;0.60240000;0.027874;-0.028650
42;292.5;-67.50;-67.50;50;-0.30470000;0.59440004;0.059670;-0.033142;-0.29975004;0.60540000;0.034082;0.019900
43;112.5;112.50;0.00;50;-0.29819996;0.60040000;0.035085;0.019739;-0.30059992;0.59094996;0.062351;-0.032131
44;225;225.00;-67.50;50;-0.29960006;0.59634990;0.076416;-0.003755;-0.30524996;0.59955000;0.019478;-0.008542
45;0;360.00;-45.00;50;-0.30155012;0.60614990;0.029463;-0.028564;-0.30545000;0.59114976;0.068728;0.016187
46;247.5;-112.50;-112.50;50;-0.28970006;0.59549992;0.074934;-0.015374;-0.29875008;0.59715000;0.019819;0.002722
47;45;45.00;-22.50;50;-0.29085004;0.58969976;0.018826;-0.009119;-0.29735004;0.59904990;0.076990;-0.003198
48;90;90.00;-135.00;50;-0.30000008;0.59989990;0.025242;0.012786;-0.29334998;0.60119990;0.071279;-0.024905
49;292.5;292.50;22.50;50;-0.29750004;0.59984990;0.060420;-0.032263;-0.30084996;0.60445000;0.037720;0.020281
50;67.5;67.50;67.50;50;-0.30524996;0.59784996;0.019417;0.002334;-0.29540010;0.57815004;0.076360;-0.015266
51;180;180.00;-67.50;50;-0.30340008;0.59314990;0.065156;0.016831;-0.29670006;0.59394980;0.028706;-0.028560
52;202.5;202.50;-157.50;50;-0.28590010;0.59084992;0.072822;0.007300;-0.31175002;0.59099996;0.022412;-0.019690
53;0;360.00;-22.50;50;-0.30255002;0.58914996;0.029060;-0.028506;-0.29360010;0.59324980;0.068555;0.016440
54;112.5;112.50;112.50;50;-0.30675000;0.60284990;0.035227;0.019966;-0.29805016;0.58485000;0.060342;-0.032720
55;225;225.00;-67.50;50;-0.28275000;0.58245000;0.077085;-0.003474;-0.29710010;0.60224990;0.019138;-0.008616
56;337.5;337.50;-67.50;50;-0.29725006;0.58874992;0.038787;-0.034172;-0.28540010;0.59674984;0.059673;0.021887
57;135;135.00;135.00;50;-0.29479998;0.59444992;0.046086;0.023325;-0.28880010;0.58684984;0.049922;-0.035544
58;157.5;157.50;-157.50;50;-0.29390004;0.59075000;0.056831;0.021726;-0.29830006;0.58849996;0.039622;-0.034136
59;247.5;247.50;-90.00;50;-0.29595004;0.59575004;0.075393;-0.015151;-0.30679992;0.59845000;0.020825;0.002837
60;315;315.00;-112.50;50;-0.29885004;0.58145010;0.051187;-0.035569;-0.29104996;0.58690000;0.048362;0.023013
61;90;90.00;90.00;50;-0.28900010;0.59724990;0.024636;0.012561;-0.29155010;0.58995000;0.070525;-0.025327
62;22.5;22.50;22.50;50;-0.30150004;0.58495004;0.022798;-0.019968;-0.28415004;0.59190000;0.076257;0.007246
63;45;45.00;-157.50;50;-0.30375000;0.58635010;0.018352;-0.009028;-0.29690004;0.59229992;0.077986;-0.003591
64;270;270.00;45.00;50;-0.28630010;0.58210010;0.069453;-0.025378;-0.29369992;0.59334992;0.026868;0.012686
65;180;-180.00;-180.00;50;-0.29800010;0.59579980;0.066753;0.016885;-0.29994994;0.59320020;0.028228;-0.028745
66;0;0.00;0.00;50;-0.30185002;0.59564980;0.028489;-0.028977;-0.29675010;0.58599990;0.066575;0.016382
67;270;270.00;90.00;50;-0.29275004;0.58779996;0.069729;-0.025452;-0.29255000;0.59169996;0.027734;0.012449
68;225;-135.00;-135.00;50;-0.28845006;0.59320000;0.075867;-0.003403;-0.29575008;0.59684980;0.017275;-0.008752
69;90;90.00;45.00;50;-0.28880004;0.60544990;0.025928;0.012629;-0.30225000;0.58755000;0.071433;-0.025156
70;22.5;22.50;22.50;50;-0.30184996;0.58620000;0.021199;-0.019846;-0.29125008;0.59469970;0.074309;0.007454
71;157.5;157.50;-45.00;50;-0.28384996;0.59644984;0.057610;0.022078;-0.29240004;0.59359980;0.039851;-0.033872
72;315;315.00;-22.50;50;-0.30244994;0.59274984;0.050125;-0.035156;-0.29360004;0.60080000;0.048406;0.022605
73;247.5;-112.50;-112.50;50;-0.29395010;0.59235008;0.074854;-0.015310;-0.29860004;0.59945000;0.019841;0.002603
74;112.5;112.50;45.00;50;-0.29155012;0.60569990;0.036348;0.020137;-0.28320010;0.59274990;0.061343;-0.032180
75;292.5;292.50;0.00;50;-0.30485004;0.59399984;0.061094;-0.032124;-0.28135000;0.61135000;0.038020;0.019651
76;45;45.00;45.00;50;-0.30025008;0.60779990;0.017434;-0.008699;-0.30379992;0.59204996;0.076958;-0.003491
77;67.5;67.50;-157.50;50;-0.29340004;0.59459996;0.019807;0.002417;-0.29585004;0.59384990;0.075122;-0.015256
78;135;135.00;-112.50;50;-0.28304994;0.58970004;0.044656;0.023035;-0.30500008;0.59054990;0.051228;-0.035618
79;337.5;337.50;22.50;50;-0.30695000;0.60135010;0.038230;-0.034360;-0.29570004;0.59774976;0.059551;0.021711
80;202.5;-157.50;-157.50;50;-0.28865010;0.59000000;0.074326;0.007273;-0.28914994;0.59405016;0.020823;-0.019526
81;157.5;157.50;135.00;50;-0.29145004;0.59985008;0.057839;0.021858;-0.31139994;0.58880000;0.037781;-0.034148
82;202.5;202.50;-135.00;50;-0.28820002;0.60565008;0.071968;0.007046;-0.29970004;0.59114980;0.021423;-0.019519
83;45;45.00;45.00;50;-0.28989998;0.58870008;0.018774;-0.008826;-0.28780010;0.59004990;0.076655;-0.004053
84;0;360.00;135.00;50;-0.30925006;0.59409976;0.028562;-0.028594;-0.29224998;0.59269980;0.069360;0.016624
85;292.5;-67.50;-67.50;50;-0.28410004;0.58575000;0.060745;-0.031838;-0.29305014;0.61109990;0.035020;0.020298
86;247.5;247.50;135.00;50;-0.29930004;0.58170016;0.075815;-0.014966;-0.29550010;0.59404976;0.021960;0.003245
87;337.5;337.50;-90.00;50;-0.29564998;0.59355000;0.038066;-0.034253;-0.28760008;0.59504976;0.060781;0.021926
88;315;-45.00;-45.00;50;-0.29720004;0.59315016;0.049517;-0.035264;-0.29935000;0.59544980;0.045591;0.023582
89;180;180.00;45.00;50;-0.28635008;0.58915000;0.067520;0.016523;-0.29185006;0.58935010;0.029565;-0.028477
90;22.5;22.50;22.50;50;-0.30084996;0.58634996;0.021267;-0.019863;-0.29194996;0.58375000;0.075300;0.007456
91;67.5;67.50;-135.00;50;-0.28755006;0.58010008;0.019963;0.002405;-0.29835004;0.58674984;0.075601;-0.014756
92;90;90.00;-157.50;50;-0.28660002;0.59185004;0.024321;0.012759;-0.28950006;0.58780010;0.070195;-0.025181
93;112.5;112.50;-157.50;50;-0.29064998;0.58570000;0.034924;0.019551;-0.30545002;0.58289984;0.060156;-0.032424
94;270;270.00;-22.50;50;-0.30319996;0.58380000;0.070591;-0.024744;-0.29070008;0.58664996;0.026689;0.012542
