azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;50;-0,27962300;-0,27221400;-0,00740901;0,52801210;0,52510500;0,00290710;0,02739492;0,06766358;-0,04026866;-0,02916450;0,01601357;-0,04517807
22,5;50;-0,27954104;-0,27315592;-0,00638512;0,52983100;0,52481010;0,00502092;0,01979190;0,07323109;-0,05343920;-0,02018931;0,00688652;-0,02707583
45;50;-0,27766898;-0,27583900;-0,00182998;0,52933100;0,52421004;0,00512099;0,01669087;0,07608560;-0,05939473;-0,00905908;-0,00422920;-0,00482988
67,5;50;-0,27677694;-0,27606300;-0,00071394;0,53035100;0,52315292;0,00719804;0,01806768;0,07494394;-0,05687626;0,00243853;-0,01573891;0,01817744
90;50;-0,27561298;-0,27892108;0,00330809;0,53061796;0,52505000;0,00556797;0,02355098;0,06915150;-0,04560053;0,01250078;-0,02581777;0,03831855
112,5;50;-0,27459398;-0,28068100;0,00608704;0,53078792;0,52451308;0,00627488;0,03328999;0,06012680;-0,02683681;0,01979121;-0,03305200;0,05284322
135;50;-0,27412900;-0,27934700;0,00521800;0,52920800;0,52585310;0,00335491;0,04422876;0,04888130;-0,00465253;0,02296572;-0,03617183;0,05913755
157,5;50;-0,27239600;-0,28100896;0,00861296;0,52795600;0,52707216;0,00088388;0,05551607;0,03746655;0,01804952;0,02162158;-0,03472051;0,05634209
180;50;-0,27459200;-0,28019804;0,00560603;0,52859000;0,52684516;0,00174487;0,06521763;0,02714375;0,03807388;0,01602754;-0,02914219;0,04516973
202,5;50;-0,27407896;-0,27927900;0,00520003;0,52646010;0,52667600;-0,00021589;0,07270262;0,02025205;0,05245058;0,00696675;-0,02005230;0,02701905
225;50;-0,27454300;-0,27771798;0,00317499;0,52547792;0,52892092;-0,00344300;0,07571295;0,01720806;0,05850489;-0,00423979;-0,00884649;0,00460669
247,5;50;-0,27609098;-0,27708300;0,00099203;0,52547896;0,53219300;-0,00671405;0,07451113;0,01908736;0,05542378;-0,01574214;0,00263345;-0,01837558
270;50;-0,27656700;-0,27490700;-0,00166002;0,52525500;0,53127504;-0,00602001;0,06885673;0,02497012;0,04388661;-0,02577866;0,01262720;-0,03840586
292,5;50;-0,27893404;-0,27246104;-0,00647300;0,52645500;0,53189600;-0,00544101;0,06008266;0,03495122;0,02513144;-0,03303130;0,01973003;-0,05276133
315;50;-0,27983200;-0,27235898;-0,00747302;0,52533892;0,52849400;-0,00315505;0,04877564;0,04610298;0,00267265;-0,03611484;0,02276294;-0,05887779
337,5;50;-0,28132606;-0,27234900;-0,00897706;0,52806090;0,52848510;-0,00042421;0,03734639;0,05774615;-0,02039976;-0,03485176;0,02147905;-0,05633081
