smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;260;-100.00;-100.00;50;-0.46769984;0.69840040;22.36;0.035518;0.039150;-0.47035000;0.69430000;22.43;0.045579;-0.025679
CCW;2;220;-140.00;-40.00;50;-0.46909980;0.70045008;22.38;0.014319;0.028450;-0.46864990;0.70060000;22.34;0.064961;-0.014944
CCW;3;40;-320.00;-180.00;50;-0.47174990;0.69394990;22.41;0.064373;-0.015144;-0.47085000;0.69534992;22.39;0.015325;0.028647
CW;4;80;-280.00;40.00;50;-0.47450008;0.69820000;22.40;0.045469;-0.025974;-0.47305004;0.69259990;22.34;0.035625;0.038923
CCW;5;350;-370.00;-90.00;50;-0.46394976;0.70540000;22.37;0.072449;0.011387;-0.47540024;0.69315016;22.36;0.008564;0.001143
CCW;6;300;-60.00;-60.00;50;-0.47980020;0.68055000;22.35;0.058894;0.034663;-0.47119996;0.69555020;22.37;0.024326;-0.021602
CW;7;50;50.00;110.00;50;-0.46819996;0.68035010;22.33;0.060664;-0.019448;-0.47089996;0.68175020;22.44;0.021851;0.031375
CW;8;190;190.00;140.00;50;-0.45914976;0.69225016;22.42;0.008835;0.012722;-0.47540012;0.69585010;22.43;0.073860;0.000339
CW;9;200;200.00;10.00;50;-0.47505008;0.69195020;22.40;0.009568;0.018499;-0.46174968;0.69435020;22.43;0.071257;-0.005500
CW;10;320;320.00;120.00;50;-0.47690024;0.69115020;22.44;0.066931;0.027122;-0.47279996;0.69315000;22.47;0.015530;-0.014744
CW;11;50;50.00;50.00;50;-0.47675000;0.68859976;22.42;0.060693;-0.019280;-0.47820004;0.69060000;22.36;0.019507;0.032153
CW;12;220;220.00;170.00;50;-0.47275008;0.69665010;22.37;0.015354;0.027710;-0.46709988;0.70070000;22.39;0.066062;-0.015254
CCW;13;110;110.00;-110.00;50;-0.46410004;0.68310000;22.37;0.027603;-0.024856;-0.48240004;0.68550000;22.42;0.052764;0.037073
CW;14;130;130.00;20.00;50;-0.48130020;0.69210000;22.44;0.018130;-0.018755;-0.47065000;0.68370024;22.45;0.063420;0.030667
CW;15;130;130.00;0.00;50;-0.46939990;0.69829992;22.42;0.018306;-0.018235;-0.46559990;0.68594980;22.43;0.062065;0.031965
CCW;16;320;-40.00;-170.00;50;-0.47660008;0.68540024;22.50;0.066958;0.027424;-0.47634996;0.70075008;22.50;0.014661;-0.014182
CW;17;100;100.00;140.00;50;-0.47024990;0.69284992;22.50;0.033237;-0.026089;-0.46930000;0.69179992;22.50;0.046331;0.039304
CCW;18;50;50.00;-50.00;50;-0.47980000;0.68590020;22.48;0.061729;-0.019353;-0.46819990;0.69905010;22.48;0.019597;0.031960
CW;19;190;190.00;140.00;50;-0.47820016;0.68650000;22.50;0.008232;0.012686;-0.47009996;0.68539992;22.50;0.072830;0.001033
