smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;5;-0,44891996;-0,44738990;-0,00153005;0,53713000;0,53572000;0,00141001;25,31;25,32;-0,01;0,06950244;0,00391455;0,06558788;0,00435010;0,00518799;-0,00083789
CCW;10;7;-0,46565704;-0,45829276;-0,00736427;0,61866424;0,62289284;-0,00422859;23,71;23,71;-0,00;0,07120640;0,00663086;0,06457554;-0,00075579;0,01206857;-0,01282436
CCW;20;6;-0,45398320;-0,44673332;-0,00724989;0,55946668;0,54852516;0,01094151;24,98;24,97;0,01;0,06764161;0,00608927;0,06155234;-0,00702799;0,01676636;-0,02379435
CCW;30;8;-0,46023736;-0,45189370;-0,00834367;0,58181250;0,58182500;-0,00001252;24,44;24,46;-0,02;0,06648284;0,00971130;0,05677154;-0,01236084;0,02221497;-0,03457580
CCW;40;3;-0,46284984;-0,46063324;-0,00221661;0,63019996;0,63208330;-0,00188333;23,52;23,52;-0,00;0,06322510;0,01383219;0,04939290;-0,01635010;0,02796468;-0,04431478
CCW;50;6;-0,46438320;-0,45847496;-0,00590825;0,57755848;0,57295010;0,00460833;24,60;24,60;0,00;0,05860229;0,01692220;0,04168009;-0,02083048;0,03106934;-0,05189982
CCW;60;8;-0,45331860;-0,45094984;-0,00236875;0,57005000;0,56401250;0,00603747;24,72;24,75;-0,03;0,05309571;0,02071564;0,03238007;-0,02400971;0,03422180;-0,05823151
CCW;70;7;-0,46040704;-0,46274990;0,00234285;0,61965716;0,61476430;0,00489289;23,72;23,71;0,01;0,04979109;0,02832833;0,02146275;-0,02603411;0,03709229;-0,06312639
CCW;80;9;-0,45937764;-0,46000556;0,00062791;0,60292784;0,59798336;0,00494450;24,13;24,13;-0,00;0,04292562;0,03381239;0,00911323;-0,02738851;0,03813856;-0,06552707
CCW;90;6;-0,45305824;-0,45959988;0,00654164;0,59525840;0,59173340;0,00352502;24,22;24,23;-0,01;0,03733805;0,03943074;-0,00209269;-0,02766235;0,03839152;-0,06605388
CCW;100;10;-0,46193990;-0,45890992;-0,00302997;0,60423500;0,59572008;0,00851494;24,16;24,14;0,01;0,03156103;0,04473999;-0,01317896;-0,02709570;0,03802368;-0,06511938
CCW;110;9;-0,46100548;-0,46336100;0,00235552;0,60246116;0,59856670;0,00389445;24,06;24,05;0,00;0,02591905;0,05024333;-0,02432428;-0,02548882;0,03640462;-0,06189344
CCW;120;10;-0,45222990;-0,45434492;0,00211504;0,56266504;0,56242500;0,00024003;24,81;24,81;-0,01;0,01978955;0,05431225;-0,03452270;-0,02331299;0,03327588;-0,05658887
CCW;130;2;-0,45454996;-0,46422500;0,00967503;0,59784990;0,59479976;0,00305015;24,03;23,98;0,05;0,01624634;0,06058838;-0,04434204;-0,01947998;0,03019287;-0,04967285
CCW;140;6;-0,45495820;-0,45799150;0,00303331;0,57775830;0,57570000;0,00205833;24,55;24,55;-0,01;0,01160319;0,06293050;-0,05132731;-0,01573730;0,02599447;-0,04173177
CCW;150;7;-0,45687130;-0,46275708;0,00588578;0,60940730;0,60081430;0,00859302;24,01;24,01;0,00;0,00851946;0,06715471;-0,05863525;-0,01055350;0,02153739;-0,03209089
CCW;160;4;-0,45842492;-0,46138740;0,00296247;0,58930004;0,58863750;0,00066257;24,39;24,38;0,01;0,00657898;0,07000306;-0,06342407;-0,00553284;0,01603516;-0,02156799
CCW;170;3;-0,45454990;-0,46264992;0,00810003;0,56386680;0,56586670;-0,00199991;24,82;24,81;0,00;0,00382894;0,07031250;-0,06648356;0,00003499;0,00989502;-0,00986003
CCW;180;7;-0,46139280;-0,46673568;0,00534284;0,61339292;0,61072144;0,00267148;23,86;23,85;0,01;0,00539481;0,07147322;-0,06607841;0,00670096;0,00481201;0,00188895
CCW;190;5;-0,45687980;-0,45349988;-0,00337991;0,59973016;0,60069000;-0,00095987;24,17;24,17;-0,00;0,00534033;0,07027735;-0,06493702;0,01215088;-0,00087598;0,01302686
CCW;200;2;-0,44702488;-0,45954990;0,01252502;0,56964992;0,56815000;0,00149995;24,72;24,72;-0,01;0,00595703;0,06924805;-0,06329102;0,01705810;-0,00738159;0,02443970
CCW;210;5;-0,45645984;-0,46491990;0,00846004;0,57141000;0,57978000;-0,00836998;24,57;24,57;-0,00;0,00966064;0,06629346;-0,05663282;0,02261328;-0,01232568;0,03493896
CCW;220;3;-0,45784984;-0,46521650;0,00736666;0,60305008;0,60531676;-0,00226671;24,04;24,03;0,01;0,01254964;0,06309164;-0,05054199;0,02741781;-0,01621257;0,04363037
CCW;230;8;-0,46274360;-0,46903110;0,00628749;0,63315620;0,63780000;-0,00464380;23,49;23,47;0,02;0,01801727;0,06000031;-0,04198304;0,03209045;-0,02008759;0,05217804
