smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;7;-0,45869280;-0,45155708;-0,00713572;0,60627852;0,60917852;-0,00290000;24,17;24,17;0,00;0,07101528;0,00409703;0,06691825;0,00608224;0,00591030;0,00017194
CCW;10;5;-0,45475990;-0,45041984;-0,00434005;0,59230008;0,59326992;-0,00096989;24,49;24,50;-0,01;0,06927100;0,00450391;0,06476709;-0,00043555;0,01137353;-0,01180908
CCW;20;5;-0,45037990;-0,44708996;-0,00328994;0,59837990;0,60330990;-0,00493002;24,35;24,33;0,01;0,06883838;0,00565479;0,06318360;-0,00507520;0,01635108;-0,02142627
CCW;30;4;-0,44847500;-0,44643748;-0,00203753;0,59096244;0,59472500;-0,00376254;24,60;24,59;0,01;0,06651734;0,00859009;0,05792725;-0,01044556;0,02175903;-0,03220459
CCW;40;8;-0,45263120;-0,45041864;-0,00221252;0,59835000;0,59473750;0,00361246;24,47;24,46;0,01;0,06275544;0,01175140;0,05100403;-0,01537079;0,02630585;-0,04167664
CCW;50;6;-0,45789990;-0,44509996;-0,01279995;0,60809168;0,60581668;0,00227499;24,24;24,24;-0,00;0,05864258;0,01610718;0,04253540;-0,01961304;0,03094035;-0,05055338
CCW;60;7;-0,45237140;-0,44355704;-0,00881436;0,60382132;0,60248568;0,00133568;24,34;24,34;-0,00;0,05446359;0,02074428;0,03371931;-0,02300642;0,03417724;-0,05718366
CCW;70;7;-0,45517136;-0,45754270;0,00237134;0,61125710;0,60397140;0,00728565;24,21;24,21;0,00;0,04883370;0,02614292;0,02269078;-0,02530483;0,03676444;-0,06206927
CCW;80;6;-0,44660832;-0,44745830;0,00084996;0,60699992;0,59516676;0,01183319;24,32;24,30;0,01;0,04429606;0,03164307;0,01265299;-0,02716349;0,03825684;-0,06542033
CCW;90;3;-0,46151648;-0,46334980;0,00183335;0,60348340;0,60230000;0,00118339;24,11;24,08;0,04;0,03769532;0,03804037;-0,00034505;-0,02744954;0,03929525;-0,06674479
CCW;100;4;-0,45687492;-0,45954988;0,00267494;0,59623752;0,59287500;0,00336254;24,39;24,35;0,04;0,03061707;0,04348999;-0,01287293;-0,02690430;0,03868347;-0,06558777
CCW;110;9;-0,45652760;-0,45982776;0,00330016;0,60549444;0,59561676;0,00987768;24,22;24,23;-0,00;0,02658474;0,04948567;-0,02290093;-0,02542046;0,03695096;-0,06237142
CCW;120;4;-0,45233750;-0,45572490;0,00338739;0,59766240;0,59089992;0,00676244;24,37;24,37;0,00;0,01966308;0,05542237;-0,03575928;-0,02287598;0,03384827;-0,05672424
