azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;25;-0,24526798;-0,24061396;-0,00465404;0,42620400;0,42308608;0,00311792;0,04524893;0,04197295;0,00327598;-0,03634932;0,02174033;-0,05808965
22,5;25;-0,24489000;-0,24196998;-0,00292003;0,42605412;0,42241612;0,00363800;0,05663310;0,03103457;0,02559853;-0,03356142;0,01897559;-0,05253701
45;25;-0,24472598;-0,24032398;-0,00440201;0,42598004;0,42763004;-0,00165001;0,06622188;0,02239795;0,04382394;-0,02670625;0,01238437;-0,03909063
67,5;25;-0,24476800;-0,23893600;-0,00583200;0,42405008;0,42628400;-0,00223395;0,07151572;0,01583272;0,05568300;-0,01709356;0,00262031;-0,01971387
90;25;-0,24441796;-0,24164996;-0,00276800;0,42081412;0,42861404;-0,00779992;0,07351416;0,01494941;0,05856474;-0,00584131;-0,00870361;0,00286231
112,5;25;-0,24118396;-0,24059594;-0,00058803;0,42390008;0,43071408;-0,00681400;0,07082051;0,01787920;0,05294131;0,00524072;-0,01966045;0,02490117
135;25;-0,24132996;-0,24250202;0,00117205;0,42242200;0,42698800;-0,00456598;0,06411552;0,02428076;0,03983476;0,01429609;-0,02886972;0,04316582
157,5;25;-0,24198396;-0,24231196;0,00032800;0,42436412;0,42966992;-0,00530580;0,05388809;0,03360264;0,02028546;0,02008506;-0,03455010;0,05463516
180;25;-0,23982396;-0,24391798;0,00409403;0,42605004;0,42704008;-0,00099003;0,04295928;0,04492988;-0,00197060;0,02188300;-0,03623818;0,05812119
202,5;25;-0,24059998;-0,24366196;0,00306198;0,42593004;0,42709000;-0,00115994;0,03151523;0,05579814;-0,02428291;0,01913496;-0,03353925;0,05267422
225;25;-0,24010596;-0,24354000;0,00343402;0,42832610;0,42612804;0,00219807;0,02299971;0,06524579;-0,04224608;0,01242481;-0,02683711;0,03926192
247,5;25;-0,24014992;-0,24336398;0,00321405;0,42649204;0,42307212;0,00341991;0,01646406;0,07053672;-0,05407266;0,00269854;-0,01717705;0,01987559
270;25;-0,24563198;-0,24521794;-0,00041404;0,43049204;0,42477008;0,00572199;0,01516660;0,07265664;-0,05749004;-0,00853203;-0,00593926;-0,00259277
292,5;25;-0,24088196;-0,24397598;0,00309402;0,42765210;0,42554000;0,00211209;0,01785566;0,06878974;-0,05093408;-0,01963516;0,00509561;-0,02473076
315;25;-0,24473392;-0,24094396;-0,00378996;0,42526012;0,42387208;0,00138804;0,02463721;0,06312647;-0,03848926;-0,02883193;0,01423984;-0,04307178
337,5;25;-0,24388198;-0,24284594;-0,00103605;0,42844210;0,42260800;0,00583407;0,03424580;0,05260634;-0,01836054;-0,03457422;0,02005127;-0,05462549
