smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;426;157.5;-202.50;-45.00;50;-0.36295004;0.64840010;23.27;0.035615;0.025112;-0.36225008;0.65009990;23.27;0.066721;-0.032168
CCW;427;0;-360.00;-157.50;50;-0.36360008;0.65219990;23.23;0.055361;-0.036389;-0.35800000;0.66700010;23.30;0.047275;0.029443
CCW;428;315;-45.00;-45.00;50;-0.36645008;0.64939992;23.28;0.077153;-0.024131;-0.36455016;0.66030020;23.30;0.025413;0.017488
CCW;429;225;-135.00;-90.00;50;-0.36825012;0.63544992;23.29;0.072195;0.022351;-0.38154992;0.64529984;23.27;0.030688;-0.030115
CCW;430;180;-180.00;-45.00;50;-0.36140000;0.63879980;23.30;0.046680;0.029438;-0.36435008;0.64610000;23.30;0.055186;-0.037297
CW;431;337.5;-22.50;157.50;50;-0.36240016;0.64119990;23.30;0.067173;-0.033235;-0.36315000;0.65524980;23.30;0.037158;0.025698
CW;432;67.5;67.50;90.00;50;-0.37615010;0.64224990;23.30;0.022354;-0.019878;-0.36224996;0.64339990;23.30;0.081331;0.012607
CW;433;90;90.00;22.50;50;-0.36155004;0.64629990;23.30;0.017778;-0.007808;-0.36620010;0.64480000;23.30;0.084058;0.000649
CCW;434;22.5;22.50;-67.50;50;-0.36600008;0.64744984;23.30;0.042593;-0.035830;-0.35685004;0.64164980;23.30;0.060320;0.028149
CCW;435;225;-135.00;-157.50;50;-0.36275004;0.64119992;23.30;0.070603;0.022576;-0.36875028;0.64440000;23.30;0.030789;-0.029856
CW;436;22.5;22.50;157.50;50;-0.37090020;0.64974980;23.30;0.042517;-0.036221;-0.36115004;0.63729996;23.30;0.060420;0.028391
CCW;437;337.5;-22.50;-45.00;50;-0.36545016;0.63624990;23.33;0.066292;-0.033113;-0.35209992;0.64384984;23.30;0.033027;0.024944
CW;438;22.5;22.50;45.00;50;-0.36114996;0.64719980;23.30;0.042129;-0.035774;-0.36114996;0.64239990;23.30;0.059934;0.027852
CW;439;90;90.00;67.50;50;-0.36645012;0.65095000;23.30;0.017170;-0.007798;-0.35585004;0.64384984;23.32;0.083018;0.000393
