smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;250;-110.00;-110.00;200;-0.48432536;0.68484100;24.30;0.034807;0.037900;-0.46565896;0.65888270;24.34;0.044471;-0.027198
CCW;2;80;-280.00;-170.00;200;-0.45143290;0.63038350;24.47;0.038848;-0.027862;-0.44150780;0.60135890;24.52;0.040276;0.037946
CCW;3;290;-70.00;-70.00;200;-0.43894116;0.58585936;24.60;0.057091;0.033322;-0.42864912;0.57774200;24.60;0.022749;-0.022570
CW;4;100;100.00;170.00;200;-0.42076670;0.57364152;24.62;0.027216;-0.025403;-0.42109944;0.56662508;24.68;0.051278;0.035413
CCW;5;40;40.00;-60.00;200;-0.41866660;0.55666684;24.77;0.058793;-0.019760;-0.41394976;0.56112540;24.72;0.018238;0.031475
CCW;6;330;-30.00;-70.00;200;-0.41520008;0.55659170;24.75;0.069400;0.015883;-0.41100010;0.55339984;24.80;0.008787;-0.004210
CCW;7;250;-110.00;-80.00;200;-0.40884170;0.55585880;24.79;0.033891;0.037952;-0.41341664;0.55611632;24.80;0.043419;-0.027126
CCW;8;100;-260.00;-150.00;200;-0.40515856;0.55609190;24.80;0.026625;-0.025082;-0.40746660;0.55270000;24.80;0.050846;0.036021
CW;9;160;-200.00;60.00;200;-0.40922464;0.55523340;24.82;0.005872;0.000483;-0.41582480;0.55229132;24.83;0.071224;0.010220
CCW;10;110;-250.00;-50.00;200;-0.41444970;0.55962500;24.83;0.021951;-0.022867;-0.41608300;0.55024976;24.82;0.056259;0.033590
CW;11;260;-100.00;150.00;200;-0.40862492;0.55350830;24.80;0.039628;0.038295;-0.41191664;0.56390850;24.84;0.039104;-0.027907
CCW;12;160;-200.00;-100.00;200;-0.41039156;0.56303360;24.89;0.005675;0.000148;-0.41394970;0.56304970;24.88;0.071117;0.010069
CW;13;250;-110.00;90.00;200;-0.40603336;0.56050880;24.93;0.033773;0.037997;-0.41627476;0.56503384;24.94;0.043646;-0.027135
CW;14;270;-90.00;20.00;200;-0.41277510;0.56413380;24.99;0.044593;0.037906;-0.41110808;0.56499992;24.96;0.032756;-0.027095
CCW;15;250;-110.00;-20.00;200;-0.41094164;0.55987510;24.98;0.033805;0.038044;-0.41360020;0.56604180;24.99;0.043528;-0.027678
CW;16;40;40.00;150.00;200;-0.41680820;0.56870900;24.96;0.059497;-0.020913;-0.40586684;0.56853370;24.99;0.019164;0.030220
CCW;17;230;-130.00;-170.00;200;-0.40755836;0.56535840;25.03;0.022875;0.034206;-0.41986616;0.57483350;25.01;0.054838;-0.023716
CW;18;290;-70.00;60.00;200;-0.41444132;0.57154184;25.04;0.056522;0.033189;-0.41656620;0.57025060;25.05;0.021886;-0.023141
CCW;19;150;-210.00;-140.00;200;-0.41237530;0.57043370;25.05;0.006736;-0.005003;-0.41619120;0.56318350;25.06;0.069370;0.015472
CW;20;310;-50.00;160.00;200;-0.42051650;0.56860876;25.10;0.064924;0.025423;-0.41416656;0.57190840;25.09;0.014338;-0.015313
CW;21;350;-10.00;40.00;200;-0.41284968;0.57300880;25.08;0.070959;0.004375;-0.40956680;0.56874970;25.09;0.006383;0.005916
CW;22;20;20.00;30.00;200;-0.41275832;0.56987510;25.09;0.066659;-0.012348;-0.40654976;0.57118360;25.10;0.011362;0.021889
CW;23;80;80.00;60.00;200;-0.41330000;0.57115876;25.08;0.037794;-0.028167;-0.41654120;0.56264160;25.10;0.040422;0.037282
CCW;24;50;50.00;-30.00;200;-0.41435808;0.56762560;25.10;0.054387;-0.024207;-0.40811704;0.56732510;25.10;0.022797;0.033397
CCW;25;20;20.00;-30.00;200;-0.41669976;0.57321670;25.10;0.066793;-0.012737;-0.41509132;0.56824184;25.10;0.011600;0.021696
CCW;26;240;-120.00;-140.00;200;-0.42033284;0.55792500;25.11;0.028045;0.036211;-0.41153336;0.56377520;25.10;0.048408;-0.026024
CCW;27;140;-220.00;-100.00;200;-0.41338320;0.56540008;25.14;0.008572;-0.010608;-0.41419164;0.56233332;25.13;0.066990;0.020785
CCW;28;60;-300.00;-80.00;200;-0.41255008;0.56640864;25.13;0.049073;-0.026272;-0.41006672;0.56004140;25.10;0.028092;0.036421
CCW;29;340;-380.00;-80.00;200;-0.41157516;0.56317510;25.12;0.070579;0.010291;-0.40951716;0.56938344;25.12;0.005249;-0.000151
CCW;30;220;-140.00;-140.00;200;-0.41414148;0.56584156;25.11;0.017640;0.030724;-0.41469150;0.56638352;25.10;0.059350;-0.020591
CCW;31;40;-320.00;-180.00;200;-0.41875812;0.56618400;25.10;0.058859;-0.020508;-0.40983348;0.56632480;25.10;0.017850;0.030800
CCW;32;30;-330.00;-10.00;200;-0.41664152;0.56378360;25.10;0.062622;-0.016722;-0.41832460;0.56361648;25.11;0.013544;0.027056
CCW;33;230;-130.00;-130.00;200;-0.41345848;0.56013340;25.10;0.022207;0.034161;-0.41731640;0.56493396;25.17;0.054462;-0.023957
CCW;34;60;-300.00;-170.00;200;-0.41878296;0.56417510;25.14;0.048991;-0.026030;-0.41004168;0.55692510;25.16;0.028031;0.036397
CCW;35;310;-50.00;-50.00;200;-0.41229152;0.55826664;25.19;0.063767;0.026159;-0.41409170;0.56330852;25.20;0.013368;-0.015631
CCW;36;180;-180.00;-130.00;200;-0.41383352;0.56516670;25.21;0.006254;0.011650;-0.42455784;0.55873332;25.17;0.070956;-0.001378
CW;37;310;-50.00;130.00;200;-0.42239970;0.55882450;25.13;0.064384;0.025758;-0.41262468;0.56900876;25.15;0.013130;-0.015276
CCW;38;130;-230.00;-180.00;200;-0.41028344;0.56359152;25.17;0.012082;-0.015078;-0.41910820;0.55694180;25.18;0.064067;0.025431
