smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;6;-0,43255648;-0,42962740;-0,00292906;0,53183170;0,53508468;-0,00325298;25,36;25,34;0,02;0,06977756;0,00600830;0,06376926;-0,00193977;0,01174079;-0,01368056
CCW;10;3;-0,44088840;-0,43659630;-0,00429207;0,52208550;0,52153564;0,00054985;25,41;25,41;0,00;0,06769816;0,00733154;0,06036662;-0,00743069;0,01735745;-0,02478814
CCW;20;5;-0,43396290;-0,43071940;-0,00324354;0,53068810;0,52807330;0,00261480;25,39;25,38;0,02;0,06573559;0,01061662;0,05511898;-0,01305428;0,02209701;-0,03515129
CCW;30;3;-0,42907728;-0,42276608;-0,00631121;0,54128560;0,54223008;-0,00094450;25,29;25,29;0,01;0,06285834;0,01372993;0,04912842;-0,01686361;0,02636244;-0,04322605
CCW;40;3;-0,42793608;-0,42293596;-0,00500011;0,54504450;0,54424160;0,00080287;25,06;25,05;0,01;0,05815660;0,01769694;0,04045966;-0,02067261;0,03100491;-0,05167752
CCW;50;5;-0,43346460;-0,43199276;-0,00147182;0,52603624;0,52538950;0,00064677;25,41;25,42;-0,01;0,05253687;0,02211361;0,03042326;-0,02456828;0,03395760;-0,05852588
CCW;60;8;-0,43135390;-0,42822780;-0,00312611;0,53908620;0,53145368;0,00763255;25,32;25,30;0,02;0,04813212;0,02771179;0,02042033;-0,02645284;0,03624659;-0,06269943
CCW;70;2;-0,42341224;-0,42254132;-0,00087091;0,54560390;0,54821640;-0,00261253;25,29;25,28;0,01;0,04281433;0,03308350;0,00973083;-0,02744995;0,03762695;-0,06507690
CCW;80;1;-0,45143290;-0,44150780;-0,00992513;0,63038350;0,60135890;0,02902460;24,47;24,52;-0,05;0,03884847;0,04027628;-0,00142781;-0,02786214;0,03794596;-0,06580810
CCW;90;2;-0,44324168;-0,44533770;0,00209606;0,51153668;0,50805760;0,00347906;25,44;25,44;-0,00;0,02945760;0,04504415;-0,01558655;-0,02754924;0,03673910;-0,06428833
CCW;100;3;-0,42207160;-0,42385780;0,00178620;0,54158280;0,53921610;0,00236672;25,18;25,17;0,01;0,02582479;0,04999674;-0,02417196;-0,02566881;0,03571628;-0,06138509
CCW;110;7;-0,42688876;-0,42786860;0,00097984;0,54408440;0,53659268;0,00749177;25,26;25,25;0,01;0,02101760;0,05605585;-0,03503825;-0,02331456;0,03305769;-0,05637224
CCW;120;1;-0,44555016;-0,44389170;-0,00165847;0,50415780;0,50802490;-0,00386709;25,51;25,51;-0,00;0,01437948;0,05940267;-0,04502320;-0,01903442;0,02924479;-0,04827922
CCW;130;3;-0,41924416;-0,42512176;0,00587758;0,55105210;0,54627484;0,00477725;25,24;25,26;-0,01;0,01209934;0,06368448;-0,05158515;-0,01577528;0,02550754;-0,04128282
CCW;140;4;-0,42422040;-0,42719328;0,00297290;0,54399336;0,54386640;0,00012696;25,32;25,31;0,01;0,00863953;0,06703004;-0,05839051;-0,01066101;0,02075450;-0,03141551
CCW;150;5;-0,42776460;-0,43317930;0,00541469;0,53573290;0,53397624;0,00175667;25,31;25,30;0,01;0,00631527;0,06893408;-0,06261882;-0,00540438;0,01525985;-0,02066423
CCW;160;4;-0,42849320;-0,43248928;0,00399607;0,52974990;0,52961410;0,00013578;25,32;25,32;-0,00;0,00492533;0,07070678;-0,06578145;0,00062988;0,00923187;-0,00860199
CCW;170;1;-0,44436700;-0,45109104;0,00672403;0,50731564;0,50869140;-0,00137573;25,34;25,31;0,03;0,00406291;0,07007568;-0,06601278;0,00662394;0,00291911;0,00370483
