smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CW;1;0;0.00;0.00;50;-0.35349992;0.54335020;25.30;0.053518;0.012849;-0.36005000;0.54200024;25.30;0.042351;-0.019958
CW;2;112.5;112.50;112.50;50;-0.35705004;0.54685016;25.30;0.061318;-0.017075;-0.36009990;0.54170036;25.30;0.035635;0.010081
CCW;3;0;0.00;-112.50;50;-0.36095000;0.53880024;25.30;0.054465;0.012603;-0.35784984;0.52865004;25.30;0.039832;-0.020156
CCW;4;292.5;-67.50;-67.50;50;-0.36345020;0.53595020;25.30;0.037341;0.009988;-0.35594984;0.53545020;25.25;0.061128;-0.017280
CW;5;315;-45.00;22.50;50;-0.36775008;0.53715016;25.30;0.041426;0.013276;-0.35115000;0.53765020;25.25;0.054189;-0.020579
CCW;6;180;-180.00;-135.00;50;-0.35919990;0.53485010;25.24;0.039031;-0.020049;-0.35604990;0.53945010;25.17;0.052688;0.013191
CW;7;247.5;-112.50;67.50;50;-0.36239996;0.53615004;25.20;0.029475;-0.002761;-0.36264996;0.53875008;25.15;0.065273;-0.004670
CCW;8;112.5;-247.50;-135.00;50;-0.35604990;0.54710010;25.20;0.059619;-0.017087;-0.36750004;0.53360016;25.18;0.036633;0.009944
CW;9;270;-90.00;157.50;50;-0.36855016;0.53760020;25.14;0.030540;0.004324;-0.36645000;0.53490008;25.16;0.064216;-0.011382
CCW;10;202.5;-157.50;-67.50;50;-0.36039996;0.53905004;25.20;0.035469;-0.016091;-0.35379996;0.55035000;25.15;0.061995;0.008230
CCW;11;135;-225.00;-67.50;50;-0.35345008;0.53895020;25.14;0.051943;-0.020815;-0.36140008;0.55150000;25.14;0.042034;0.013625
CW;12;135;-225.00;0.00;50;-0.35935008;0.52949992;25.25;0.053540;-0.020718;-0.36470004;0.53610016;25.16;0.041270;0.013411
CCW;13;112.5;-247.50;-22.50;50;-0.37020004;0.54500016;25.11;0.059072;-0.017214;-0.37635012;0.54435000;25.11;0.037336;0.009915
CW;14;202.5;-157.50;90.00;50;-0.35400008;0.54350020;25.14;0.034260;-0.015593;-0.35169992;0.55680010;25.13;0.061150;0.008931
CW;15;315;-45.00;112.50;50;-0.36194996;0.55250010;25.11;0.041838;0.013789;-0.35999992;0.54240010;25.11;0.052808;-0.020188
CCW;16;180;-180.00;-135.00;50;-0.36570004;0.55175008;25.10;0.037864;-0.020295;-0.35930004;0.56380016;25.12;0.053433;0.012891
CW;17;315;-45.00;135.00;50;-0.35730000;0.55049984;25.10;0.042029;0.013413;-0.34904988;0.53630024;25.10;0.055684;-0.020613
CCW;18;270;-90.00;-45.00;50;-0.36235010;0.55220000;25.10;0.034846;0.003779;-0.35565000;0.54275010;25.10;0.063997;-0.011897
CW;19;45;45.00;135.00;50;-0.35964992;0.53640020;25.10;0.064180;0.002590;-0.36880012;0.54650000;25.11;0.029023;-0.009941
CW;20;157.5;157.50;112.50;50;-0.36865020;0.53860020;25.10;0.046777;-0.021631;-0.36745020;0.55899996;25.10;0.048872;0.014448
CW;21;247.5;247.50;90.00;50;-0.36905012;0.54720016;25.10;0.030056;-0.002693;-0.36290016;0.55315010;25.11;0.067041;-0.004211
CCW;22;135;135.00;-112.50;50;-0.35594996;0.55484984;25.10;0.054810;-0.019978;-0.37025010;0.56690010;25.10;0.042439;0.013582
CW;23;270;270.00;135.00;50;-0.35974996;0.54740010;25.10;0.030071;0.004224;-0.35489984;0.54175020;25.11;0.066199;-0.011282
CCW;24;225;225.00;-45.00;50;-0.36419992;0.54580004;25.10;0.028904;-0.009990;-0.36615016;0.56259996;25.10;0.064231;0.002612
CW;25;225;225.00;0.00;50;-0.36500008;0.54005016;25.12;0.029617;-0.009702;-0.36234996;0.53385010;25.11;0.064849;0.002590
CW;26;337.5;337.50;112.50;50;-0.35420010;0.56040000;25.21;0.048130;0.014570;-0.35914996;0.52925000;25.10;0.051284;-0.021531
CW;27;135;135.00;135.00;50;-0.34724984;0.54120004;25.14;0.054744;-0.020444;-0.34804988;0.54225016;25.19;0.040908;0.013584
CW;28;157.5;157.50;22.50;50;-0.34829990;0.53665010;25.25;0.048608;-0.022290;-0.36195008;0.54890000;25.20;0.048176;0.014468
CW;29;157.5;157.50;0.00;50;-0.35005010;0.53285000;25.26;0.047590;-0.021938;-0.35494984;0.53170016;25.20;0.049026;0.014292
CCW;30;112.5;112.50;-45.00;50;-0.35065000;0.53320000;25.28;0.059539;-0.017283;-0.36060000;0.53585004;25.30;0.035381;0.009709
CCW;31;67.5;67.50;-45.00;50;-0.34749988;0.53040010;25.33;0.064722;-0.004651;-0.35749992;0.52935004;25.36;0.029268;-0.002778
CCW;32;292.5;-67.50;-135.00;50;-0.35489984;0.52419996;25.30;0.036213;0.009656;-0.35405000;0.53815030;25.33;0.061804;-0.017498
CW;33;315;-45.00;22.50;50;-0.36355004;0.54569990;25.31;0.040173;0.012908;-0.36135010;0.53955020;25.35;0.055486;-0.020747
CCW;34;292.5;-67.50;-22.50;50;-0.36535016;0.51974990;25.32;0.035615;0.009626;-0.35489996;0.52500000;25.33;0.059209;-0.016963
CCW;35;225;-135.00;-67.50;50;-0.35614990;0.52695008;25.34;0.027412;-0.009778;-0.35730004;0.53475020;25.36;0.062976;0.002234
CCW;36;157.5;-202.50;-67.50;50;-0.35240000;0.51834990;25.43;0.046653;-0.022117;-0.36480008;0.52830000;25.37;0.048984;0.014114
CW;37;180;-180.00;22.50;50;-0.34644996;0.51689980;25.43;0.038403;-0.020500;-0.34624976;0.52849996;25.38;0.054167;0.012522
CCW;38;22.5;-337.50;-157.50;50;-0.35544992;0.53049992;25.48;0.060259;0.007966;-0.35900008;0.51229970;25.48;0.033748;-0.015813
CCW;39;292.5;-67.50;-67.50;50;-0.35710008;0.51960000;25.48;0.035813;0.009297;-0.34349984;0.52234996;25.49;0.060815;-0.016714
CCW;40;247.5;-112.50;-45.00;50;-0.34844984;0.52245000;25.49;0.030237;-0.002458;-0.35409988;0.52979992;25.53;0.066328;-0.004788
CW;41;45;45.00;157.50;50;-0.34419976;0.52384996;25.53;0.063938;0.002256;-0.35354996;0.52194990;25.55;0.034788;-0.009807
CCW;42;225;-135.00;-180.00;50;-0.35300000;0.51419990;25.60;0.029951;-0.009314;-0.34824984;0.52154980;25.57;0.064194;0.002212
CCW;43;112.5;-247.50;-112.50;50;-0.34079988;0.52099996;25.59;0.058677;-0.017300;-0.34394990;0.51934980;25.60;0.034155;0.009907
CW;44;270;-90.00;157.50;50;-0.35945008;0.52119990;25.60;0.030544;0.003826;-0.34699988;0.51624970;25.60;0.062974;-0.011299
CCW;45;112.5;-247.50;-157.50;50;-0.33709990;0.50434992;25.64;0.060288;-0.016931;-0.34955008;0.51854976;25.60;0.035137;0.009700
CCW;46;45;-315.00;-67.50;50;-0.34514988;0.52755000;25.60;0.062466;0.002295;-0.35585004;0.51189976;25.61;0.029338;-0.010151
CCW;47;22.5;-337.50;-22.50;50;-0.33554984;0.51154970;25.60;0.060310;0.008113;-0.34579990;0.50490000;25.63;0.036311;-0.015879
CCW;48;202.5;-157.50;-157.50;50;-0.34604996;0.50609990;25.67;0.034299;-0.015950;-0.34219976;0.53505016;25.67;0.060769;0.008374
CCW;49;67.5;-292.50;-135.00;50;-0.33634992;0.51229990;25.70;0.064834;-0.004919;-0.34409996;0.50404990;25.64;0.030000;-0.002622
CW;50;135;-225.00;67.50;50;-0.35189996;0.50809990;25.67;0.052249;-0.020598;-0.34865000;0.51019984;25.63;0.039844;0.012913
CCW;51;22.5;-337.50;-112.50;50;-0.33474988;0.50155000;25.65;0.059990;0.007737;-0.34244988;0.49690000;25.68;0.033992;-0.016028
CCW;52;247.5;-112.50;-112.50;50;-0.34624976;0.51234980;25.73;0.029875;-0.002871;-0.34499990;0.50939970;25.71;0.066660;-0.004824
CW;53;45;45.00;157.50;50;-0.33205008;0.51729984;25.72;0.065203;0.002205;-0.34924996;0.50689996;25.71;0.030793;-0.010210
CW;54;135;135.00;90.00;50;-0.34194990;0.50214992;25.73;0.054871;-0.020815;-0.35195004;0.51064984;25.68;0.043186;0.013169
CCW;55;22.5;22.50;-112.50;50;-0.35194992;0.50719976;25.60;0.061431;0.008071;-0.35444996;0.50275000;25.60;0.035515;-0.015840
CW;56;112.5;112.50;90.00;50;-0.34799988;0.51014984;25.60;0.059609;-0.016619;-0.36329992;0.52900000;25.60;0.035417;0.009304
CCW;57;337.5;-22.50;-135.00;50;-0.34614990;0.52079990;25.60;0.049670;0.013882;-0.34574988;0.51284984;25.60;0.047371;-0.021792
CCW;58;180;-180.00;-157.50;50;-0.35054988;0.50574990;25.58;0.036162;-0.020278;-0.34059980;0.51489976;25.58;0.052263;0.012212
CCW;59;22.5;-337.50;-157.50;50;-0.34754990;0.52719984;25.60;0.060476;0.007922;-0.34504996;0.51559970;25.57;0.034324;-0.015803
CCW;60;292.5;-67.50;-67.50;50;-0.35715008;0.52775016;25.57;0.036272;0.009316;-0.34479984;0.52154992;25.60;0.060710;-0.017397
CCW;61;180;-180.00;-112.50;50;-0.34620008;0.52019990;25.60;0.038821;-0.020249;-0.34294984;0.51869990;25.60;0.054565;0.012871
CW;62;202.5;-157.50;22.50;50;-0.35300012;0.52589992;25.60;0.033596;-0.015859;-0.34355004;0.52534980;25.60;0.059868;0.007747
CW;63;247.5;-112.50;45.00;50;-0.34700000;0.51304980;25.65;0.029260;-0.002915;-0.34800000;0.52414996;25.62;0.066953;-0.004785
CCW;64;202.5;-157.50;-45.00;50;-0.33989980;0.50734996;25.60;0.034436;-0.015955;-0.34429980;0.52044990;25.60;0.060317;0.007861
CW;65;0;0.00;157.50;50;-0.35695008;0.51960000;25.60;0.055032;0.012312;-0.34529996;0.51500000;25.60;0.038059;-0.020217
CW;66;22.5;22.50;22.50;50;-0.34399990;0.51449980;25.60;0.061946;0.007708;-0.34664984;0.50875000;25.60;0.035474;-0.016323
CW;67;157.5;157.50;135.00;50;-0.34374984;0.51599980;25.60;0.047747;-0.022170;-0.34539976;0.51524990;25.60;0.049043;0.014290
CW;68;315;315.00;157.50;50;-0.35799990;0.52089990;25.60;0.041079;0.013108;-0.34724980;0.51494980;25.60;0.057776;-0.021206
CCW;69;180;180.00;-135.00;50;-0.35120000;0.51459990;25.60;0.040730;-0.019846;-0.33959990;0.52785010;25.58;0.055828;0.012651
CW;70;180;180.00;0.00;50;-0.33789990;0.50809980;25.59;0.038469;-0.020195;-0.35924996;0.52299992;25.53;0.054050;0.012476
CCW;71;67.5;67.50;-112.50;50;-0.34319988;0.53355000;25.57;0.065361;-0.005015;-0.36415016;0.52019984;25.52;0.027729;-0.002983
CCW;72;315;-45.00;-112.50;50;-0.35199992;0.51589984;25.54;0.041262;0.013589;-0.33679984;0.52199990;25.51;0.054553;-0.020686
CCW;73;292.5;-67.50;-22.50;50;-0.35724996;0.51849984;25.51;0.036375;0.009563;-0.34349988;0.51644976;25.52;0.058677;-0.017295
CCW;74;202.5;-157.50;-90.00;50;-0.35154992;0.51929990;25.54;0.034326;-0.016370;-0.35014992;0.52489990;25.54;0.062007;0.008015
CCW;75;90;-270.00;-112.50;50;-0.33344992;0.52475000;25.54;0.062856;-0.011858;-0.35389988;0.50370000;25.57;0.031077;0.004155
CW;76;247.5;-112.50;157.50;50;-0.35444996;0.51789976;25.55;0.029485;-0.002893;-0.33689988;0.52825000;25.57;0.065994;-0.004978
CW;77;45;45.00;157.50;50;-0.34269990;0.51584990;25.60;0.063853;0.001960;-0.35850004;0.50185008;25.59;0.029167;-0.010203
CW;78;180;180.00;135.00;50;-0.35269996;0.50539992;25.60;0.040715;-0.020410;-0.34039976;0.52360000;25.60;0.055208;0.012571
CW;79;337.5;337.50;157.50;50;-0.34374990;0.53065000;25.60;0.047812;0.014336;-0.34899996;0.50959990;25.60;0.047922;-0.021978
CW;80;90;90.00;90.00;50;-0.34599980;0.50919990;25.60;0.064993;-0.011812;-0.35149996;0.50924980;25.60;0.030173;0.004153
CCW;81;45;45.00;-45.00;50;-0.34359984;0.51874996;25.60;0.063357;0.002156;-0.34660010;0.50179980;25.60;0.030225;-0.009958
