smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;19;-0,37078680;-0,37076580;-0,00002104;0,55947364;0,54945260;0,01002103;24,88;24,88;0,00;0,05649286;0,04036840;0,01612446;0,01217182;-0,01920590;0,03137772
CCW;22,5;15;-0,36419668;-0,36536664;0,00116998;0,54459660;0,53708000;0,00751662;25,06;25,07;-0,01;0,06091569;0,03407894;0,02683675;0,00774186;-0,01515853;0,02290039
CCW;45;15;-0,36526664;-0,37178004;0,00651339;0,55341680;0,54496670;0,00845009;24,93;24,95;-0,02;0,06429118;0,03176074;0,03253044;0,00164681;-0,00863021;0,01027702
CCW;67,5;9;-0,35905556;-0,36747224;0,00841668;0,53693340;0,53531664;0,00161678;25,15;25,12;0,02;0,06510091;0,02976318;0,03533772;-0,00526123;-0,00207655;-0,00318468
CCW;90;13;-0,35804610;-0,36721152;0,00916541;0,54084620;0,53643850;0,00440770;25,15;25,16;-0,01;0,06324275;0,03228760;0,03095515;-0,01215726;0,00507512;-0,01723238
CCW;112,5;12;-0,35784160;-0,36627920;0,00843760;0,53714176;0,54142504;-0,00428331;25,12;25,12;-0,00;0,05907105;0,03654195;0,02252910;-0,01733195;0,01020610;-0,02753805
CCW;135;14;-0,36337504;-0,37283216;0,00945711;0,55203570;0,55902860;-0,00699294;24,91;24,90;0,01;0,05273158;0,04343000;0,00930158;-0,02070016;0,01376744;-0,03446760
CCW;157,5;12;-0,35980416;-0,36391250;0,00410834;0,53314170;0,54396250;-0,01082081;25,13;25,13;-0,00;0,04505310;0,04983073;-0,00477763;-0,02141459;0,01426961;-0,03568421
CCW;180;16;-0,36030308;-0,35830000;-0,00200307;0,53329690;0,54074376;-0,00744688;25,21;25,20;0,00;0,03894730;0,05566300;-0,01671570;-0,01963287;0,01231979;-0,03195267
CCW;202,5;17;-0,37189110;-0,36946464;-0,00242648;0,55140300;0,55991770;-0,00851470;24,88;24,87;0,00;0,03388500;0,06199649;-0,02811150;-0,01491699;0,00793400;-0,02285099
CCW;225;17;-0,37166476;-0,36990000;-0,00176474;0,55142640;0,56006768;-0,00864124;24,88;24,88;0,00;0,03033863;0,06641330;-0,03607466;-0,00871180;0,00176456;-0,01047636
CCW;247,5;13;-0,36782692;-0,36625000;-0,00157693;0,54534240;0,54847300;-0,00313061;24,99;24,99;-0,00;0,02964581;0,06580566;-0,03615986;-0,00183087;-0,00525428;0,00342342
CCW;270;16;-0,37452816;-0,36710936;-0,00741881;0,55515010;0,56038756;-0,00523746;24,84;24,84;-0,00;0,03292755;0,06549942;-0,03257187;0,00510574;-0,01186859;0,01697434
CCW;292,5;15;-0,36939676;-0,36427324;-0,00512350;0,54766340;0,54751330;0,00015008;25,05;25,05;0,00;0,03632909;0,05963542;-0,02330632;0,01011426;-0,01723568;0,02734993
CCW;315;16;-0,37207812;-0,36627190;-0,00580621;0,55593120;0,54990010;0,00603110;24,89;24,90;-0,01;0,04333282;0,05401184;-0,01067902;0,01362869;-0,02047302;0,03410172
CCW;337,5;13;-0,36728080;-0,36761924;0,00033846;0,54838080;0,54558470;0,00279611;25,00;24,99;0,01;0,04888522;0,04649696;0,00238826;0,01425199;-0,02126653;0,03551852
CW;0;13;-0,36736160;-0,36657692;-0,00078464;0,55635384;0,54632700;0,01002687;24,97;24,96;0,01;0,05688834;0,04110483;0,01578350;0,01218036;-0,01941012;0,03159048
CW;22,5;11;-0,36760910;-0,37028640;0,00267726;0,55470452;0,54620456;0,00849998;24,91;24,90;0,01;0,06148771;0,03523260;0,02625511;0,00762762;-0,01508567;0,02271329
CW;45;21;-0,36433812;-0,37033816;0,00600004;0,55108804;0,54428570;0,00680232;24,99;25,00;-0,01;0,06568128;0,03130860;0,03437268;0,00163028;-0,00876674;0,01039702
CW;67,5;17;-0,37190584;-0,37903824;0,00713238;0,56118244;0,55834710;0,00283533;24,79;24,79;-0,00;0,06563334;0,03044893;0,03518441;-0,00533591;-0,00149299;-0,00384292
CW;90;19;-0,36617364;-0,37226050;0,00608686;0,55124484;0,54862110;0,00262374;24,95;24,94;0,01;0,06458972;0,03237253;0,03221719;-0,01205824;0,00510447;-0,01716270
CW;112,5;18;-0,36417228;-0,37334720;0,00917494;0,54668340;0,55052508;-0,00384170;25,02;25,01;0,01;0,05922648;0,03670071;0,02252577;-0,01728570;0,01030748;-0,02759318
CW;135;16;-0,36493752;-0,36912190;0,00418437;0,54218440;0,54855936;-0,00637496;25,05;25,04;0,01;0,05334244;0,04248672;0,01085572;-0,02077622;0,01359421;-0,03437042
