azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;25;-0,26066798;-0,25460600;-0,00606197;0,52246608;0,51992210;0,00254399;0,04577676;0,04742706;-0,00165030;-0,03503828;0,02245410;-0,05749238
22,5;25;-0,26008004;-0,25410602;-0,00597402;0,51996404;0,51680400;0,00316006;0,03445293;0,05819267;-0,02373974;-0,03271474;0,01998691;-0,05270166
45;25;-0,27179602;-0,26373004;-0,00806597;0,53644000;0,52683190;0,00960809;0,02563818;0,06755246;-0,04191428;-0,02639346;0,01365664;-0,04005010
67,5;25;-0,26018800;-0,25980598;-0,00038204;0,52872410;0,52027000;0,00845408;0,01903281;0,07302041;-0,05398760;-0,01708447;0,00427852;-0,02136299
90;25;-0,25677000;-0,25757802;0,00080800;0,52054600;0,51298600;0,00756001;0,01746797;0,07527910;-0,05781113;-0,00606240;-0,00680488;0,00074248
112,5;25;-0,26039204;-0,26305004;0,00265801;0,52228192;0,51990604;0,00237590;0,01935820;0,07300429;-0,05364609;0,00490820;-0,01769385;0,02260205
135;25;-0,25598604;-0,25860402;0,00261799;0,51685000;0,51400010;0,00284988;0,02597685;0,06691299;-0,04093614;0,01408272;-0,02689912;0,04098184
157,5;25;-0,25527400;-0,25966604;0,00439203;0,51775600;0,51680200;0,00095397;0,03500430;0,05713604;-0,02213174;0,02010859;-0,03306562;0,05317422
180;25;-0,25522400;-0,26311800;0,00789401;0,51842608;0,51535196;0,00307411;0,04675361;0,04642432;0,00032929;0,02225450;-0,03504394;0,05729844
202,5;25;-0,26327400;-0,26678804;0,00351402;0,52577200;0,52584196;-0,00006998;0,05691377;0,03548085;0,02143292;0,01981308;-0,03270810;0,05252119
225;25;-0,25706804;-0,26061400;0,00354597;0,51566400;0,51935008;-0,00368607;0,06661504;0,02584776;0,04076728;0,01365254;-0,02639473;0,04004727
247,5;25;-0,25815604;-0,25873004;0,00057402;0,51191800;0,51995192;-0,00803393;0,07240146;0,01994512;0,05245634;0,00420166;-0,01691992;0,02112158
270;25;-0,25633604;-0,25802604;0,00169000;0,51341796;0,52111596;-0,00769800;0,07487735;0,01827793;0,05659942;-0,00684619;-0,00583389;-0,00101230
292,5;25;-0,25868800;-0,25516602;-0,00352198;0,51575400;0,52189196;-0,00613797;0,07168359;0,02010166;0,05158193;-0,01777598;0,00504531;-0,02282129
315;25;-0,26133804;-0,25554204;-0,00579599;0,51905000;0,52564400;-0,00659400;0,06624520;0,02715576;0,03908944;-0,02696699;0,01429053;-0,04125752
337,5;25;-0,26156396;-0,25295208;-0,00861189;0,51953000;0,51992600;-0,00039601;0,05637949;0,03643692;0,01994257;-0,03299366;0,02025576;-0,05324942
