cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;axA;ayA;xC;yC;axC;ayC
1;45;45.00;45.00;50;-0.55504996;0.99164980;0.026274;-0.026055;-0.50245004;0.91904984;0.066902;0.013064
2;202.5;202.50;157.50;50;-0.44295000;0.84360010;0.058730;0.019583;-0.42960020;0.81310032;0.036560;-0.031802
3;67.5;67.50;-135.00;50;-0.39339996;0.76934990;0.020122;-0.016824;-0.38389996;0.74035010;0.073584;0.004148
4;112.5;112.50;45.00;50;-0.35954988;0.72209968;0.021763;0.004937;-0.35055008;0.70094990;0.074150;-0.017385
5;315;-45.00;-157.50;50;-0.33754992;0.66270008;0.066624;-0.026169;-0.32785008;0.67360000;0.027959;0.013984
6;0;0.00;45.00;50;-0.31990010;0.64529984;0.046631;-0.034753;-0.30514996;0.63229970;0.047219;0.021758
7;22.5;22.50;22.50;50;-0.31825006;0.63879990;0.036763;-0.032119;-0.30359996;0.62824992;0.058413;0.019797
8;225;-135.00;-157.50;50;-0.28960008;0.60699990;0.065649;0.012769;-0.28655008;0.60434990;0.025972;-0.026121
9;90;-270.00;-135.00;50;-0.28020004;0.59804990;0.017385;-0.005815;-0.27234992;0.59109990;0.074023;-0.006528
10;180;-180.00;90.00;50;-0.27939996;0.58555000;0.047068;0.021870;-0.28385000;0.58944980;0.046887;-0.034399
11;270;-90.00;90.00;50;-0.27070000;0.58930004;0.075625;-0.006624;-0.26909990;0.59204984;0.018557;-0.005886
12;157.5;-202.50;-112.50;50;-0.27805000;0.58200000;0.036536;0.019226;-0.26779994;0.58830000;0.057058;-0.032461
13;135;-225.00;-22.50;50;-0.26454990;0.57215020;0.026616;0.013723;-0.26250010;0.57875000;0.066191;-0.026694
14;247.5;-112.50;112.50;50;-0.27084996;0.57850016;0.074851;0.004548;-0.27944990;0.59830004;0.021875;-0.016519
15;292.5;-67.50;45.00;50;-0.27000004;0.58689990;0.073611;-0.017351;-0.26660004;0.58579992;0.021985;0.004888
16;337.5;-22.50;45.00;50;-0.27529988;0.57555000;0.059043;-0.032183;-0.25800004;0.58670000;0.038237;0.020349
17;0;0.00;22.50;50;-0.26295006;0.58695010;0.046582;-0.034250;-0.26320000;0.58264992;0.046423;0.022163
18;292.5;-67.50;-67.50;50;-0.26190000;0.58600016;0.071418;-0.017356;-0.26665000;0.59044990;0.021707;0.004756
19;270;-90.00;-22.50;50;-0.27169990;0.58285016;0.073887;-0.006890;-0.26310004;0.58795008;0.020186;-0.005859
20;315;-45.00;45.00;50;-0.25780000;0.57944996;0.067422;-0.026650;-0.26359996;0.59209996;0.027454;0.014106
21;45;45.00;90.00;50;-0.26005010;0.59129996;0.026841;-0.026028;-0.25450000;0.57570000;0.067097;0.013706
22;247.5;-112.50;-157.50;50;-0.26180000;0.58205016;0.072725;0.004182;-0.25690008;0.58120010;0.020000;-0.016750
23;67.5;-292.50;-180.00;50;-0.24940002;0.59344996;0.020103;-0.017070;-0.25760008;0.58530000;0.073135;0.004409
24;202.5;-157.50;135.00;50;-0.25440012;0.58290016;0.057891;0.019590;-0.26270004;0.57665000;0.038354;-0.032346
25;180;-180.00;-22.50;50;-0.25209996;0.58540000;0.046533;0.022126;-0.27250000;0.59084992;0.046604;-0.034517
26;112.5;-247.50;-67.50;50;-0.25755010;0.58529990;0.021328;0.004653;-0.26355010;0.58880000;0.075471;-0.016841
27;157.5;-202.50;45.00;50;-0.25270000;0.57645004;0.036565;0.019868;-0.26464996;0.57775020;0.058059;-0.032620
28;337.5;-382.50;-180.00;50;-0.25030000;0.58404992;0.056697;-0.032402;-0.24580000;0.58225020;0.038110;0.020002
29;22.5;-337.50;45.00;50;-0.25229996;0.58190000;0.035100;-0.032297;-0.23875002;0.59149984;0.059412;0.020139
30;135;-225.00;112.50;50;-0.25139996;0.58629996;0.028330;0.014116;-0.26134992;0.57665016;0.068354;-0.026558
31;225;-135.00;90.00;50;-0.25160006;0.58744996;0.068740;0.014192;-0.25565008;0.59484992;0.026338;-0.026353
32;90;-270.00;-135.00;50;-0.25260004;0.58564996;0.017251;-0.005798;-0.25600008;0.56990004;0.077656;-0.006196
33;270;-90.00;-90.00;50;-0.26270000;0.57610000;0.074819;-0.006890;-0.25310010;0.59344984;0.018875;-0.005388
34;247.5;-112.50;-22.50;50;-0.24989994;0.58665000;0.072407;0.003848;-0.24835002;0.58220008;0.021921;-0.016655
35;202.5;-157.50;-45.00;50;-0.26240004;0.57980020;0.055562;0.019448;-0.26244998;0.58889996;0.035659;-0.031968
36;0;0.00;157.50;50;-0.26335008;0.57705000;0.046812;-0.034583;-0.25500004;0.58575004;0.048008;0.022332
37;225;-135.00;-135.00;50;-0.25735004;0.58310010;0.066250;0.013911;-0.24519998;0.58914984;0.026411;-0.025588
38;22.5;22.50;157.50;50;-0.26235000;0.58080010;0.036089;-0.032588;-0.24169990;0.58560010;0.059172;0.020449
39;180;180.00;157.50;50;-0.24445002;0.57290030;0.048394;0.022607;-0.26870000;0.58115010;0.047578;-0.034741
40;315;315.00;135.00;50;-0.25280000;0.59074984;0.067559;-0.026519;-0.24644990;0.58060016;0.029785;0.014333
41;45;45.00;45.00;50;-0.26344996;0.58515008;0.026548;-0.026106;-0.24775002;0.58020016;0.067830;0.013572
42;90;90.00;45.00;50;-0.24705000;0.58345010;0.019197;-0.006187;-0.24885014;0.57734990;0.076357;-0.006553
43;67.5;67.50;-22.50;50;-0.25835000;0.60105010;0.020564;-0.016826;-0.26279998;0.56584996;0.072319;0.004351
44;292.5;-67.50;-135.00;50;-0.25079998;0.58964980;0.072988;-0.017468;-0.25120008;0.58835008;0.020681;0.005273
45;135;-225.00;-157.50;50;-0.24705000;0.58375008;0.025813;0.013518;-0.26275006;0.57150008;0.067422;-0.026897
46;337.5;-382.50;-157.50;50;-0.26479998;0.58515000;0.055962;-0.032703;-0.25985004;0.57705000;0.037395;0.019878
47;112.5;-247.50;135.00;50;-0.25065004;0.57750004;0.020681;0.004800;-0.26075012;0.57705010;0.073301;-0.017542
48;157.5;-202.50;45.00;50;-0.26160008;0.59004984;0.036201;0.019858;-0.25834998;0.56915004;0.058308;-0.033030
49;67.5;-292.50;-90.00;50;-0.25995004;0.57590024;0.020449;-0.016931;-0.26020004;0.57195016;0.073433;0.004507
50;157.5;-202.50;90.00;50;-0.25615008;0.56990004;0.035286;0.020244;-0.26185010;0.58130000;0.057563;-0.032910
51;112.5;-247.50;-45.00;50;-0.25895004;0.56970010;0.019238;0.005229;-0.25845000;0.55870010;0.074863;-0.017009
52;337.5;-382.50;-135.00;50;-0.26235004;0.58430010;0.056770;-0.031997;-0.24200002;0.56515016;0.036450;0.019958
53;45;-315.00;67.50;50;-0.26760006;0.56570010;0.026013;-0.025906;-0.25815008;0.57714990;0.069600;0.013713
54;180;-180.00;135.00;50;-0.24890002;0.56500010;0.047732;0.023167;-0.26475006;0.57125016;0.046614;-0.034692
55;22.5;-337.50;-157.50;50;-0.25790006;0.58210010;0.034985;-0.032117;-0.24979994;0.56744984;0.058279;0.020090
56;315;-45.00;-45.00;50;-0.25890002;0.57260008;0.067002;-0.026284;-0.25420004;0.56845010;0.029192;0.014961
57;0;0.00;45.00;50;-0.25315008;0.56720008;0.047063;-0.034294;-0.25485010;0.57175004;0.048894;0.023083
58;225;-135.00;-135.00;50;-0.26205006;0.56335000;0.065491;0.013635;-0.26125004;0.56980016;0.026833;-0.026460
59;292.5;-67.50;67.50;50;-0.24970000;0.56139992;0.072493;-0.017869;-0.26235000;0.57045020;0.018923;0.005332
60;270;-90.00;-22.50;50;-0.26370004;0.57040020;0.076152;-0.006086;-0.26369998;0.56950010;0.018828;-0.005549
61;90;-270.00;-180.00;50;-0.25765004;0.57210040;0.017581;-0.005691;-0.25470010;0.55329996;0.076233;-0.006272
62;135;-225.00;45.00;50;-0.24569996;0.56770000;0.028113;0.013916;-0.26015004;0.56055010;0.067131;-0.026575
63;247.5;-112.50;112.50;50;-0.26580006;0.55910010;0.074763;0.004890;-0.25555016;0.57620010;0.020703;-0.016243
64;202.5;-157.50;-45.00;50;-0.25565008;0.56295000;0.056580;0.020347;-0.24935002;0.56160010;0.038291;-0.032549
65;315;-45.00;112.50;50;-0.27255002;0.56415010;0.066865;-0.026528;-0.25705008;0.57165000;0.027258;0.014746
66;112.5;112.50;157.50;50;-0.24464994;0.56390000;0.021008;0.005593;-0.25770006;0.54500010;0.074539;-0.017012
67;67.5;67.50;-45.00;50;-0.26009996;0.57730000;0.019143;-0.016396;-0.24635000;0.56700020;0.075115;0.004922
68;292.5;-67.50;-135.00;50;-0.25159996;0.55630000;0.072253;-0.017312;-0.25745012;0.57045008;0.020330;0.005718
69;90;90.00;157.50;50;-0.25600000;0.56224996;0.019182;-0.005818;-0.25460004;0.56725016;0.076294;-0.006123
70;270;-90.00;-180.00;50;-0.25380010;0.56095010;0.074153;-0.006929;-0.25500008;0.56840020;0.018806;-0.005479
71;157.5;-202.50;-112.50;50;-0.24334994;0.56044996;0.036487;0.020413;-0.25774994;0.56140010;0.058054;-0.032781
72;180;-180.00;22.50;50;-0.26029998;0.56420016;0.048169;0.022363;-0.26969996;0.56090000;0.046726;-0.034670
73;202.5;-157.50;22.50;50;-0.25295000;0.55410000;0.057617;0.020181;-0.24845000;0.56370020;0.037000;-0.032537
74;0;0.00;157.50;50;-0.26319998;0.56520004;0.047532;-0.034539;-0.25795010;0.55895008;0.048201;0.022971
75;22.5;22.50;22.50;50;-0.25995004;0.56049996;0.037222;-0.032351;-0.24289990;0.56435008;0.058618;0.020100
76;337.5;-22.50;-45.00;50;-0.26230004;0.56035020;0.056819;-0.032603;-0.25915000;0.56475010;0.036553;0.020134
77;135;135.00;157.50;50;-0.25095000;0.56455016;0.026526;0.014507;-0.26665002;0.54800016;0.067432;-0.026379
78;225;225.00;90.00;50;-0.25890002;0.54805010;0.067312;0.013940;-0.25465004;0.55850000;0.026882;-0.026116
79;45;45.00;-180.00;50;-0.26810002;0.56075010;0.025510;-0.026345;-0.25159994;0.55704992;0.068120;0.013770
80;247.5;-112.50;-157.50;50;-0.26344996;0.54525010;0.071743;0.004431;-0.26364996;0.55979996;0.018088;-0.016787
81;337.5;-22.50;90.00;50;-0.26530000;0.54770016;0.057598;-0.032642;-0.25955006;0.56115020;0.036665;0.020400
82;112.5;112.50;135.00;50;-0.26310012;0.55730010;0.020149;0.005430;-0.26005000;0.55295020;0.073479;-0.017322
83;67.5;67.50;-45.00;50;-0.25400000;0.56125000;0.018113;-0.017021;-0.26419996;0.54330016;0.073953;0.004883
84;90;90.00;22.50;50;-0.25945000;0.55160000;0.019126;-0.005977;-0.25885008;0.55820008;0.075601;-0.007112
85;292.5;-67.50;-157.50;50;-0.26400000;0.55065010;0.070010;-0.017495;-0.24925000;0.56265000;0.019363;0.005266
86;180;-180.00;-112.50;50;-0.26060006;0.55305004;0.047092;0.022461;-0.26390004;0.56054984;0.046313;-0.034734
87;22.5;-337.50;-157.50;50;-0.24754994;0.56404996;0.033562;-0.032009;-0.26005016;0.54315008;0.058167;0.020432
88;157.5;-202.50;135.00;50;-0.25970006;0.55265000;0.036340;0.020559;-0.26094996;0.54940004;0.056926;-0.032791
89;247.5;-112.50;90.00;50;-0.25660002;0.54755010;0.073530;0.004712;-0.25925004;0.55215016;0.020649;-0.016421
90;202.5;-157.50;-45.00;50;-0.25705016;0.54650016;0.057034;0.019714;-0.26560010;0.54105020;0.034490;-0.032378
91;0;0.00;157.50;50;-0.25715008;0.55620010;0.046248;-0.034651;-0.24905008;0.54395024;0.048254;0.022715
92;135;135.00;135.00;50;-0.25690008;0.55754984;0.027075;0.014402;-0.25089990;0.55635024;0.067656;-0.026399
93;315;-45.00;-180.00;50;-0.26400000;0.55084990;0.065859;-0.026548;-0.24955006;0.55394996;0.027324;0.014397
94;45;45.00;90.00;50;-0.26404998;0.54275020;0.025933;-0.025928;-0.24815002;0.55935010;0.068452;0.014229
95;225;-135.00;-180.00;50;-0.24204998;0.54365016;0.067344;0.014031;-0.25305004;0.55634980;0.026248;-0.025933
96;270;-90.00;45.00;50;-0.25179996;0.54325010;0.075723;-0.006472;-0.25860006;0.54785010;0.019150;-0.005425
97;292.5;-67.50;22.50;50;-0.25845010;0.55615010;0.073535;-0.016550;-0.25535002;0.55229990;0.018298;0.005071
98;202.5;-157.50;-90.00;50;-0.25960004;0.53975020;0.057642;0.020149;-0.26245004;0.54425016;0.036177;-0.031982
