smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;6;-0,41896664;-0,41015004;-0,00881660;0,59673332;0,59596676;0,00076658;25,43;25,43;0,01;0,03320842;0,04385132;-0,01064290;0,01207642;-0,00345174;0,01552816
CCW;22,5;7;-0,42832140;-0,41798564;-0,01033577;0,62214284;0,61957140;0,00257146;24,89;24,88;0,00;0,03776088;0,04158691;-0,00382603;0,01373744;-0,00428885;0,01802630
CCW;45;7;-0,41277144;-0,40982872;-0,00294271;0,57977870;0,57225716;0,00752151;25,83;25,81;0,02;0,03995047;0,03664377;0,00330671;0,01282645;-0,00503069;0,01785714
CCW;67,5;5;-0,42292992;-0,42144000;-0,00148997;0,62367004;0,61492010;0,00874996;24,89;24,89;0,00;0,04424756;0,03529150;0,00895606;0,01230762;-0,00303369;0,01534131
CCW;90;4;-0,43112500;-0,41694996;-0,01417503;0,62213752;0,62238750;-0,00024998;24,90;24,90;-0,01;0,04696289;0,03187439;0,01508850;0,00966309;-0,00057800;0,01024109
CCW;112,5;5;-0,42465000;-0,42288000;-0,00177002;0,64128992;0,63713000;0,00415993;24,54;24,50;0,03;0,04876709;0,03077100;0,01799609;0,00670410;0,00313818;0,00356592
CCW;135;5;-0,42102996;-0,42279000;0,00176004;0,62141010;0,61411010;0,00729996;24,98;24,96;0,02;0,04809082;0,03065039;0,01744043;0,00283057;0,00653076;-0,00370020
CCW;157,5;3;-0,41045012;-0,42040000;0,00994986;0,57713336;0,57316668;0,00396669;25,86;25,84;0,02;0,04680094;0,03097819;0,01582276;-0,00121582;0,00916178;-0,01037760
CCW;180;5;-0,41879996;-0,42334996;0,00454998;0,62000000;0,62905000;-0,00905001;24,89;24,88;0,01;0,04433057;0,03510742;0,00922315;-0,00306543;0,01219971;-0,01526514
CCW;202,5;3;-0,42035000;-0,42468330;0,00433332;0,64890010;0,65020008;-0,00129998;24,31;24,29;0,02;0,04260254;0,03852539;0,00407715;-0,00402425;0,01364421;-0,01766846
CCW;225;4;-0,41562500;-0,41703756;0,00141254;0,60266250;0,61340004;-0,01073754;25,21;25,18;0,03;0,03700195;0,04046448;-0,00346253;-0,00453796;0,01353760;-0,01807556
CCW;247,5;5;-0,42591996;-0,42885000;0,00293005;0,63533990;0,64846004;-0,01312011;24,45;24,47;-0,02;0,03496142;0,04475488;-0,00979346;-0,00255615;0,01269531;-0,01525147
CCW;270;5;-0,41516000;-0,41152000;-0,00364000;0,58631990;0,59501000;-0,00869006;25,55;25,52;0,04;0,03072608;0,04605811;-0,01533203;-0,00091699;0,00943750;-0,01035449
CCW;292,5;7;-0,42812140;-0,42459280;-0,00352857;0,64625710;0,65312150;-0,00686437;24,26;24,26;-0,00;0,03131138;0,04960554;-0,01829416;0,00353341;0,00691616;-0,00338274
CCW;315;6;-0,42254176;-0,41697500;-0,00556675;0,61595830;0,62288340;-0,00692511;25,00;24,99;0,01;0,03069214;0,04831624;-0,01762410;0,00654012;0,00294434;0,00359578
