smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;337.5;-22.50;-22.50;50;-0.40440010;0.55105008;26.59;0.029150;0.008359;-0.39554992;0.55620010;26.57;0.045859;-0.001653
CW;2;112.5;112.50;135.00;50;-0.40490012;0.55065000;26.60;0.047092;0.005742;-0.39400016;0.55344984;26.58;0.029753;0.001143
CW;3;247.5;247.50;135.00;50;-0.39390000;0.54260004;26.60;0.034231;-0.004854;-0.40920012;0.56020010;26.60;0.042134;0.011133
CW;4;0;360.00;112.50;50;-0.40295004;0.55045010;26.59;0.031106;0.011296;-0.40550010;0.54460008;26.60;0.043306;-0.003628
CW;5;135;135.00;135.00;50;-0.39559990;0.54725010;26.60;0.047346;0.001157;-0.40565004;0.54635000;26.60;0.027881;0.005081
CW;6;292.5;292.50;157.50;50;-0.40630010;0.53805020;26.59;0.029519;0.000898;-0.40045000;0.55840010;26.60;0.046211;0.005745
CW;7;90;90.00;90.00;50;-0.40655004;0.55560000;26.60;0.045393;0.008621;-0.41185010;0.55230010;26.58;0.030332;-0.002659
CCW;8;45;45.00;-45.00;50;-0.41119992;0.54160010;26.59;0.038940;0.012542;-0.39690010;0.54060008;26.56;0.035403;-0.005947
CW;9;45;45.00;0.00;50;-0.41095010;0.53795020;26.59;0.038784;0.012380;-0.40595012;0.54435016;26.60;0.036160;-0.005857
CCW;10;225;-135.00;-180.00;50;-0.40545016;0.54975000;26.60;0.035068;-0.005986;-0.40775000;0.55580000;26.57;0.038555;0.012473
CCW;11;157.5;-202.50;-67.50;50;-0.40455020;0.54850010;26.60;0.046067;-0.001572;-0.41035020;0.54295004;26.60;0.029958;0.008198
CCW;12;22.5;-337.50;-135.00;50;-0.40500020;0.55100024;26.60;0.035444;0.012612;-0.40030012;0.54320020;26.60;0.039729;-0.005718
CW;13;22.5;-337.50;0.00;50;-0.40455010;0.54675010;26.56;0.035662;0.012400;-0.40845024;0.54575016;26.58;0.038953;-0.005791
CCW;14;315;-45.00;-45.00;50;-0.40810020;0.55200004;26.54;0.028384;0.005444;-0.40790010;0.55564980;26.60;0.046711;0.002065
CCW;15;135;-225.00;-180.00;50;-0.40150016;0.55835016;26.54;0.046606;0.001443;-0.41614996;0.54740020;26.55;0.028960;0.005342
CCW;16;0;-360.00;-135.00;50;-0.41775012;0.55459980;26.58;0.032070;0.011316;-0.40930016;0.53570016;26.56;0.042905;-0.004763
CW;17;157.5;-202.50;157.50;50;-0.41535010;0.54410016;26.45;0.045635;-0.001638;-0.40230004;0.53695020;26.53;0.030645;0.008472
CW;18;270;-90.00;112.50;50;-0.40350016;0.54150016;26.45;0.029263;-0.001643;-0.40690004;0.55470000;26.47;0.044973;0.009155
CCW;19;90;-270.00;-180.00;50;-0.41570000;0.55035008;26.47;0.045208;0.008770;-0.40040000;0.54680016;26.56;0.030474;-0.001641
CCW;20;0;-360.00;-90.00;50;-0.40535004;0.54635030;26.47;0.031416;0.011355;-0.38994996;0.55045010;26.52;0.042949;-0.004180
CCW;21;270;-90.00;-90.00;50;-0.40985016;0.53555000;26.54;0.030400;-0.001492;-0.40325012;0.55100008;26.50;0.044861;0.008638
CW;22;67.5;67.50;157.50;50;-0.39954992;0.55890008;26.51;0.041675;0.011228;-0.39400000;0.54685000;26.54;0.033838;-0.004258
CW;23;157.5;157.50;90.00;50;-0.41025012;0.55615020;26.51;0.046943;-0.001880;-0.40435016;0.54545016;26.52;0.029907;0.008596
CCW;24;45;45.00;-112.50;50;-0.40930016;0.54980010;26.51;0.038860;0.012441;-0.40290004;0.54069996;26.45;0.036272;-0.005725
CW;25;112.5;112.50;67.50;50;-0.39885000;0.55544990;26.48;0.047759;0.005566;-0.40615016;0.53915020;26.51;0.029954;0.001121
CW;26;225;225.00;112.50;50;-0.40780024;0.55205010;26.45;0.035801;-0.005493;-0.40700010;0.55265000;26.53;0.039990;0.013093
CCW;27;45;45.00;-180.00;50;-0.40230004;0.54700010;26.45;0.039421;0.012571;-0.41195010;0.54280010;26.38;0.036377;-0.005596
CW;28;157.5;157.50;112.50;50;-0.40700016;0.55565000;26.33;0.046277;-0.001531;-0.41389992;0.55170010;26.32;0.032419;0.008757
CCW;29;67.5;67.50;-90.00;50;-0.39584992;0.55015020;26.30;0.042761;0.011641;-0.41210000;0.54080016;26.30;0.034949;-0.004307
CCW;30;270;-90.00;-157.50;50;-0.40640008;0.55480000;26.26;0.029490;-0.001636;-0.40875010;0.56539992;26.23;0.045669;0.008772
CCW;31;157.5;-202.50;-112.50;50;-0.40695020;0.55160016;26.17;0.046106;-0.001428;-0.41924990;0.55475010;26.11;0.030845;0.009280
CCW;32;135;-225.00;-22.50;50;-0.41714984;0.55885020;26.10;0.046123;0.002148;-0.41035010;0.55960010;26.10;0.028848;0.006272
CCW;33;45;-315.00;-90.00;50;-0.40940016;0.57510020;26.10;0.039236;0.012776;-0.40755024;0.55245008;26.10;0.035305;-0.005044
CCW;34;225;-135.00;-135.00;50;-0.41259996;0.56295016;26.10;0.035752;-0.004734;-0.40415012;0.57500010;26.03;0.039514;0.012200
CW;35;270;-90.00;45.00;50;-0.41655020;0.56860020;26.03;0.029727;-0.000640;-0.40585024;0.58150000;25.94;0.045728;0.009521
CW;36;0;0.00;90.00;50;-0.41534996;0.55395000;25.91;0.033547;0.011191;-0.41105010;0.57185010;25.95;0.043889;-0.003274
CCW;37;315;-45.00;-45.00;50;-0.41575000;0.56495004;25.86;0.028984;0.005967;-0.40315010;0.57230020;25.83;0.046858;0.002339
CCW;38;180;-180.00;-135.00;50;-0.40680020;0.57885016;25.89;0.042839;-0.003706;-0.41839984;0.57765000;25.87;0.033298;0.011482
CCW;39;45;-315.00;-135.00;50;-0.41255000;0.57990000;25.80;0.038936;0.013342;-0.41150024;0.57125020;25.79;0.036182;-0.004714
CCW;40;0;-360.00;-45.00;50;-0.41779992;0.56645020;25.82;0.032876;0.011641;-0.40870016;0.56750008;25.80;0.042280;-0.003669
CCW;41;270;-90.00;-90.00;50;-0.40545016;0.58030000;25.80;0.030789;-0.001365;-0.40545000;0.57800000;25.71;0.045610;0.009333
CCW;42;247.5;-112.50;-22.50;50;-0.41790000;0.57835010;25.74;0.033508;-0.003601;-0.41340008;0.59065000;25.72;0.044109;0.011458
CCW;43;67.5;-292.50;-180.00;50;-0.41920012;0.58435000;25.73;0.043064;0.011848;-0.40845010;0.57650010;25.68;0.033145;-0.003591
CW;44;180;-180.00;112.50;50;-0.41594996;0.57850004;25.63;0.043748;-0.003418;-0.40810016;0.58804992;25.65;0.033020;0.012043
CW;45;180;-180.00;0.00;50;-0.41095000;0.58739990;25.62;0.043135;-0.002854;-0.41925000;0.58805000;25.62;0.033132;0.012002
CCW;46;0;-360.00;-180.00;50;-0.41889990;0.59074980;25.60;0.032197;0.012063;-0.41385020;0.58784990;25.60;0.043369;-0.003118
CW;47;0;-360.00;0.00;50;-0.41330012;0.58889984;25.55;0.032378;0.012129;-0.41205000;0.59225004;25.60;0.043582;-0.003428
CCW;48;292.5;-67.50;-67.50;50;-0.41645000;0.59514980;25.60;0.029683;0.003008;-0.40560016;0.60150004;25.57;0.048230;0.006450
CCW;49;112.5;-247.50;-180.00;50;-0.41764996;0.60474990;25.59;0.047402;0.006597;-0.41220000;0.59784996;25.56;0.029353;0.002649
CCW;50;22.5;-337.50;-90.00;50;-0.42860000;0.59545000;25.47;0.037036;0.013201;-0.41185000;0.60005016;25.55;0.041333;-0.004653
CW;51;22.5;-337.50;0.00;50;-0.42069996;0.60089990;25.55;0.036772;0.013516;-0.41905008;0.59469984;25.54;0.039888;-0.004558
CCW;52;315;-45.00;-45.00;50;-0.41340004;0.59414976;25.46;0.030347;0.006277;-0.41319996;0.59929996;25.42;0.047825;0.002783
CCW;53;180;-180.00;-135.00;50;-0.40900000;0.59764992;25.37;0.043101;-0.003247;-0.42875000;0.61780010;25.33;0.035273;0.011589
CCW;54;22.5;-337.50;-157.50;50;-0.42964996;0.60150004;25.30;0.037124;0.013804;-0.41409988;0.59664992;25.30;0.040293;-0.004719
CW;55;22.5;-337.50;0.00;50;-0.42074990;0.60725004;25.30;0.036858;0.013547;-0.42184996;0.59755004;25.26;0.041602;-0.004451
CW;56;180;-180.00;157.50;50;-0.41614984;0.60385008;25.28;0.043093;-0.002969;-0.41160000;0.61170000;25.26;0.034353;0.012192
