smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;axA;ayA;xC;yC;axC;ayC
CCW;143;135;135.00;135.00;50;-0.25860004;0.56729996;0.025667;0.016843;-0.26855000;0.57455030;0.068372;-0.026487
CCW;144;202.5;202.50;67.50;50;-0.27030000;0.57640000;0.019888;-0.017065;-0.26505004;0.55904996;0.075737;0.007209
CCW;145;45;45.00;-157.50;50;-0.27885002;0.56330016;0.068618;0.017861;-0.26819996;0.57140016;0.028770;-0.027280
CCW;146;247.5;-112.50;-157.50;50;-0.26320000;0.56904996;0.037935;-0.033235;-0.27784996;0.55285000;0.059253;0.023948
CCW;147;337.5;-22.50;90.00;50;-0.26475006;0.56620000;0.076682;-0.015955;-0.26085008;0.56655000;0.019385;0.005815
CCW;148;90;90.00;112.50;50;-0.27395004;0.55829996;0.046243;0.026108;-0.26594996;0.57975010;0.048691;-0.035854
CCW;149;202.5;202.50;112.50;50;-0.26855000;0.56680020;0.020088;-0.017251;-0.25835004;0.56375000;0.074629;0.007302
CCW;150;315;315.00;112.50;50;-0.27034992;0.56275004;0.068621;-0.026982;-0.25110000;0.57125016;0.025886;0.016277
CCW;151;270;270.00;-45.00;50;-0.27239996;0.56515000;0.047346;-0.035911;-0.26874998;0.55090020;0.045642;0.025820
CCW;152;157.5;157.50;-112.50;50;-0.27344992;0.57260000;0.018967;0.006323;-0.26590000;0.57365008;0.076421;-0.016421
CCW;153;225;225.00;67.50;50;-0.26560000;0.58395000;0.025986;-0.027292;-0.27449998;0.56555010;0.064241;0.016704
CCW;154;292.5;292.50;67.50;50;-0.26620004;0.57324990;0.059956;-0.033357;-0.26385004;0.56194996;0.035986;0.023057
CCW;155;22.5;382.50;90.00;50;-0.26850004;0.56330020;0.074915;0.006704;-0.26909990;0.58085000;0.020261;-0.017019
CCW;156;112.5;112.50;112.50;50;-0.26509994;0.57035010;0.035796;0.023677;-0.26900008;0.56569992;0.060234;-0.032883
CCW;157;67.5;67.50;-45.00;50;-0.27689992;0.57550000;0.060322;0.024075;-0.27920000;0.56555010;0.036987;-0.033152
CCW;158;0;0.00;-67.50;50;-0.27104998;0.58694992;0.078516;-0.003708;-0.26924996;0.56760010;0.018330;-0.005574
CCW;159;180;-180.00;-180.00;50;-0.27574992;0.57770016;0.017659;-0.004734;-0.26960000;0.57455016;0.079326;-0.003601
CCW;160;135;-225.00;-45.00;50;-0.27580002;0.56689996;0.027842;0.016401;-0.27204992;0.55525004;0.071055;-0.025857
CCW;161;202.5;-157.50;67.50;50;-0.26920004;0.57550010;0.020510;-0.016960;-0.27399996;0.57480000;0.076577;0.007480
CCW;162;247.5;-112.50;45.00;50;-0.27624998;0.57440020;0.037588;-0.033660;-0.27880000;0.56760010;0.059126;0.023914
CCW;163;112.5;-247.50;-135.00;50;-0.26514998;0.56740016;0.037244;0.023191;-0.27844996;0.57440010;0.060969;-0.033071
CCW;164;270;-90.00;157.50;50;-0.27279994;0.56800000;0.049939;-0.035396;-0.26685002;0.57010000;0.047773;0.025386
CCW;165;337.5;-22.50;67.50;50;-0.26865004;0.56825010;0.076858;-0.015969;-0.26894996;0.56695016;0.019243;0.006650
CCW;166;22.5;22.50;45.00;50;-0.27155004;0.55779992;0.076370;0.007952;-0.26985004;0.57560016;0.020066;-0.016934
CCW;167;157.5;157.50;135.00;50;-0.26600004;0.56275016;0.019395;0.006611;-0.26619992;0.56675004;0.076113;-0.015750
CCW;168;292.5;292.50;135.00;50;-0.27330002;0.57635010;0.059734;-0.033071;-0.27499996;0.56370010;0.035337;0.023704
CCW;169;180;180.00;-112.50;50;-0.26495004;0.57310024;0.016121;-0.004919;-0.27360000;0.57205004;0.077932;-0.004163
CCW;170;90;90.00;-90.00;50;-0.26830006;0.55985010;0.049116;0.025950;-0.27504998;0.57135004;0.050632;-0.035083
CCW;171;315;-45.00;-135.00;50;-0.26984992;0.56979990;0.070217;-0.025747;-0.26190008;0.57240016;0.025728;0.017400
CCW;172;135;-225.00;-180.00;50;-0.26299998;0.57375020;0.028916;0.016956;-0.26275000;0.57835008;0.067871;-0.025679
CCW;173;45;-315.00;-90.00;50;-0.26140000;0.56294996;0.074050;0.017632;-0.27719992;0.57405008;0.028843;-0.026785
CCW;174;225;-135.00;-135.00;50;-0.27319992;0.56900008;0.027878;-0.026958;-0.26765004;0.55894990;0.070471;0.017229
CCW;175;67.5;-292.50;-157.50;50;-0.26715004;0.56385004;0.060334;0.023865;-0.27425006;0.57855010;0.037361;-0.033213
CCW;176;0;-360.00;-67.50;50;-0.27280000;0.57369990;0.079883;-0.004255;-0.27729990;0.57839990;0.018269;-0.005459
CCW;177;180;-180.00;-180.00;50;-0.27085004;0.57655000;0.016521;-0.005620;-0.27749996;0.55150024;0.078972;-0.004531
CCW;178;225;-135.00;45.00;50;-0.26785000;0.57985024;0.027102;-0.026985;-0.25825000;0.56415010;0.068489;0.017212
CCW;179;202.5;-157.50;-22.50;50;-0.27125000;0.57335016;0.020850;-0.017288;-0.27704992;0.56070020;0.075149;0.007200
CCW;180;270;-90.00;67.50;50;-0.25259996;0.56725016;0.047524;-0.035564;-0.26819996;0.56115000;0.045994;0.025728
CCW;181;45;45.00;135.00;50;-0.26499992;0.57130016;0.070142;0.017571;-0.26954994;0.56630016;0.025081;-0.027234
CCW;182;337.5;-22.50;-67.50;50;-0.26900002;0.56660010;0.077144;-0.015659;-0.26314998;0.56445010;0.019468;0.006545
CCW;183;315;-45.00;-22.50;50;-0.27594996;0.55845010;0.071958;-0.026250;-0.26600004;0.56039984;0.027312;0.016252
CCW;184;112.5;112.50;157.50;50;-0.26950014;0.56649992;0.035559;0.023267;-0.26790002;0.57340016;0.060483;-0.032961
