azimut;n;nCW;nCCW;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
105;20;10;10;-0,43150500;-0,43378752;0,00228250;0,55831010;0,55682504;0,00148505;25,12;25,11;0,01;0,03888367;0,03602551;0,00285816;-0,00119812;0,01143958;-0,01263770
110;20;11;9;-0,43276244;-0,43587748;0,00311503;0,55706508;0,55017760;0,00688750;25,16;25,15;0,02;0,03840747;0,03636487;0,00204260;-0,00121753;0,01166394;-0,01288147
115;20;10;10;-0,43459000;-0,43615492;0,00156492;0,55399500;0,55448250;-0,00048751;25,14;25,14;-0,00;0,03764355;0,03624414;0,00139941;-0,00141956;0,01160376;-0,01302332
120;20;11;9;-0,43237750;-0,43525752;0,00288004;0,56492748;0,56073252;0,00419492;25,01;25,03;-0,01;0,03730517;0,03795276;-0,00064759;-0,00131079;0,01164050;-0,01295129
125;20;11;9;-0,42938250;-0,43498750;0,00560498;0,55641510;0,55090990;0,00550520;25,14;25,15;-0,01;0,03680506;0,03811353;-0,00130847;-0,00134448;0,01165588;-0,01300037
130;20;12;8;-0,42928252;-0,43859996;0,00931746;0,55500256;0,55161508;0,00338751;25,16;25,16;-0,00;0,03660778;0,03835534;-0,00174756;-0,00132874;0,01167639;-0,01300513
135;20;10;10;-0,43047756;-0,43502244;0,00454488;0,56158508;0,56056250;0,00102258;25,06;25,05;0,00;0,03527661;0,03913159;-0,00385498;-0,00107227;0,01160510;-0,01267737
140;20;5;15;-0,43180748;-0,43385996;0,00205252;0,55775252;0,55420756;0,00354499;25,10;25,10;0,00;0,03513306;0,03970313;-0,00457007;-0,00097937;0,01147900;-0,01245837
145;20;9;11;-0,42972000;-0,43477996;0,00505999;0,55594500;0,55439248;0,00155252;25,16;25,15;0,00;0,03452063;0,04011706;-0,00559644;-0,00080542;0,01112060;-0,01192602
150;20;7;13;-0,43135996;-0,43616740;0,00480747;0,56247510;0,55909750;0,00337756;25,03;25,03;0,00;0,03380285;0,04075415;-0,00695129;-0,00038013;0,01098547;-0,01136560
155;20;10;10;-0,43166500;-0,43567996;0,00401497;0,55957260;0,56214004;-0,00256747;25,03;25,02;0,01;0,03341760;0,04132337;-0,00790576;-0,00009021;0,01067066;-0,01076087
160;20;13;7;-0,42909000;-0,43747240;0,00838238;0,56019010;0,56068004;-0,00048995;25,07;25,06;0,00;0,03286438;0,04142419;-0,00855981;0,00021924;0,01009546;-0,00987622
165;20;10;10;-0,43349500;-0,43533500;0,00184000;0,55995760;0,56154000;-0,00158238;25,03;25,03;0,00;0,03261646;0,04138183;-0,00876537;0,00063843;0,00997461;-0,00933618
170;20;11;9;-0,43128000;-0,43468748;0,00340748;0,55854750;0,56223250;-0,00368500;25,05;25,04;0,01;0,03215466;0,04181067;-0,00965601;0,00104431;0,00964795;-0,00860364
175;20;10;10;-0,43274500;-0,43592996;0,00318497;0,55748752;0,55784500;-0,00035745;25,11;25,10;0,02;0,03190564;0,04242737;-0,01052172;0,00141553;0,00906030;-0,00764478
180;20;9;11;-0,43093496;-0,43405996;0,00312498;0,55266756;0,55261004;0,00005752;25,17;25,16;0,01;0,03100122;0,04249487;-0,01149365;0,00182178;0,00853760;-0,00671582
185;20;10;10;-0,43400996;-0,43626504;0,00225508;0,56102510;0,56438750;-0,00336242;25,13;25,13;-0,00;0,03106531;0,04277857;-0,01171326;0,00223438;0,00820874;-0,00597437
190;20;11;9;-0,43294244;-0,43556248;0,00262001;0,56251500;0,56127008;0,00124496;25,02;25,03;-0,01;0,03146448;0,04334912;-0,01188465;0,00277454;0,00785986;-0,00508533
195;20;8;12;-0,43318240;-0,43365496;0,00047255;0,55469250;0,55578250;-0,00108999;25,09;25,11;-0,02;0,03077576;0,04352478;-0,01274902;0,00345947;0,00712292;-0,00366345
200;20;13;7;-0,43264000;-0,43230000;-0,00034001;0,55135000;0,55595004;-0,00460005;25,16;25,15;0,01;0,03035571;0,04376221;-0,01340649;0,00391541;0,00651453;-0,00259912
205;20;6;14;-0,43042248;-0,43252508;0,00210258;0,55378260;0,55426996;-0,00048739;25,14;25,13;0,01;0,03039368;0,04367261;-0,01327893;0,00460803;0,00599976;-0,00139172
210;20;10;10;-0,43095248;-0,43547992;0,00452748;0,55746000;0,56041250;-0,00295252;25,08;25,08;-0,00;0,03049512;0,04375134;-0,01325622;0,00516150;0,00520605;-0,00004456
215;20;7;13;-0,43191004;-0,43347248;0,00156245;0,54961250;0,55458250;-0,00496995;25,15;25,16;-0,00;0,03026172;0,04361951;-0,01335779;0,00578919;0,00464319;0,00114600
220;20;12;8;-0,43070492;-0,43356996;0,00286505;0,55175008;0,55401268;-0,00226259;25,18;25,17;0,01;0,03048779;0,04373706;-0,01324927;0,00628052;0,00398315;0,00229736
225;20;12;8;-0,43068996;-0,43074244;0,00005248;0,55257500;0,55787260;-0,00529760;25,14;25,16;-0,01;0,03069483;0,04361084;-0,01291601;0,00677429;0,00344568;0,00332861
230;20;8;12;-0,43227996;-0,43280000;0,00052002;0,55291504;0,55896016;-0,00604510;25,11;25,10;0,01;0,03075830;0,04318250;-0,01242420;0,00750464;0,00301758;0,00448706
235;20;9;11;-0,43445244;-0,43473252;0,00028008;0,55719008;0,56109508;-0,00390500;25,03;25,03;0,00;0,03095666;0,04353101;-0,01257435;0,00809131;0,00239917;0,00569214
240;20;8;12;-0,43075248;-0,43141492;0,00066248;0,55476760;0,56382500;-0,00905740;25,04;25,04;-0,01;0,03143250;0,04290589;-0,01147339;0,00859851;0,00196033;0,00663818
245;20;12;8;-0,43156500;-0,43364500;0,00208002;0,55016492;0,55447000;-0,00430506;25,14;25,15;-0,00;0,03166992;0,04292627;-0,01125635;0,00883337;0,00134619;0,00748718
250;20;7;13;-0,43085248;-0,43493004;0,00407755;0,55814252;0,55968750;-0,00154495;25,09;25,08;0,01;0,03198779;0,04273681;-0,01074902;0,00959924;0,00100476;0,00859448
255;20;9;11;-0,43219250;-0,43693748;0,00474498;0,55588750;0,56569500;-0,00980747;25,05;25,05;0,00;0,03263146;0,04284350;-0,01021203;0,00992883;0,00036694;0,00956189
260;20;7;13;-0,43238744;-0,43273996;0,00035253;0,55174750;0,55856250;-0,00681502;25,16;25,17;-0,01;0,03282764;0,04200110;-0,00917346;0,01022876;0,00016138;0,01006738
265;20;12;8;-0,43001748;-0,43576496;0,00574750;0,55287500;0,55570256;-0,00282758;25,15;25,15;-0,00;0,03377441;0,04168470;-0,00791028;0,01058215;-0,00028430;0,01086645
270;20;9;11;-0,43430248;-0,43488992;0,00058746;0,55339500;0,56335752;-0,00996256;25,06;25,06;-0,00;0,03435559;0,04173108;-0,00737549;0,01111499;-0,00044824;0,01156323
275;20;7;13;-0,43602996;-0,43345748;-0,00257251;0,55347000;0,55929756;-0,00582755;25,11;25,11;0,01;0,03426111;0,04031787;-0,00605676;0,01108215;-0,00082739;0,01190955
280;20;8;12;-0,43413500;-0,42983000;-0,00430503;0,55296252;0,56224760;-0,00928503;25,07;25,08;-0,01;0,03517749;0,04014087;-0,00496338;0,01158362;-0,00111829;0,01270190
285;20;11;9;-0,43201748;-0,43414750;0,00213003;0,55341020;0,55772510;-0,00431490;25,17;25,17;-0,00;0,03582617;0,03963818;-0,00381201;0,01144189;-0,00117456;0,01261645
290;20;12;8;-0,43639500;-0,43162250;-0,00477248;0,55008008;0,55413510;-0,00405502;25,15;25,18;-0,02;0,03589588;0,03943140;-0,00353552;0,01153137;-0,00150574;0,01303711
295;20;9;11;-0,43548744;-0,43049008;-0,00499737;0,55779252;0,56353504;-0,00574249;25,03;25,04;-0,01;0,03662732;0,03862293;-0,00199561;0,01173889;-0,00142603;0,01316492
300;20;11;9;-0,43693248;-0,43212492;-0,00480753;0,55311250;0,55653750;-0,00342500;25,09;25,10;-0,01;0,03721594;0,03834021;-0,00112427;0,01171167;-0,00171570;0,01342737
305;20;9;11;-0,43725248;-0,42989492;-0,00735754;0,55492010;0,55960756;-0,00468749;25,09;25,07;0,02;0,03823450;0,03783288;0,00040162;0,01170801;-0,00156531;0,01327332
310;20;11;9;-0,43604000;-0,43241244;-0,00362754;0,55617500;0,55877000;-0,00259501;25,08;25,07;0,00;0,03820422;0,03695044;0,00125378;0,01180566;-0,00138818;0,01319385
315;20;12;8;-0,43577250;-0,43080504;-0,00496748;0,55295000;0,55595500;-0,00300497;25,17;25,17;-0,00;0,03902234;0,03621545;0,00280688;0,01146350;-0,00144446;0,01290796
320;20;12;8;-0,43452748;-0,43214244;-0,00238502;0,56005010;0,56107244;-0,00102240;25,02;25,02;-0,01;0,03960290;0,03583691;0,00376599;0,01153162;-0,00126819;0,01279980
325;20;14;6;-0,43603500;-0,42793496;-0,00810000;0,55628750;0,55827510;-0,00198758;25,08;25,08;-0,01;0,04002356;0,03515723;0,00486633;0,01118079;-0,00101050;0,01219128
330;20;6;14;-0,43623740;-0,43017744;-0,00605997;0,55187250;0,55421248;-0,00233996;25,15;25,16;-0,00;0,04049634;0,03450854;0,00598779;0,01059473;-0,00086731;0,01146204
335;20;10;10;-0,43479748;-0,43017492;-0,00462255;0,55899750;0,56018750;-0,00119001;25,02;25,02;-0,01;0,04064405;0,03401014;0,00663391;0,01061316;-0,00037537;0,01098852
340;20;12;8;-0,43571250;-0,43125996;-0,00445253;0,55480010;0,55428252;0,00051755;25,16;25,16;-0,01;0,04123108;0,03396314;0,00726794;0,01008118;-0,00020825;0,01028943
345;20;12;8;-0,43207496;-0,42979504;-0,00227994;0,55264500;0,55291250;-0,00026745;25,16;25,17;-0,01;0,04131458;0,03323535;0,00807922;0,00980005;0,00008020;0,00971985
350;20;8;12;-0,43468004;-0,42874748;-0,00593257;0,55512250;0,55779250;-0,00266999;25,11;25,11;0,01;0,04223890;0,03279504;0,00944385;0,00947168;0,00056372;0,00890796
355;20;8;12;-0,43924992;-0,42963750;-0,00961244;0,56357248;0,56279250;0,00077999;25,02;25,01;0,01;0,04267260;0,03286804;0,00980456;0,00901001;0,00105945;0,00795056
