azimut;n;nCW;nCCW;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;20;8;12;-0,43463248;-0,43284256;-0,00178993;0,55447750;0,55409000;0,00038749;25,12;25,12;0,00;0,04254736;0,03160205;0,01094532;0,00849561;0,00170007;0,00679553
5;20;11;9;-0,43672252;-0,43263250;-0,00409001;0,55638752;0,55182756;0,00455999;25,14;25,14;-0,00;0,04280578;0,03109118;0,01171460;0,00813135;0,00215161;0,00597974
10;20;10;10;-0,43700744;-0,43160744;-0,00540000;0,55060756;0,55059252;0,00001502;25,17;25,17;-0,00;0,04282959;0,03158166;0,01124793;0,00770398;0,00250037;0,00520361
15;20;9;11;-0,43508500;-0,43270750;-0,00237751;0,56117250;0,55588510;0,00528741;25,05;25,05;-0,00;0,04349915;0,03159522;0,01190393;0,00716919;0,00304895;0,00412024
20;20;10;10;-0,43547750;-0,42876750;-0,00670999;0,55512250;0,54922504;0,00589746;25,16;25,16;0,00;0,04344726;0,03117896;0,01226831;0,00665332;0,00352368;0,00312964
25;20;10;10;-0,43478250;-0,43254000;-0,00224251;0,55743010;0,55250250;0,00492758;25,14;25,12;0,01;0,04378663;0,03120179;0,01258484;0,00579480;0,00420740;0,00158740
30;20;9;11;-0,43349752;-0,43220744;-0,00129008;0,55318752;0,55054504;0,00264251;25,16;25,16;-0,00;0,04365576;0,03090369;0,01275207;0,00538208;0,00488672;0,00049536
35;20;11;9;-0,43354500;-0,43389750;0,00035247;0,56025004;0,55362756;0,00662249;25,06;25,06;-0,01;0,04382752;0,03066577;0,01316174;0,00468054;0,00542102;-0,00074048
40;20;12;8;-0,43657500;-0,43115000;-0,00542498;0,55870752;0,55330000;0,00540751;25,09;25,09;-0,00;0,04356799;0,03099072;0,01257727;0,00413464;0,00607703;-0,00194238
45;20;11;9;-0,43482250;-0,42965992;-0,00516257;0,56083000;0,55940500;0,00142497;25,01;25,03;-0,01;0,04354382;0,03065882;0,01288501;0,00365796;0,00678345;-0,00312549
50;20;9;11;-0,43540000;-0,42868000;-0,00672001;0,55715256;0,55092000;0,00623256;25,12;25,13;-0,01;0,04321996;0,03133777;0,01188220;0,00299829;0,00728381;-0,00428552
55;20;12;8;-0,43581000;-0,42983252;-0,00597748;0,55669752;0,55207000;0,00462753;25,17;25,17;-0,00;0,04305811;0,03119434;0,01186377;0,00249451;0,00789514;-0,00540063
60;20;8;12;-0,43250244;-0,42953000;-0,00297245;0,55620500;0,55209004;0,00411493;25,14;25,15;-0,01;0,04268054;0,03176135;0,01091919;0,00189832;0,00835803;-0,00645972
65;20;7;13;-0,43298250;-0,43179504;-0,00118747;0,55767750;0,55206000;0,00561750;25,13;25,13;-0,00;0,04227673;0,03179028;0,01048645;0,00140210;0,00881177;-0,00740967
70;20;10;10;-0,43600000;-0,43085500;-0,00514504;0,55956256;0,55282760;0,00673497;25,12;25,10;0,02;0,04217700;0,03233350;0,00984351;0,00099304;0,00907434;-0,00808130
75;20;12;8;-0,43254748;-0,43249750;-0,00004998;0,56215510;0,55761500;0,00454015;25,04;25,03;0,01;0,04177026;0,03245496;0,00931531;0,00056775;0,00975488;-0,00918713
80;20;9;11;-0,43715996;-0,43379250;-0,00336745;0,56079508;0,55173016;0,00906491;25,14;25,14;-0,00;0,04170935;0,03326660;0,00844275;0,00007568;0,01017590;-0,01010022
85;20;10;10;-0,43351752;-0,43504490;0,00152740;0,56087008;0,55449752;0,00637251;25,10;25,09;0,00;0,04109107;0,03356995;0,00752112;-0,00024609;0,01059180;-0,01083789
90;20;10;10;-0,43499748;-0,43689748;0,00189999;0,56464000;0,55908256;0,00555742;25,04;25,04;0,00;0,04033154;0,03395947;0,00637207;-0,00041492;0,01089539;-0,01131030
95;20;11;9;-0,43304508;-0,43402004;0,00097498;0,56489760;0,55697996;0,00791764;25,03;25,04;-0,01;0,04048902;0,03443298;0,00605604;-0,00080774;0,01110925;-0,01191699
100;20;9;11;-0,43275244;-0,43619996;0,00344753;0,56199500;0,55750256;0,00449246;25,10;25,09;0,01;0,03943286;0,03531800;0,00411487;-0,00098206;0,01125037;-0,01223242
