smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;185;-175.00;-175.00;50;-0.48755016;0.71490016;24.68;0.030417;0.001145;-0.47760010;0.68620010;24.68;0.043127;0.007449
CCW;2;80;-280.00;-105.00;50;-0.45464990;0.67074996;24.72;0.046614;-0.000757;-0.45374992;0.64220010;24.80;0.034888;0.010161
CW;3;90;-270.00;10.00;50;-0.43630000;0.62684992;24.80;0.041113;-0.000735;-0.43755000;0.60575016;24.80;0.033940;0.010549
CW;4;165;-195.00;75.00;50;-0.40795004;0.59929980;24.88;0.033049;-0.000601;-0.41635000;0.58294992;24.91;0.041887;0.010281
CW;5;235;-125.00;70.00;50;-0.40080016;0.57400000;24.99;0.031055;0.007261;-0.39895004;0.57485020;24.99;0.043901;0.001741
CW;6;245;-115.00;10.00;50;-0.41465004;0.55289996;24.97;0.032476;0.007871;-0.40270000;0.56365000;24.97;0.044595;0.000349
CCW;7;205;-155.00;-40.00;50;-0.39550000;0.55235020;24.98;0.031489;0.003757;-0.38634992;0.54655004;24.98;0.044490;0.005117
CW;8;225;-135.00;20.00;50;-0.38750000;0.55369990;24.92;0.030034;0.006013;-0.39070004;0.55660016;24.93;0.044705;0.003416
CCW;9;195;-165.00;-30.00;50;-0.38774996;0.54795000;25.00;0.031558;0.002322;-0.39610000;0.55465010;25.03;0.043865;0.006692
CW;10;5;5.00;170.00;50;-0.40210016;0.54995000;25.03;0.043643;0.007488;-0.39145000;0.54215010;25.09;0.031619;0.001882
CCW;11;335;-25.00;-30.00;50;-0.39664996;0.52994996;25.09;0.042322;0.010381;-0.38629992;0.54295032;25.09;0.034526;-0.001472
CCW;12;265;-95.00;-70.00;50;-0.38439984;0.55310000;25.10;0.033579;0.010515;-0.39059992;0.56065016;25.10;0.041714;-0.000225
CW;13;325;-35.00;60.00;50;-0.39440000;0.55190016;25.10;0.042163;0.011089;-0.38249988;0.55205000;25.10;0.035315;-0.001758
CCW;14;280;-80.00;-45.00;50;-0.39620008;0.53670008;25.10;0.035525;0.011570;-0.38570000;0.55405016;25.10;0.037668;-0.001682
CW;15;295;-65.00;15.00;50;-0.39690000;0.54165024;25.11;0.037026;0.011780;-0.38410000;0.54630030;25.16;0.038577;-0.002346
CW;16;25;25.00;90.00;50;-0.39420016;0.55210010;25.10;0.044492;0.005659;-0.39274996;0.54120020;25.07;0.031589;0.003398
CW;17;50;50.00;25.00;50;-0.40290004;0.55240000;25.10;0.043928;0.002319;-0.38599996;0.55865010;25.10;0.031184;0.006597
CW;18;60;60.00;10.00;50;-0.38484990;0.56350004;25.08;0.042690;0.001506;-0.39214992;0.54880008;25.10;0.032551;0.007849
CW;19;230;230.00;170.00;50;-0.38625000;0.54500020;25.10;0.030776;0.007056;-0.38020000;0.56060016;25.10;0.044932;0.002576
CW;20;30;390.00;160.00;50;-0.39369992;0.55635010;25.10;0.044983;0.004978;-0.38194996;0.55435010;25.10;0.032954;0.003479
CCW;21;20;380.00;-10.00;50;-0.39620004;0.55670008;25.11;0.043879;0.006223;-0.39715000;0.55035000;25.10;0.032075;0.002197
CW;22;115;115.00;115.00;50;-0.39990004;0.55354992;25.11;0.038264;-0.002507;-0.39360000;0.54600000;25.10;0.037473;0.009763
CCW;23;340;-20.00;-135.00;50;-0.39635016;0.55040000;25.13;0.041897;0.009053;-0.39290008;0.56850004;25.10;0.034187;-0.000967
CW;24;110;110.00;130.00;50;-0.39825008;0.56020010;25.10;0.038794;-0.002073;-0.39264992;0.54980016;25.13;0.036047;0.011079
CCW;25;305;-55.00;-165.00;50;-0.38975004;0.56150010;25.22;0.037515;0.011133;-0.39029996;0.57265000;25.11;0.038909;-0.002419
CCW;26;180;-180.00;-125.00;50;-0.39365004;0.56699990;25.13;0.030371;0.000818;-0.39075008;0.56399996;25.10;0.043730;0.007566
CCW;27;65;-295.00;-115.00;50;-0.39510008;0.56250008;25.10;0.042368;0.001187;-0.39585000;0.55610010;25.17;0.031724;0.008452
CW;28;75;-285.00;10.00;50;-0.39079996;0.55810000;25.10;0.041814;-0.000754;-0.38970008;0.56544996;25.14;0.033157;0.008477
CW;29;140;-220.00;65.00;50;-0.39510008;0.56480000;25.13;0.035530;-0.001169;-0.40270012;0.56315004;25.12;0.038923;0.010908
CCW;30;55;-305.00;-85.00;50;-0.39675020;0.57300000;25.24;0.042402;0.002200;-0.39960004;0.56015010;25.21;0.031111;0.008254
CW;31;150;-210.00;95.00;50;-0.39709990;0.56095004;25.26;0.032666;-0.000984;-0.39845016;0.56095010;25.20;0.039814;0.010835
CCW;32;345;-375.00;-165.00;50;-0.39650000;0.55880004;25.18;0.041179;0.008691;-0.39360010;0.55845010;25.25;0.032791;-0.000305
CCW;33;190;-170.00;-170.00;50;-0.38345012;0.56670010;25.16;0.031873;0.001682;-0.40580004;0.56590010;25.16;0.044844;0.007083
CW;34;300;-60.00;110.00;50;-0.40690016;0.56390008;25.20;0.036990;0.010999;-0.39705000;0.55885004;25.27;0.038137;-0.002805
CW;35;45;45.00;105.00;50;-0.39274992;0.56310004;25.25;0.044175;0.002878;-0.39455008;0.55485004;25.26;0.031995;0.005549
CW;36;220;220.00;175.00;50;-0.40080004;0.56079990;25.23;0.031802;0.005264;-0.39785020;0.56215010;25.23;0.044365;0.003096
CW;37;350;350.00;130.00;50;-0.40459996;0.56565004;25.25;0.043181;0.008398;-0.38520000;0.57195016;25.22;0.032788;-0.000830
CCW;38;250;250.00;-100.00;50;-0.39595008;0.55664990;25.26;0.031599;0.009016;-0.38910004;0.56740004;25.15;0.043286;0.000066
CCW;39;155;155.00;-95.00;50;-0.40075020;0.56380000;25.12;0.034265;-0.001299;-0.40275004;0.56440010;25.12;0.042197;0.009797
CCW;40;145;145.00;-10.00;50;-0.39835008;0.56650020;25.16;0.034614;-0.002102;-0.39039984;0.56375010;25.16;0.041514;0.010425
CW;41;290;290.00;145.00;50;-0.39285004;0.56199990;25.17;0.036528;0.010974;-0.39019992;0.57130016;25.16;0.040132;-0.002205
CCW;42;120;120.00;-170.00;50;-0.39684992;0.57474990;25.12;0.037363;-0.002913;-0.40120004;0.56320008;25.17;0.038428;0.009758
CW;43;135;135.00;15.00;50;-0.39830000;0.56569992;25.22;0.035886;-0.001880;-0.39734992;0.55675000;25.18;0.039631;0.010918
CW;44;285;285.00;150.00;50;-0.39640000;0.56770016;25.25;0.036704;0.010330;-0.39915004;0.56510016;25.23;0.040779;-0.002388
CCW;45;210;210.00;-75.00;50;-0.39110000;0.55715020;25.24;0.031953;0.003569;-0.40750016;0.56360020;25.22;0.043523;0.004580
CCW;46;100;100.00;-110.00;50;-0.40860020;0.57710010;25.25;0.041936;-0.002073;-0.41585010;0.55370010;25.16;0.035642;0.010544
CCW;47;310;-50.00;-150.00;50;-0.40490016;0.55915016;25.27;0.036665;0.011631;-0.39719992;0.56515016;25.20;0.036255;-0.001763
CW;48;315;-45.00;5.00;50;-0.40655000;0.56705010;25.23;0.038821;0.011436;-0.39465004;0.56920010;25.18;0.036672;-0.002070
CCW;49;260;-100.00;-55.00;50;-0.39570004;0.57675010;25.21;0.032144;0.009727;-0.39935000;0.56184996;25.14;0.042026;-0.000981
CCW;50;170;-190.00;-90.00;50;-0.39855000;0.57050020;25.26;0.032158;0.000022;-0.39245000;0.56400010;25.26;0.042292;0.008936
CW;51;175;-185.00;5.00;50;-0.39895004;0.56695000;25.22;0.030986;0.000596;-0.40690004;0.56274984;25.26;0.043342;0.007979
CW;52;320;-40.00;145.00;50;-0.40990000;0.57960016;25.13;0.040381;0.010535;-0.39764988;0.56465008;25.18;0.037419;-0.002605
CW;53;95;95.00;135.00;50;-0.39920000;0.56330000;25.19;0.041338;-0.001848;-0.40810016;0.56170010;25.22;0.035742;0.010544
CW;54;160;160.00;65.00;50;-0.39755020;0.55050004;25.23;0.031851;-0.000513;-0.39970004;0.56145020;25.26;0.039231;0.009666
CW;55;330;330.00;170.00;50;-0.39704992;0.55255010;25.17;0.040469;0.010154;-0.39620008;0.57850010;25.14;0.035295;-0.002041
CCW;56;240;240.00;-90.00;50;-0.41260000;0.55325000;25.18;0.030686;0.006792;-0.39620008;0.55850008;25.18;0.043201;0.001277
CCW;57;200;200.00;-40.00;50;-0.40270012;0.56020010;25.24;0.030330;0.003057;-0.39645012;0.56265020;25.24;0.043665;0.006484
CW;58;215;215.00;15.00;50;-0.40285012;0.55115000;25.22;0.030581;0.004302;-0.40610028;0.56000010;25.25;0.044326;0.003594
CCW;59;105;105.00;-110.00;50;-0.40975010;0.56260000;25.23;0.038730;-0.001558;-0.41095012;0.54225010;25.26;0.036538;0.010762
CW;60;125;125.00;20.00;50;-0.39815008;0.55720020;25.24;0.036216;-0.001846;-0.41045008;0.57369990;25.30;0.039272;0.010796
CCW;61;0;0.00;-125.00;50;-0.39990004;0.55685000;25.30;0.042822;0.008191;-0.40835016;0.55455020;25.28;0.030823;0.000535
CCW;62;255;-105.00;-105.00;50;-0.40920010;0.55140000;25.30;0.032437;0.009116;-0.40580012;0.56569990;25.24;0.041870;-0.000364
CW;63;70;70.00;175.00;50;-0.40425016;0.56415020;25.29;0.042859;0.000002;-0.41475000;0.55430010;25.30;0.033281;0.008601
CCW;64;35;35.00;-35.00;50;-0.40650000;0.57025000;25.30;0.044111;0.004360;-0.40190016;0.55700010;25.30;0.031243;0.004314
CCW;65;355;-5.00;-40.00;50;-0.41280000;0.56160010;25.30;0.043523;0.008418;-0.39320008;0.56480010;25.28;0.033840;-0.000605
CW;66;10;10.00;15.00;50;-0.41050000;0.55525010;25.30;0.044480;0.007197;-0.39830000;0.56164984;25.30;0.030935;0.001494
CW;67;130;130.00;120.00;50;-0.40900012;0.56130016;25.30;0.037424;-0.002288;-0.41944980;0.55565010;25.30;0.037764;0.010552
CW;68;275;275.00;145.00;50;-0.40950000;0.55460008;25.30;0.033474;0.010449;-0.41270010;0.56265010;25.30;0.041384;-0.001260
CW;69;15;375.00;100.00;50;-0.41045020;0.55799996;25.34;0.043098;0.006782;-0.40635016;0.54625016;25.30;0.031270;0.001702
CW;70;85;85.00;85.00;50;-0.41160010;0.55134990;25.35;0.042256;-0.000784;-0.41080010;0.55550016;25.32;0.033640;0.009480
CCW;71;270;-90.00;-175.00;50;-0.40915016;0.55544996;25.31;0.034036;0.010186;-0.42414996;0.55934996;25.34;0.042566;-0.001230
CW;72;40;40.00;130.00;50;-0.41559990;0.55460020;25.36;0.044451;0.003052;-0.40715020;0.53435020;25.33;0.029038;0.004995
CW;73;155;155.00;115.00;50;-0.39780004;0.54705008;25.31;0.033396;-0.001409;-0.41365000;0.55960010;25.31;0.042400;0.009363
CCW;74;30;30.00;-125.00;50;-0.42445004;0.54475020;25.30;0.043655;0.004636;-0.40860010;0.55375000;25.33;0.031802;0.003877
CCW;75;15;15.00;-15.00;50;-0.41645004;0.54465016;25.34;0.043933;0.006526;-0.40890016;0.54240024;25.37;0.032612;0.001960
CW;76;70;70.00;55.00;50;-0.41720000;0.55160010;25.36;0.042688;0.000183;-0.39480000;0.54820020;25.30;0.032847;0.008267
CW;77;150;150.00;80.00;50;-0.41899990;0.55170000;25.33;0.035034;-0.001567;-0.40915012;0.55710008;25.33;0.041089;0.009795
CCW;78;35;35.00;-115.00;50;-0.41569996;0.55350000;25.30;0.044062;0.003584;-0.40900016;0.53730008;25.30;0.031638;0.004446
CW;79;125;125.00;90.00;50;-0.41035010;0.56350004;25.30;0.036626;-0.002271;-0.40009990;0.54255024;25.30;0.037424;0.010879
CCW;80;60;60.00;-65.00;50;-0.41145004;0.55499990;25.32;0.041467;0.001528;-0.40830000;0.54770016;25.34;0.030815;0.007734
CW;81;75;75.00;15.00;50;-0.40985010;0.55055000;25.32;0.041719;-0.000303;-0.42124984;0.55690010;25.36;0.031628;0.008694
CCW;82;55;55.00;-20.00;50;-0.41414988;0.55464984;25.32;0.043328;0.001738;-0.41540008;0.54530008;25.33;0.031414;0.006858
CW;83;230;230.00;175.00;50;-0.41425008;0.54940010;25.35;0.031650;0.007019;-0.41230020;0.55025010;25.33;0.043257;0.002444
CCW;84;120;120.00;-110.00;50;-0.40925016;0.54950020;25.36;0.037834;-0.002375;-0.40980000;0.55150010;25.35;0.037732;0.011052
CCW;85;105;105.00;-15.00;50;-0.41534996;0.54870000;25.34;0.039507;-0.001978;-0.41160010;0.54999996;25.37;0.035676;0.010388
CCW;86;355;-5.00;-110.00;50;-0.42749990;0.54864996;25.41;0.042915;0.008503;-0.41060008;0.54590020;25.44;0.033630;0.000356
CW;87;115;115.00;120.00;50;-0.41255010;0.54585004;25.48;0.037891;-0.002571;-0.41775000;0.55310010;25.46;0.036892;0.010559
CCW;88;330;-30.00;-145.00;50;-0.41415000;0.53865032;25.44;0.040837;0.010767;-0.41085010;0.54445020;25.47;0.034497;-0.001477
CCW;89;225;-135.00;-105.00;50;-0.41180000;0.55140024;25.46;0.030039;0.005884;-0.41014996;0.55180016;25.55;0.043486;0.002905
CCW;90;190;-170.00;-35.00;50;-0.40064990;0.54270030;25.46;0.030579;0.001821;-0.42475010;0.55105010;25.46;0.043298;0.007393
CCW;91;65;-295.00;-125.00;50;-0.42085008;0.55105008;25.46;0.042078;0.001001;-0.41265016;0.54555016;25.44;0.032251;0.008191
CW;92;240;-120.00;175.00;50;-0.41010012;0.53565010;25.45;0.032095;0.008042;-0.41469984;0.55030024;25.46;0.043281;0.001289
CW;93;45;45.00;165.00;50;-0.41819992;0.54475020;25.44;0.043726;0.003320;-0.41460008;0.54565010;25.37;0.030859;0.005652
CCW;94;20;20.00;-25.00;50;-0.42135010;0.55145010;25.39;0.043796;0.005806;-0.40960010;0.54595000;25.33;0.030027;0.002991
CCW;95;300;-60.00;-80.00;50;-0.42514980;0.54635008;25.40;0.037158;0.010754;-0.41870000;0.54295016;25.45;0.037288;-0.002412
CW;96;40;40.00;100.00;50;-0.41520000;0.54905010;25.48;0.042754;0.003601;-0.42165000;0.53640010;25.42;0.032581;0.005085
CW;97;170;170.00;130.00;50;-0.40105020;0.54720016;25.39;0.031355;0.000010;-0.41215008;0.55190016;25.37;0.041560;0.008970
CW;98;335;335.00;165.00;50;-0.42255000;0.55639992;25.42;0.042517;0.009490;-0.40505020;0.54180024;25.35;0.035625;-0.001550
CCW;99;185;185.00;-150.00;50;-0.41275000;0.52620008;25.37;0.031021;0.001367;-0.41745008;0.54375016;25.41;0.043081;0.007310
CW;100;305;305.00;120.00;50;-0.42859992;0.54260030;25.46;0.037056;0.011318;-0.40395016;0.53705024;25.43;0.038132;-0.002693
CW;101;85;85.00;85.00;50;-0.41444992;0.54930010;25.51;0.040991;-0.000784;-0.41379992;0.53305020;25.56;0.031782;0.009331
CW;102;135;135.00;50.00;50;-0.41250010;0.54625010;25.53;0.036057;-0.001912;-0.41310008;0.53675010;25.57;0.039329;0.011072
CCW;103;95;95.00;-40.00;50;-0.40634996;0.53555024;25.54;0.040308;-0.001821;-0.40595000;0.53114990;25.60;0.034949;0.010442
CW;104;220;220.00;125.00;50;-0.40200000;0.54070020;25.58;0.030920;0.005647;-0.41320016;0.53870016;25.59;0.044272;0.003066
CCW;105;180;180.00;-40.00;50;-0.41454996;0.52910000;25.59;0.031841;0.001003;-0.40655030;0.53630020;25.56;0.043325;0.008281
CCW;106;25;25.00;-155.00;50;-0.42044992;0.53600024;25.55;0.044060;0.004824;-0.41360000;0.53475016;25.57;0.029783;0.003506
CCW;107;235;-125.00;-150.00;50;-0.42150008;0.53360004;25.58;0.029429;0.008201;-0.41640010;0.52454990;25.60;0.043989;0.000706
CW;108;340;-20.00;105.00;50;-0.41820000;0.54040024;25.60;0.041040;0.009541;-0.41380012;0.54115032;25.55;0.033120;-0.001438
CW;109;10;10.00;30.00;50;-0.41959990;0.53495020;25.54;0.043811;0.007515;-0.41755012;0.52780010;25.56;0.031670;0.001782
CW;110;165;165.00;155.00;50;-0.41225000;0.53340010;25.57;0.032078;-0.000347;-0.41824996;0.54095008;25.51;0.041765;0.009316
CCW;111;80;80.00;-85.00;50;-0.41155000;0.54255010;25.47;0.040559;-0.000161;-0.41554992;0.52415000;25.51;0.033396;0.009866
CCW;112;260;-100.00;-180.00;50;-0.42784996;0.53045004;25.51;0.032939;0.009524;-0.41685000;0.54015016;25.52;0.040886;-0.000139
CCW;113;200;-160.00;-60.00;50;-0.41650008;0.53525008;25.55;0.030608;0.003848;-0.41554996;0.54805004;25.46;0.043176;0.006504
CW;114;275;-85.00;75.00;50;-0.42105010;0.53374992;25.54;0.033755;0.010601;-0.40635000;0.53520010;25.48;0.039795;-0.001743
CW;115;325;-35.00;50.00;50;-0.41854990;0.53430016;25.50;0.040212;0.010232;-0.40975012;0.53955024;25.50;0.034810;-0.001946
CW;116;130;130.00;165.00;50;-0.41554996;0.53800016;25.50;0.037100;-0.002085;-0.41574996;0.53760030;25.52;0.038865;0.011138
CW;117;250;250.00;120.00;50;-0.41580008;0.54270024;25.45;0.032861;0.008787;-0.41790008;0.54210020;25.47;0.043799;0.000081
CCW;118;145;145.00;-105.00;50;-0.41500000;0.54135010;25.45;0.034866;-0.001951;-0.42250008;0.52845010;25.44;0.040857;0.010481
CW;119;245;245.00;100.00;50;-0.40995016;0.53155004;25.46;0.031375;0.008335;-0.40630000;0.53440016;25.44;0.043093;0.000828
CCW;120;205;205.00;-40.00;50;-0.41160010;0.53395020;25.43;0.030447;0.003560;-0.41299996;0.54335000;25.44;0.043948;0.005408
CCW;121;50;50.00;-155.00;50;-0.44149984;0.53505016;25.43;0.043069;0.002253;-0.41675010;0.53045004;25.50;0.030447;0.006321
CW;122;195;195.00;145.00;50;-0.42279992;0.53349996;25.48;0.030630;0.002515;-0.40280000;0.53800004;25.55;0.043040;0.006255
CW;123;210;210.00;15.00;50;-0.41414992;0.53710010;25.56;0.029871;0.004666;-0.41190010;0.53765016;25.54;0.043738;0.004905
CW;124;345;345.00;135.00;50;-0.41205008;0.53059996;25.60;0.041887;0.009365;-0.41925008;0.52439980;25.59;0.034307;-0.001392
CW;125;350;350.00;5.00;50;-0.42415004;0.52424984;25.51;0.041440;0.009207;-0.41315008;0.53765016;25.57;0.031914;-0.000317
CW;126;110;110.00;110.00;50;-0.42329990;0.54235000;25.58;0.039392;-0.001970;-0.42705000;0.53460016;25.57;0.036279;0.011394
CCW;127;315;-45.00;-155.00;50;-0.42795008;0.53250020;25.55;0.038926;0.010994;-0.41504992;0.54605000;25.58;0.036218;-0.002183
CCW;128;265;-95.00;-50.00;50;-0.40325004;0.54625016;25.58;0.032424;0.009836;-0.42504992;0.53345000;25.59;0.039224;-0.000024
CW;129;5;5.00;100.00;50;-0.43219988;0.53260016;25.59;0.042319;0.007915;-0.40425016;0.54165020;25.60;0.031980;0.001436
CCW;130;0;0.00;-5.00;50;-0.41225000;0.53645020;25.56;0.043655;0.008174;-0.41045012;0.54170020;25.57;0.030669;0.001067
CCW;131;270;-90.00;-90.00;50;-0.41585000;0.52935004;25.55;0.033425;0.010835;-0.42195004;0.53475016;25.56;0.040791;-0.001235
CCW;132;175;-185.00;-95.00;50;-0.41325008;0.53955008;25.57;0.030532;0.000454;-0.41780008;0.52524996;25.60;0.043960;0.009346
CW;133;320;-40.00;145.00;50;-0.41789990;0.53040000;25.57;0.039373;0.010862;-0.41165000;0.53360004;25.55;0.036558;-0.002136
CCW;134;255;-105.00;-65.00;50;-0.41100012;0.53204996;25.57;0.032527;0.009155;-0.42120008;0.54225010;25.57;0.042646;-0.000024
CW;135;285;-75.00;30.00;50;-0.42200008;0.53625024;25.59;0.036416;0.010920;-0.41700000;0.54105020;25.55;0.038359;-0.001914
CW;136;310;-50.00;25.00;50;-0.42069996;0.53625000;25.54;0.037671;0.011033;-0.41365008;0.55030010;25.52;0.035276;-0.001584
CW;137;100;100.00;150.00;50;-0.41894980;0.53445020;25.58;0.039917;-0.001765;-0.42279992;0.52479976;25.53;0.035447;0.010569
CW;138;160;160.00;60.00;50;-0.41550020;0.53640010;25.56;0.032463;-0.000737;-0.42939992;0.53765016;25.57;0.041057;0.009470
CW;139;290;290.00;130.00;50;-0.42004990;0.53140016;25.57;0.036648;0.010493;-0.41809990;0.53729992;25.56;0.040232;-0.002073
CCW;140;140;140.00;-150.00;50;-0.41229988;0.53385024;25.53;0.036355;-0.002014;-0.41975000;0.54150016;25.60;0.039343;0.011013
CW;141;215;215.00;75.00;50;-0.41670008;0.53725020;25.55;0.031494;0.004722;-0.41599984;0.52364990;25.54;0.043489;0.004263
CCW;142;90;90.00;-125.00;50;-0.41994996;0.53505016;25.53;0.040293;-0.000825;-0.42309992;0.53055000;25.57;0.034280;0.010012
CCW;143;295;-65.00;-155.00;50;-0.42550000;0.52720000;25.60;0.036565;0.010806;-0.41275012;0.53940016;25.60;0.036951;-0.001787
CCW;144;280;-80.00;-15.00;50;-0.41465004;0.53255004;25.60;0.035059;0.011003;-0.41724984;0.54075016;25.57;0.038599;-0.001631
CCW;145;230;-130.00;-50.00;50;-0.43020000;0.52980008;25.56;0.030442;0.007688;-0.41244984;0.52654992;25.57;0.042122;0.002747
CCW;146;60;-300.00;-170.00;50;-0.42494990;0.53265008;25.51;0.042100;0.001660;-0.41440010;0.51789990;25.54;0.031587;0.007175
CCW;147;310;-50.00;-50.00;50;-0.41985016;0.54790016;25.57;0.037991;0.010667;-0.41759984;0.53320000;25.58;0.036731;-0.002144
CCW;148;135;-225.00;-175.00;50;-0.42425004;0.53175010;25.55;0.034109;-0.001682;-0.42285000;0.52189992;25.51;0.037729;0.011367
CW;149;210;-150.00;75.00;50;-0.41614992;0.53285000;25.54;0.028962;0.004490;-0.41800008;0.53209996;25.54;0.043523;0.004595
CCW;150;95;-265.00;-115.00;50;-0.41739992;0.53455010;25.59;0.038687;-0.001091;-0.42129996;0.53575020;25.57;0.033459;0.010718
CW;151;105;-255.00;10.00;50;-0.41839992;0.53260016;25.60;0.038789;-0.001968;-0.42045008;0.53705010;25.60;0.035547;0.011113
CCW;152;340;-380.00;-125.00;50;-0.42884992;0.51399980;25.60;0.040771;0.009331;-0.42280008;0.53160008;25.60;0.032275;-0.000657
CW;153;145;-215.00;165.00;50;-0.41190000;0.53815010;25.60;0.036787;-0.001414;-0.42655004;0.52399990;25.60;0.038640;0.010396
CW;154;235;-125.00;90.00;50;-0.42435008;0.52885010;25.61;0.030151;0.008027;-0.41484992;0.53155010;25.62;0.042998;0.001802
CCW;155;150;-210.00;-85.00;50;-0.41390000;0.52810000;25.60;0.032253;-0.000952;-0.41899990;0.52970010;25.60;0.038992;0.010254
CW;156;315;-45.00;165.00;50;-0.42010004;0.54090024;25.59;0.038953;0.010244;-0.41899992;0.53395010;25.60;0.035618;-0.002056
CCW;157;260;-100.00;-55.00;50;-0.41865004;0.53590020;25.59;0.031802;0.009546;-0.41469992;0.53060000;25.59;0.040356;-0.000593
CCW;158;160;-200.00;-100.00;50;-0.40640010;0.52930000;25.60;0.032983;-0.000623;-0.41684996;0.53170000;25.59;0.041047;0.009514
CCW;159;65;-295.00;-95.00;50;-0.41549992;0.53635010;25.60;0.041169;0.001060;-0.41640020;0.52775000;25.60;0.031458;0.008262
CCW;160;305;-55.00;-55.00;50;-0.40795004;0.53825020;25.60;0.037158;0.010884;-0.41565008;0.53300020;25.60;0.036914;-0.002510
CW;161;355;-5.00;50.00;50;-0.41960008;0.53240010;25.56;0.042263;0.008457;-0.41485010;0.53820016;25.58;0.032473;0.000166
CCW;162;250;-110.00;-105.00;50;-0.41990008;0.52234970;25.56;0.031982;0.009019;-0.42250000;0.54435000;25.57;0.042327;0.000342
CCW;163;215;-145.00;-35.00;50;-0.41334992;0.52549980;25.57;0.030081;0.005173;-0.40190004;0.53270020;25.59;0.044045;0.003867
CCW;164;100;-260.00;-115.00;50;-0.41419996;0.53525020;25.60;0.039216;-0.002102;-0.42634990;0.53149984;25.54;0.034956;0.010408
CCW;165;295;-65.00;-65.00;50;-0.42374980;0.51894976;25.60;0.036631;0.010833;-0.40860024;0.53725016;25.60;0.038208;-0.002241
CW;166;75;75.00;140.00;50;-0.42284984;0.53935016;25.57;0.042778;-0.000317;-0.41195008;0.53765016;25.60;0.033201;0.009265
CCW;167;25;25.00;-50.00;50;-0.42635000;0.54095010;25.60;0.043711;0.004785;-0.41915000;0.52904992;25.60;0.031301;0.003481
CCW;168;280;-80.00;-105.00;50;-0.42854992;0.52374990;25.60;0.033730;0.011470;-0.42210004;0.54125004;25.58;0.039736;-0.002356
CCW;169;240;-120.00;-40.00;50;-0.41810008;0.53400004;25.59;0.030022;0.008157;-0.41444988;0.54240020;25.59;0.042561;0.000969
CW;170;285;-75.00;45.00;50;-0.41709992;0.53980020;25.57;0.035808;0.010869;-0.41679992;0.53435010;25.59;0.039675;-0.002078
CW;171;345;-15.00;60.00;50;-0.41250020;0.52955000;25.54;0.041860;0.008879;-0.41390000;0.53705010;25.59;0.031853;-0.000413
CCW;172;185;-175.00;-160.00;50;-0.41939992;0.52524996;25.60;0.030461;0.001738;-0.42929992;0.52164984;25.58;0.041802;0.007317
CW;173;205;-155.00;20.00;50;-0.42164990;0.53265020;25.60;0.029849;0.004062;-0.42760000;0.53310020;25.60;0.043110;0.004939
CW;174;335;-25.00;130.00;50;-0.42190004;0.53410010;25.60;0.039753;0.010122;-0.41864992;0.53800004;25.55;0.034102;-0.001389
CCW;175;175;-185.00;-160.00;50;-0.41940008;0.53895016;25.60;0.030095;0.000647;-0.42339990;0.52980000;25.59;0.041628;0.008215
CCW;176;90;-270.00;-85.00;50;-0.41875000;0.53395016;25.57;0.040115;-0.001567;-0.42200004;0.52900004;25.60;0.033721;0.009880
