smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;4;-0,43295000;-0,42950000;-0,00345004;0,46612496;0,46388740;0,00223753;26,54;26,52;0,02;0,04889160;0,02038574;0,02850586;0,02686340;-0,01932068;0,04618408
CCW;10;4;-0,43210000;-0,42482500;-0,00727502;0,50597492;0,50201250;0,00396246;26,03;26,00;0,03;0,05368592;0,01764404;0,03604187;0,02417542;-0,01630981;0,04048523
CCW;20;6;-0,43735000;-0,43323330;-0,00411671;0,50755830;0,50234156;0,00521672;25,87;25,87;-0,01;0,05810059;0,01437948;0,04372112;0,02041545;-0,01320068;0,03361613
CCW;30;7;-0,43709280;-0,43072136;-0,00637144;0,51547856;0,50846430;0,00701427;25,86;25,85;0,00;0,05966134;0,01134556;0,04831578;0,01684710;-0,00867187;0,02551897
CCW;40;5;-0,43751992;-0,43280000;-0,00471994;0,52094000;0,51586010;0,00507992;25,79;25,81;-0,01;0,06164063;0,00982666;0,05181397;0,01207129;-0,00434814;0,01641943
CCW;50;6;-0,43203332;-0,42793330;-0,00410002;0,52581670;0,51854176;0,00727493;25,71;25,73;-0,02;0,06261840;0,00936686;0,05325154;0,00767659;0,00018148;0,00749512
CCW;60;9;-0,43666108;-0,43173332;-0,00492772;0,52667210;0,51513324;0,01153886;25,73;25,73;-0,00;0,06316379;0,00867540;0,05448839;0,00302029;0,00497965;-0,00195936
CCW;70;8;-0,43437500;-0,43664376;0,00226876;0,49293128;0,48548750;0,00744379;26,19;26,17;0,01;0,06156036;0,00901154;0,05254883;-0,00179230;0,00958160;-0,01137390
CCW;80;5;-0,43280992;-0,43328004;0,00047013;0,51281008;0,49964000;0,01317006;25,93;25,95;-0,02;0,06035693;0,01119385;0,04916309;-0,00631641;0,01364649;-0,01996289
CCW;90;10;-0,43279496;-0,43803500;0,00524005;0,51215992;0,50517000;0,00698996;25,87;25,85;0,02;0,05831714;0,01287524;0,04544189;-0,01055347;0,01845605;-0,02900952
CCW;100;10;-0,43339000;-0,43542500;0,00203499;0,50950000;0,50329500;0,00620502;25,90;25,91;-0,01;0,05585913;0,01515601;0,04070312;-0,01446900;0,02231079;-0,03677978
CCW;110;6;-0,43035824;-0,43574168;0,00538340;0,50170000;0,48805830;0,01364169;26,08;26,10;-0,03;0,05249756;0,01827108;0,03422648;-0,01727132;0,02542318;-0,04269450
CCW;120;7;-0,42912856;-0,44085000;0,01172143;0,51540700;0,50628570;0,00912130;25,81;25,84;-0,03;0,04821150;0,02287842;0,02533308;-0,02020961;0,02799212;-0,04820173
CCW;130;9;-0,43413332;-0,43245004;-0,00168329;0,50366104;0,49946110;0,00419992;25,95;25,96;-0,01;0,04361545;0,02697971;0,01663575;-0,02205892;0,03026638;-0,05232530
CCW;140;4;-0,43853744;-0,43927492;0,00073749;0,48948748;0,48821244;0,00127503;26,16;26,20;-0,03;0,03897522;0,03067078;0,00830444;-0,02317444;0,03151978;-0,05469422
CCW;150;5;-0,43196992;-0,43615000;0,00418004;0,52932996;0,53032000;-0,00099003;25,52;25,52;0,01;0,03495801;0,03740967;-0,00245166;-0,02300098;0,03172119;-0,05472217
