smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;19;-0,29721320;-0,28936584;-0,00784737;0,42725268;0,42834210;-0,00108942;27,07;27,08;-0,01;0,05440198;0,03545551;0,01894647;0,00854634;-0,01892116;0,02746749
CCW;22,5;11;-0,29194546;-0,28702270;-0,00492275;0,42290460;0,42268640;0,00021821;27,12;27,13;-0,01;0,05852983;0,02937900;0,02915083;0,00327415;-0,01375399;0,01702814
CCW;45;15;-0,29107336;-0,28985664;-0,00121671;0,42938004;0,42241008;0,00696996;27,08;27,09;-0,01;0,06143196;0,02760091;0,03383105;-0,00290755;-0,00750407;0,00459652
CCW;67,5;14;-0,30108570;-0,30041072;-0,00067499;0,44597856;0,43892500;0,00705355;26,93;26,92;0,01;0,06122106;0,02799020;0,03323086;-0,00892439;-0,00105922;-0,00786516
CCW;90;17;-0,29254118;-0,29274704;0,00020587;0,42637060;0,42376768;0,00260293;27,10;27,10;0,00;0,05791489;0,03057517;0,02733972;-0,01551715;0,00516357;-0,02068072
CCW;112,5;8;-0,28941880;-0,29519996;0,00578117;0,42502504;0,42011260;0,00491247;27,16;27,15;0,01;0,05262116;0,03589386;0,01672730;-0,02020874;0,00965149;-0,02986023
CCW;135;14;-0,28252500;-0,28845360;0,00592861;0,41540360;0,41561076;-0,00020716;27,22;27,22;-0,00;0,04641078;0,04271676;0,00369402;-0,02211827;0,01180647;-0,03392473
CCW;157,5;15;-0,28834000;-0,29399336;0,00565335;0,42770340;0,43190000;-0,00419664;27,07;27,06;0,01;0,04007535;0,04872054;-0,00864519;-0,02166146;0,01153239;-0,03319385
CCW;180;16;-0,28848752;-0,29455004;0,00606251;0,41992192;0,42319692;-0,00327501;27,10;27,11;-0,01;0,03434570;0,05505569;-0,02070999;-0,01875382;0,00838959;-0,02714340
CCW;202,5;11;-0,29030460;-0,29773638;0,00743178;0,43118188;0,43574092;-0,00455904;26,96;26,97;-0,01;0,02965243;0,05910067;-0,02944824;-0,01400724;0,00388672;-0,01789395
CCW;225;14;-0,28925356;-0,28951430;0,00026074;0,42228220;0,42587500;-0,00359279;27,10;27,12;-0,01;0,02742083;0,06256958;-0,03514875;-0,00744995;-0,00280151;-0,00464844
CCW;247,5;18;-0,28983334;-0,29032502;0,00049168;0,42126396;0,42689448;-0,00563049;27,10;27,10;-0,00;0,02768758;0,06109931;-0,03341173;-0,00088325;-0,00932075;0,00843750
CCW;270;10;-0,28506496;-0,28598000;0,00091502;0,41328000;0,42181508;-0,00853506;27,21;27,19;0,02;0,03168726;0,05871532;-0,02702807;0,00516650;-0,01548071;0,02064722
CCW;292,5;19;-0,28986052;-0,28766578;-0,00219473;0,42465532;0,43052110;-0,00586578;27,09;27,08;0,01;0,03539525;0,05342928;-0,01803403;0,00955181;-0,01974275;0,02929456
CCW;315;16;-0,29607186;-0,29157500;-0,00449684;0,42325000;0,42806252;-0,00481254;27,03;27,03;-0,00;0,04241333;0,04695465;-0,00454132;0,01162369;-0,02196457;0,03358826
CCW;337,5;13;-0,29057692;-0,28655390;-0,00402305;0,41985776;0,42197308;-0,00211531;27,16;27,17;-0,01;0,04830698;0,04007737;0,00822961;0,01128380;-0,02167218;0,03295598
CW;0;22;-0,29550908;-0,28851134;-0,00699773;0,43021368;0,42688868;0,00332499;27,07;27,08;-0,01;0,05435668;0,03560624;0,01875044;0,00855591;-0,01890725;0,02746316
CW;22,5;13;-0,29370000;-0,29255004;-0,00114998;0,43161932;0,42622704;0,00539228;27,05;27,05;-0,00;0,05931021;0,02985277;0,02945745;0,00359075;-0,01383057;0,01742131
CW;45;19;-0,29688162;-0,29114210;-0,00573951;0,43142900;0,42643160;0,00499740;27,05;27,06;-0,01;0,06287610;0,02759766;0,03527845;-0,00263916;-0,00766730;0,00502814
CW;67,5;14;-0,28772500;-0,28170710;-0,00601789;0,41733936;0,40912868;0,00821069;27,21;27,20;0,02;0,06069860;0,02732073;0,03337786;-0,00987113;-0,00071341;-0,00915772
CW;90;19;-0,29941842;-0,30256316;0,00314474;0,44121052;0,43437900;0,00683156;26,99;27,01;-0,02;0,05895045;0,03131733;0,02763312;-0,01511449;0,00512515;-0,02023965
CW;112,5;15;-0,28924664;-0,29298008;0,00373343;0,42703004;0,42411336;0,00291666;27,11;27,11;0,00;0,05300636;0,03549495;0,01751140;-0,01989534;0,00971956;-0,02961491
CW;135;14;-0,29824640;-0,30047504;0,00222862;0,43806428;0,43980000;-0,00173575;26,95;26,96;-0,01;0,04731759;0,04135411;0,00596348;-0,02190639;0,01195923;-0,03386562
CW;157,5;14;-0,28955716;-0,29158214;0,00202498;0,43129284;0,43316792;-0,00187510;27,06;27,07;-0,01;0,04019252;0,04875628;-0,00856376;-0,02167777;0,01154855;-0,03322632
CW;180;17;-0,29253826;-0,29291768;0,00037941;0,42441180;0,43121472;-0,00680292;27,06;27,07;-0,01;0,03397877;0,05430980;-0,02033103;-0,01881032;0,00865507;-0,02746539
CW;202,5;19;-0,28408160;-0,28991310;0,00583148;0,42025796;0,42233168;-0,00207371;27,19;27,19;-0,00;0,02951647;0,05922299;-0,02970652;-0,01367573;0,00351845;-0,01719418
CW;225;16;-0,28522494;-0,28741560;0,00219065;0,41355948;0,41993444;-0,00637498;27,19;27,20;-0,00;0,02726074;0,06089142;-0,03363068;-0,00729507;-0,00265823;-0,00463684
CW;247,5;11;-0,28830908;-0,28657272;-0,00173634;0,41885468;0,42488644;-0,00603175;27,11;27,11;-0,00;0,02775213;0,06108221;-0,03333008;-0,00078746;-0,00932062;0,00853316
CW;270;11;-0,29598184;-0,29402728;-0,00195459;0,43159544;0,43922728;-0,00763184;26,98;26,99;-0,00;0,03106379;0,06040039;-0,02933660;0,00493697;-0,01487394;0,01981090
CW;292,5;16;-0,29371250;-0,28830314;-0,00540936;0,42008760;0,42554376;-0,00545618;27,12;27,13;-0,01;0,03584747;0,05344925;-0,01760178;0,00962631;-0,01970505;0,02933136
