azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;50;-0,25389606;-0,25323904;-0,00065702;0,45680400;0,45336400;0,00344002;0,03987100;0,05325214;-0,01338113;0,02566059;-0,03889746;0,06455805
22,5;50;-0,25598300;-0,25253292;-0,00345007;0,45677800;0,45308196;0,00369605;0,05167461;0,03811260;0,01356201;0,02565259;-0,03971733;0,06536992
45;50;-0,25495404;-0,25309998;-0,00185406;0,45905208;0,45140296;0,00764909;0,06343676;0,02675952;0,03667724;0,02059053;-0,03469512;0,05528565
67,5;50;-0,25138196;-0,25327600;0,00189403;0,45669096;0,45131100;0,00537994;0,07265117;0,01739058;0,05526060;0,01135361;-0,02526738;0,03662100
90;50;-0,25183696;-0,25655404;0,00471708;0,45772300;0,45266196;0,00506106;0,07779756;0,01284863;0,06494892;-0,00065537;-0,01318291;0,01252754
112,5;50;-0,24891496;-0,25596702;0,00705205;0,45870400;0,45586900;0,00283504;0,07733320;0,01285073;0,06448247;-0,01372861;-0,00005093;-0,01367768
135;50;-0,24872806;-0,25587702;0,00714895;0,45815200;0,45607092;0,00208107;0,07236177;0,01883555;0,05352622;-0,02574365;0,01164868;-0,03739233
157,5;50;-0,25071496;-0,25544108;0,00472611;0,45691208;0,45820296;-0,00129089;0,06300362;0,02806357;0,03494004;-0,03489898;0,02085064;-0,05574962
180;50;-0,24859600;-0,25542696;0,00683098;0,45550288;0,45736180;-0,00185895;0,05087074;0,03947148;0,01139926;-0,03972378;0,02564921;-0,06537300
202,5;50;-0,25072202;-0,25343198;0,00270995;0,45415100;0,45707692;-0,00292593;0,03799604;0,05268749;-0,01469145;-0,03965967;0,02564629;-0,06530596
225;50;-0,25205504;-0,25165800;-0,00039706;0,45290600;0,45775304;-0,00484702;0,02569302;0,06538388;-0,03969086;-0,03461728;0,02069595;-0,05531323
247,5;50;-0,25313902;-0,25071698;-0,00242203;0,45194104;0,45541900;-0,00347796;0,01705835;0,07393744;-0,05687910;-0,02532593;0,01143433;-0,03676026
270;50;-0,25595600;-0,25070100;-0,00525498;0,45481404;0,45981008;-0,00499603;0,01221167;0,07908784;-0,06687617;-0,01327583;-0,00033340;-0,01294243
292,5;50;-0,25576008;-0,25036604;-0,00539404;0,45287908;0,45351804;-0,00063896;0,01223642;0,07873926;-0,06650284;-0,00019629;-0,01344380;0,01324751
315;50;-0,25581800;-0,25116796;-0,00465006;0,45150104;0,45400200;-0,00250095;0,01709028;0,07403340;-0,05694312;0,01173433;-0,02517212;0,03690645
337,5;50;-0,25440100;-0,25146604;-0,00293496;0,45661696;0,45356900;0,00304797;0,02749395;0,06484311;-0,03734916;0,02084116;-0,03425298;0,05509414
