azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;50;-0,22268596;-0,21684298;-0,00584297;0,43940704;0,43662900;0,00277805;0,04646318;0,04198764;0,00447554;-0,02639019;0,01129448;-0,03768467
22,5;50;-0,22348398;-0,21734402;-0,00613996;0,43838408;0,43286392;0,00552014;0,03898852;0,04930343;-0,01031491;-0,02585537;0,01070508;-0,03656045
45;50;-0,22519004;-0,21763296;-0,00755706;0,43981904;0,43291800;0,00690106;0,03237446;0,05613047;-0,02375601;-0,02251626;0,00748369;-0,02999995
67,5;50;-0,22325700;-0,22112902;-0,00212798;0,43976992;0,43375504;0,00601488;0,02765005;0,06085292;-0,03320287;-0,01691787;0,00190166;-0,01881953
90;50;-0,22024702;-0,22183198;0,00158496;0,44153900;0,43297100;0,00856799;0,02547422;0,06385513;-0,03838091;-0,00987168;-0,00500728;-0,00486440
112,5;50;-0,21940696;-0,22267200;0,00326504;0,43994990;0,43426392;0,00568596;0,02595717;0,06286070;-0,03690352;-0,00231939;-0,01242485;0,01010547
135;50;-0,21823598;-0,22475696;0,00652099;0,44250096;0,43675800;0,00574294;0,02968183;0,05942569;-0,02974386;0,00420190;-0,01902739;0,02322930
157,5;50;-0,21835196;-0,22471500;0,00636305;0,43868800;0,43924696;-0,00055897;0,03514434;0,05383946;-0,01869512;0,00905210;-0,02385473;0,03290683
180;50;-0,21787798;-0,22421698;0,00633900;0,43807096;0,43861400;-0,00054303;0,04189395;0,04670874;-0,00481479;0,01139556;-0,02621788;0,03761343
202,5;50;-0,22074398;-0,22501094;0,00426696;0,43699704;0,43889604;-0,00189900;0,04915372;0,03912850;0,01002521;0,01091728;-0,02589829;0,03681557
225;50;-0,21986502;-0,22343600;0,00357097;0,43527000;0,43969304;-0,00442302;0,05575591;0,03268174;0,02307416;0,00760024;-0,02255654;0,03015679
247,5;50;-0,22186496;-0,22333200;0,00146703;0,43450596;0,43799200;-0,00348604;0,06045806;0,02763168;0,03282638;0,00194893;-0,01684922;0,01879814
270;50;-0,22146798;-0,22315406;0,00168607;0,43424196;0,44073200;-0,00649005;0,06270967;0,02625313;0,03645654;-0,00516035;-0,00990825;0,00474790
292,5;50;-0,22268996;-0,22025698;-0,00243297;0,43574100;0,43934400;-0,00360298;0,06220454;0,02605908;0,03614546;-0,01255356;-0,00239146;-0,01016211
315;50;-0,22351794;-0,21956096;-0,00395697;0,43736296;0,43918204;-0,00181907;0,05880030;0,02929400;0,02950631;-0,01914512;0,00431445;-0,02345957
337,5;50;-0,22367000;-0,21840896;-0,00526102;0,43512000;0,43680708;-0,00168708;0,05338295;0,03499960;0,01838334;-0,02405654;0,00903535;-0,03309189
