smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;4;-0,43081252;-0,43476252;0,00395000;0,66126240;0,66324996;-0,00198758;23,62;23,60;0,02;0,03567505;0,04707764;-0,01140259;0,00655823;0,00511169;0,00144653
CCW;22,5;7;-0,43325712;-0,42993576;-0,00332138;0,65917140;0,66903580;-0,00986439;23,65;23,65;0,00;0,03571673;0,04645054;-0,01073381;0,00919399;0,00273054;0,00646345
CCW;45;4;-0,43247492;-0,43032496;-0,00214997;0,66177500;0,66225000;-0,00047499;23,64;23,65;-0,01;0,03847962;0,04530212;-0,00682251;0,01037781;0,00063477;0,00974304
CCW;67,5;3;-0,43309996;-0,42681670;-0,00628325;0,67186664;0,66570000;0,00616664;23,54;23,52;0,02;0,03979737;0,04376953;-0,00397216;0,01135091;-0,00040934;0,01176025
CCW;90;4;-0,43509996;-0,43333750;-0,00176245;0,66795016;0,66318750;0,00476265;23,60;23,59;0,00;0,04239380;0,04079163;0,00160217;0,01178650;-0,00005737;0,01184387
CCW;112,5;5;-0,43088000;-0,43466000;0,00378004;0,65911996;0,65833990;0,00078005;23,68;23,69;-0,00;0,04356592;0,03866992;0,00489600;0,01067676;0,00040088;0,01027588
CCW;135;6;-0,43174992;-0,43290832;0,00115839;0,67090004;0,66356660;0,00733346;23,55;23,56;-0,01;0,04654053;0,03765055;0,00888998;0,00919434;0,00231689;0,00687744
CCW;157,5;4;-0,42736252;-0,42936250;0,00199997;0,67355008;0,66686260;0,00668746;23,48;23,51;-0,03;0,04734802;0,03635376;0,01099426;0,00712830;0,00439636;0,00273193
CCW;180;2;-0,41965000;-0,43680008;0,01715004;0,66140000;0,66135000;0,00005001;23,71;23,63;0,07;0,04829834;0,03535034;0,01294800;0,00463989;0,00669189;-0,00205200
CCW;202,5;6;-0,42844168;-0,43152500;0,00308332;0,66987510;0,66809180;0,00178331;23,53;23,52;0,01;0,04668050;0,03665853;0,01002197;0,00275187;0,00887858;-0,00612671
CCW;225;4;-0,43021252;-0,43733760;0,00712505;0,66023756;0,66026248;-0,00002491;23,65;23,64;0,01;0,04515015;0,03886779;0,00628235;0,00070801;0,01055420;-0,00984619
CCW;247,5;3;-0,42558328;-0,43104996;0,00546670;0,65538316;0,66063324;-0,00525010;23,70;23,66;0,04;0,04274088;0,04045736;0,00228353;0,00006022;0,01143473;-0,01137451
CCW;270;7;-0,43016424;-0,43045716;0,00029290;0,65819280;0,66925010;-0,01105726;23,58;23,59;-0,01;0,04062430;0,04282157;-0,00219727;-0,00026472;0,01168701;-0,01195173
