smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;6;-0,42506660;-0,42424164;-0,00082499;0,67320010;0,67715000;-0,00394994;23,41;23,38;0,03;0,03926798;0,04295858;-0,00369059;-0,01184204;0,02365031;-0,03549235
CCW;22,5;3;-0,42528332;-0,42098332;-0,00430000;0,67101664;0,67308330;-0,00206667;23,38;23,37;0,01;0,03313070;0,05057861;-0,01744792;-0,01006592;0,02118083;-0,03124675
CCW;45;4;-0,42936240;-0,42973748;0,00037506;0,66131260;0,65458740;0,00672519;23,70;23,67;0,03;0,02739929;0,05495850;-0,02755921;-0,00564819;0,01666931;-0,02231750
CCW;67,5;6;-0,42870830;-0,42201660;-0,00669169;0,66478324;0,65968340;0,00509983;23,63;23,59;0,03;0,02469645;0,05792358;-0,03322713;0,00049398;0,01150635;-0,01101237
CCW;90;3;-0,42191670;-0,42211664;0,00019994;0,65514992;0,64873324;0,00641668;23,68;23,72;-0,03;0,02413574;0,05897298;-0,03483725;0,00776774;0,00318766;0,00458008
CCW;112,5;8;-0,42468748;-0,42169996;-0,00298750;0,66774992;0,66118748;0,00656247;23,57;23,57;0,01;0,02581421;0,05722748;-0,03141327;0,01408875;-0,00263367;0,01672241
CCW;135;5;-0,41647004;-0,42276996;0,00629991;0,66541004;0,65490996;0,01050007;23,64;23,64;-0,00;0,02974560;0,05282910;-0,02308349;0,01933545;-0,00804785;0,02738330
CCW;157,5;7;-0,41955712;-0,42028572;0,00072861;0,66661420;0,66600716;0,00060701;23,54;23,54;-0,00;0,03668004;0,04684535;-0,01016532;0,02289760;-0,01156424;0,03446184
CCW;180;4;-0,42713750;-0,42399996;-0,00313753;0,67140010;0,67650000;-0,00509989;23,47;23,48;-0,01;0,04201477;0,04081238;0,00120239;0,02356995;-0,01233521;0,03590515
CCW;202,5;3;-0,42256656;-0,42323328;0,00066671;0,65015000;0,65051656;-0,00036657;23,69;23,72;-0,03;0,05003011;0,03315511;0,01687500;0,02113281;-0,01019694;0,03132975
CCW;225;4;-0,42518744;-0,42271250;-0,00247493;0,65529990;0,66628750;-0,01098758;23,59;23,62;-0,03;0,05451599;0,02814026;0,02637573;0,01705322;-0,00586548;0,02291870
CCW;247,5;3;-0,42136670;-0,42468330;0,00331661;0,64913324;0,65459996;-0,00546670;23,61;23,60;0,00;0,05800781;0,02554688;0,03246094;0,01091390;0,00035156;0,01056234
CCW;270;5;-0,42389996;-0,42520004;0,00130010;0,67642984;0,67545990;0,00096995;23,37;23,35;0,02;0,05926074;0,02432178;0,03493897;0,00458105;0,00696533;-0,00238428
CCW;292,5;3;-0,42118336;-0,42325004;0,00206670;0,66383330;0,67105010;-0,00721675;23,53;23,54;-0,01;0,05703776;0,02659424;0,03044352;-0,00227865;0,01376221;-0,01604085
CCW;337,5;4;-0,42951244;-0,42892504;-0,00058740;0,66128740;0,66378752;-0,00250012;23,58;23,61;-0,03;0,04663208;0,03643494;0,01019714;-0,01129211;0,02279785;-0,03408996
CW;0;3;-0,42991660;-0,42141660;-0,00850001;0,66603344;0,66463348;0,00139999;23,53;23,53;0,00;0,04050944;0,04317057;-0,00266113;-0,01194336;0,02314697;-0,03509033
CW;22,5;5;-0,43041000;-0,41849000;-0,01192000;0,65778992;0,66111992;-0,00332999;23,70;23,71;-0,01;0,03328955;0,05042432;-0,01713477;-0,01034082;0,02109863;-0,03143945
CW;45;5;-0,42570996;-0,42028992;-0,00542003;0,65805000;0,65615000;0,00190002;23,66;23,67;-0,01;0,02680957;0,05500488;-0,02819531;-0,00548145;0,01681152;-0,02229297
CW;67,5;8;-0,42573750;-0,42301876;-0,00271875;0,66742504;0,66716252;0,00026250;23,48;23,48;0,00;0,02485962;0,05821472;-0,03335511;0,00044952;0,01084686;-0,01039734
CW;90;4;-0,42488752;-0,42541248;0,00052494;0,65702490;0,66177490;-0,00474995;23,67;23,70;-0,03;0,02381775;0,05927307;-0,03545532;0,00758362;0,00370728;0,00387634
CW;112,5;1;-0,42279992;-0,41939984;-0,00340009;0,65299992;0,65665000;-0,00365007;23,66;23,64;0,02;0,02627442;0,05703369;-0,03075928;0,01452881;-0,00306641;0,01759522
CW;135;5;-0,42765004;-0,43012996;0,00247991;0,67061010;0,67153010;-0,00092006;23,36;23,37;-0,01;0,02998730;0,05337109;-0,02338379;0,01927979;-0,00753516;0,02681494
CW;157,5;7;-0,42118572;-0,42563564;0,00444990;0,65751430;0,65981424;-0,00229996;23,59;23,58;0,02;0,03674630;0,04744350;-0,01069720;0,02254150;-0,01151228;0,03405378
CW;180;3;-0,42564996;-0,41964996;-0,00600001;0,65549990;0,66045000;-0,00495011;23,73;23,72;0,01;0,04344727;0,04056234;0,00288493;0,02305013;-0,01228272;0,03533284
CW;202,5;9;-0,42579996;-0,42530000;-0,00049996;0,65903890;0,66020000;-0,00116110;23,68;23,67;0,00;0,05028755;0,03390354;0,01638401;0,02110758;-0,01041097;0,03151855
CW;225;9;-0,42090550;-0,42808890;0,00718340;0,66182224;0,66430556;-0,00248331;23,60;23,62;-0,02;0,05477430;0,02830431;0,02646999;0,01703749;-0,00596083;0,02299832
CW;247,5;4;-0,41635008;-0,42465004;0,00829998;0,65561248;0,65307490;0,00253755;23,77;23,74;0,03;0,05822205;0,02594177;0,03228027;0,01052002;0,00027039;0,01024963
CW;270;7;-0,42179992;-0,42605710;0,00425717;0,65835700;0,66090000;-0,00254297;23,63;23,62;0,01;0,05885254;0,02390241;0,03495012;0,00397670;0,00720738;-0,00323068
CW;292,5;4;-0,42140000;-0,42370004;0,00230002;0,66723748;0,66709996;0,00013751;23,47;23,47;0,01;0,05744202;0,02665344;0,03078858;-0,00259888;0,01353027;-0,01612915
CW;315;2;-0,42862490;-0,42075000;-0,00787491;0,66427504;0,66605024;-0,00177521;23,64;23,64;-0,01;0,05247314;0,03029785;0,02217529;-0,00862915;0,01927368;-0,02790283
CW;337,5;6;-0,42194164;-0,42422496;0,00228333;0,65944164;0,66250824;-0,00306660;23,61;23,62;-0,00;0,04706543;0,03662435;0,01044108;-0,01163452;0,02238770;-0,03402222
