smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;247.5;-112.50;-112.50;50;-0.41504996;0.63025000;23.90;0.057871;0.010432;-0.41899992;0.62709980;23.93;0.024702;0.001052
CCW;2;180;-180.00;-67.50;50;-0.41610008;0.63650000;23.97;0.043298;0.022649;-0.41595000;0.64474980;23.99;0.039827;-0.012395
CCW;3;90;-270.00;-90.00;50;-0.42205012;0.64914980;23.93;0.024580;0.007461;-0.42384996;0.64064984;23.97;0.058303;0.003091
CW;4;225;-135.00;135.00;50;-0.42514992;0.63265016;23.99;0.054600;0.016641;-0.42569990;0.64119990;23.99;0.028093;-0.006162
CW;5;247.5;-112.50;22.50;50;-0.41535004;0.64715000;24.00;0.057524;0.010752;-0.42630004;0.63499992;24.00;0.024580;0.000249
CCW;6;135;-225.00;-112.50;50;-0.42179992;0.64289990;24.00;0.030925;0.018953;-0.41995000;0.63064990;24.01;0.052861;-0.007732
CCW;7;67.5;-292.50;-67.50;50;-0.42419996;0.64250000;24.00;0.024639;0.000969;-0.42404980;0.63540000;24.00;0.058208;0.011106
CCW;8;292.5;-67.50;-67.50;50;-0.42194992;0.63374984;24.00;0.056128;-0.002864;-0.41940000;0.64259980;24.00;0.026182;0.014011
CCW;9;202.5;-157.50;-90.00;50;-0.41969996;0.63710000;24.00;0.050242;0.021301;-0.41530000;0.62855000;24.00;0.033403;-0.010071
CCW;10;112.5;-247.50;-90.00;50;-0.41774990;0.64829980;23.98;0.025466;0.014463;-0.42100008;0.63565000;23.97;0.056643;-0.002881
CW;11;157.5;-202.50;45.00;50;-0.42870000;0.63634990;23.99;0.034434;0.022239;-0.42105004;0.64504980;24.00;0.047502;-0.011401
CCW;12;45;-315.00;-112.50;50;-0.42729996;0.64375000;23.99;0.026616;-0.005396;-0.43614996;0.64304984;23.93;0.053655;0.016709
CW;13;135;-225.00;90.00;50;-0.41620000;0.63514990;23.93;0.030122;0.019583;-0.42304992;0.63665000;23.92;0.052449;-0.007849
CW;14;270;-90.00;135.00;50;-0.42175008;0.64164996;23.97;0.058809;0.003499;-0.42764990;0.64904976;23.91;0.023826;0.007146
CCW;15;112.5;-247.50;-157.50;50;-0.43599996;0.65219984;23.96;0.025845;0.013914;-0.41915000;0.64135004;23.89;0.057004;-0.003210
CCW;16;0;-360.00;-112.50;50;-0.41950000;0.64959984;23.95;0.038865;-0.012319;-0.42594996;0.64484984;23.92;0.043823;0.023169
CW;17;45;-315.00;45.00;50;-0.42924988;0.63389984;23.93;0.025920;-0.005137;-0.41854990;0.64149976;23.89;0.054622;0.016672
CCW;18;270;-90.00;-90.00;50;-0.42069996;0.65059990;23.90;0.058040;0.003850;-0.42214990;0.64804980;23.89;0.023884;0.007012
CW;19;270;-90.00;0.00;50;-0.42124996;0.64565000;23.94;0.058394;0.003589;-0.41565000;0.64925004;23.90;0.023618;0.007036
CCW;20;112.5;-247.50;-157.50;50;-0.42645000;0.64784980;23.80;0.026099;0.014072;-0.42104990;0.65990020;23.81;0.056726;-0.003215
CW;21;202.5;-157.50;90.00;50;-0.42175008;0.65029990;23.82;0.050068;0.021177;-0.42084992;0.64799970;23.83;0.033882;-0.010261
CW;22;202.5;-157.50;0.00;50;-0.42329996;0.64500000;23.80;0.051047;0.020874;-0.41475000;0.64829990;23.82;0.032710;-0.010344
CW;23;337.5;-22.50;135.00;50;-0.41645016;0.65659990;23.85;0.045981;-0.011909;-0.42014990;0.65734992;23.84;0.035935;0.022466
