azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;50;-0,31368600;-0,30515304;-0,00853297;0,65795400;0,65736900;0,00058496;-0,01536490;0,11705024;-0,13241514;-0,02673325;0,01569243;-0,04242568
22,5;50;-0,31210100;-0,30650502;-0,00559598;0,65517010;0,65485390;0,00031620;-0,01870176;0,11596073;-0,13466250;-0,00058711;-0,01026768;0,00968057
45;50;-0,31180108;-0,30544604;-0,00635505;0,65919600;0,65266610;0,00652993;-0,01184971;0,10886562;-0,12071534;0,02486826;-0,03561568;0,06048394
67,5;50;-0,30938306;-0,30818300;-0,00120005;0,66032390;0,65226808;0,00805587;0,00456416;0,09276465;-0,08820050;0,04566245;-0,05638242;0,10204487
90;50;-0,30589108;-0,30737296;0,00148189;0,66098110;0,65359884;0,00738227;0,02729677;0,06985092;-0,04255415;0,05872755;-0,06946812;0,12819568
112,5;50;-0,30901004;-0,31095404;0,00194401;0,65907808;0,65503496;0,00404310;0,05395718;0,04391440;0,01004277;0,06192993;-0,07273369;0,13466361
135;50;-0,30705004;-0,31285404;0,00580400;0,65982990;0,65405200;0,00577790;0,07890812;0,01834936;0,06055875;0,05495713;-0,06581260;0,12076974
157,5;50;-0,30503704;-0,31442708;0,00939003;0,65845000;0,65626216;0,00218785;0,09999078;-0,00230361;0,10229439;0,03877334;-0,04967495;0,08844828
180;50;-0,30771204;-0,31466304;0,00695100;0,65651892;0,65761304;-0,00109410;0,11290943;-0,01556528;0,12847471;0,01573315;-0,02675225;0,04248540
202,5;50;-0,30670106;-0,31234300;0,00564194;0,65466220;0,65888304;-0,00422084;0,11593936;-0,01843228;0,13437164;-0,01038628;-0,00052026;-0,00986602
225;50;-0,30613304;-0,31145400;0,00532097;0,65169800;0,65887796;-0,00717998;0,10923413;-0,01154966;0,12078379;-0,03576133;0,02496343;-0,06072476
247,5;50;-0,30997202;-0,30905804;-0,00091398;0,65283890;0,65993196;-0,00709307;0,09303335;0,00476680;0,08826655;-0,05647358;0,04582588;-0,10229946
270;50;-0,31029204;-0,30813500;-0,00215703;0,65183200;0,65944404;-0,00761205;0,07014229;0,02763032;0,04251197;-0,06943770;0,05904824;-0,12848595
292,5;50;-0,31010800;-0,30744502;-0,00266299;0,65324208;0,66064000;-0,00739795;0,04404888;0,05425499;-0,01020611;-0,07270991;0,06230972;-0,13501963
315;50;-0,31175202;-0,30555904;-0,00619298;0,65542300;0,65997184;-0,00454885;0,01831733;0,08017486;-0,06185753;-0,06584580;0,05514273;-0,12098852
337,5;50;-0,31291700;-0,30483004;-0,00808695;0,65417404;0,65702200;-0,00284797;-0,00209321;0,10167062;-0,10376382;-0,04965289;0,03887476;-0,08852765
