cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;axA;ayA;xC;yC;axC;ayC
1;45;45.00;45.00;50;-0.23884992;0.38910004;0.014358;0.011592;-0.22329992;0.38009984;0.070696;-0.026184
2;270;-90.00;-135.00;50;-0.23359984;0.38394996;0.076963;-0.000659;-0.22990000;0.38079984;0.008792;-0.013784
3;180;-180.00;-90.00;50;-0.22334992;0.37594990;0.049492;-0.040896;-0.23644990;0.37389996;0.036323;0.026113
4;22.5;-337.50;-157.50;50;-0.23104996;0.38684992;0.028625;0.020979;-0.22684994;0.37295000;0.061328;-0.035417
5;225;-135.00;-135.00;50;-0.21769992;0.38114990;0.072188;-0.026372;-0.22365000;0.37005004;0.016216;0.011475
6;157.5;-202.50;-67.50;50;-0.23904996;0.37409980;0.037083;-0.040342;-0.23074996;0.37899984;0.050715;0.026118
7;202.5;-157.50;45.00;50;-0.22245008;0.38019984;0.062407;-0.035745;-0.22694996;0.38509984;0.023240;0.020637
8;247.5;-112.50;45.00;50;-0.22120000;0.38075000;0.077070;-0.014194;-0.23714994;0.38329992;0.010271;-0.001167
9;315;-45.00;67.50;50;-0.22419996;0.38739992;0.062466;0.020764;-0.23234994;0.37039990;0.023171;-0.036082
10;337.5;-22.50;22.50;50;-0.23724990;0.38124984;0.049089;0.025337;-0.22990004;0.36759990;0.037214;-0.041594
11;90;90.00;112.50;50;-0.22359998;0.38315010;0.009875;-0.014253;-0.22645002;0.38469980;0.076143;-0.000923
12;67.5;67.50;-22.50;50;-0.23434992;0.37819984;0.011580;-0.000950;-0.22414996;0.37924992;0.073667;-0.014714
13;112.5;112.50;45.00;50;-0.22660002;0.36669992;0.013882;-0.026689;-0.23179990;0.37519988;0.069707;0.011362
14;292.5;-67.50;-180.00;50;-0.23519992;0.37580000;0.073833;0.011362;-0.22719994;0.35859992;0.015051;-0.026809
15;135;-225.00;-157.50;50;-0.22165004;0.36564990;0.023545;-0.035520;-0.23349992;0.37154984;0.063259;0.020261
16;0;-360.00;-135.00;50;-0.22030004;0.36100004;0.038911;0.025601;-0.22379996;0.36385000;0.049463;-0.041113
17;202.5;-157.50;-157.50;50;-0.22430002;0.36365016;0.062207;-0.036062;-0.22564990;0.37249988;0.024265;0.021079
18;225;-135.00;22.50;50;-0.21675000;0.37964988;0.070911;-0.026724;-0.23974996;0.37114980;0.014109;0.011514
19;315;-45.00;90.00;50;-0.22844996;0.38530000;0.062842;0.020007;-0.22639992;0.35755004;0.024524;-0.035657
20;180;-180.00;-135.00;50;-0.22795002;0.36464992;0.050459;-0.041099;-0.23074996;0.36415004;0.033972;0.025864
21;90;-270.00;-90.00;50;-0.22949996;0.37079990;0.010649;-0.013865;-0.23060000;0.38599992;0.076560;-0.001606
22;247.5;-112.50;157.50;50;-0.22359996;0.37979980;0.077925;-0.014683;-0.23335000;0.37500000;0.008799;-0.000273
23;292.5;-67.50;45.00;50;-0.23199984;0.36814990;0.070911;0.010896;-0.22394996;0.36800004;0.013113;-0.025925
24;45;45.00;112.50;50;-0.22594998;0.35970004;0.013525;0.011890;-0.22485004;0.36689992;0.067615;-0.027024
25;22.5;22.50;-22.50;50;-0.21960002;0.36189996;0.026252;0.020806;-0.22389998;0.36754992;0.059976;-0.036655
26;337.5;-22.50;-45.00;50;-0.22170000;0.35715004;0.049226;0.025283;-0.22374998;0.36504990;0.034292;-0.041006
27;67.5;67.50;90.00;50;-0.23999992;0.36025004;0.010728;-0.000674;-0.21380000;0.35450010;0.075342;-0.014685
28;0;0.00;-67.50;50;-0.22659994;0.34425000;0.036074;0.025989;-0.20764996;0.36164996;0.047234;-0.041182
29;112.5;112.50;112.50;50;-0.22974994;0.35330012;0.013662;-0.025994;-0.21719996;0.36100010;0.070735;0.010137
30;270;270.00;157.50;50;-0.21535006;0.34450000;0.075703;-0.002156;-0.21810000;0.35685004;0.008975;-0.013992
31;157.5;157.50;-112.50;50;-0.22225008;0.34449996;0.035544;-0.041147;-0.23044992;0.36090000;0.049976;0.025288
32;135;135.00;-22.50;50;-0.21619996;0.35855010;0.023040;-0.035859;-0.21865000;0.36030010;0.060117;0.020132
33;225;225.00;90.00;50;-0.22824998;0.35340004;0.068369;-0.027578;-0.22140000;0.34560010;0.014294;0.011113
34;135;135.00;-90.00;50;-0.22655002;0.34324984;0.024023;-0.036074;-0.21880006;0.37374970;0.062424;0.020344
35;22.5;22.50;-112.50;50;-0.21385002;0.36259990;0.026187;0.020762;-0.21080002;0.34995000;0.060884;-0.036443
