smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;12;-0,28053334;-0,27594168;-0,00459167;0,50258744;0,49742492;0,00516251;25,90;25,89;0,01;0,05163941;0,03952860;0,01211080;0,00495158;-0,01439474;0,01934631
CCW;22,5;16;-0,27604690;-0,27446562;-0,00158128;0,49888744;0,49384676;0,00504071;26,03;26,04;-0,00;0,05622833;0,03585617;0,02037216;0,00173279;-0,01129501;0,01302780
CCW;45;20;-0,27879500;-0,27516502;-0,00362998;0,50169500;0,49443500;0,00725999;25,99;25,98;0,01;0,05763183;0,03427197;0,02335986;-0,00259082;-0,00690405;0,00431323
CCW;67,5;19;-0,28024474;-0,27636316;-0,00388157;0,50275510;0,49613416;0,00662094;25,98;25,98;-0,00;0,05783564;0,03474159;0,02309405;-0,00716771;-0,00232692;-0,00484079
CCW;90;16;-0,27456248;-0,27482816;0,00026569;0,50067176;0,49342500;0,00724676;25,98;25,98;0,00;0,05567688;0,03697769;0,01869918;-0,01146774;0,00186905;-0,01333679
CCW;112,5;22;-0,27353410;-0,27890004;0,00536594;0,50425910;0,49718860;0,00707051;25,96;25,96;-0,00;0,05231324;0,04044755;0,01186569;-0,01463335;0,00517079;-0,01980413
CCW;135;16;-0,27390626;-0,28035630;0,00645003;0,50115936;0,49696870;0,00419068;25,96;25,97;-0,00;0,04799027;0,04450592;0,00348435;-0,01631241;0,00692184;-0,02323425
CCW;157,5;17;-0,27144116;-0,27820298;0,00676182;0,49773524;0,49660872;0,00112653;25,98;25,98;-0,00;0,04374770;0,04925149;-0,00550378;-0,01610811;0,00682431;-0,02293242
CCW;180;10;-0,27059498;-0,27433500;0,00374001;0,50394500;0,50097496;0,00297004;25,97;25,96;0,01;0,03959204;0,05292725;-0,01333521;-0,01470581;0,00495898;-0,01966479
CCW;202,5;14;-0,27722502;-0,27986070;0,00263569;0,50128216;0,50357140;-0,00228924;25,94;25,94;-0,01;0,03554269;0,05567836;-0,02013567;-0,01121948;0,00181937;-0,01303885
CCW;225;15;-0,28017332;-0,28623668;0,00606334;0,51285992;0,51596660;-0,00310665;25,81;25,82;-0,00;0,03489176;0,05845524;-0,02356347;-0,00702002;-0,00229606;-0,00472396
CCW;247,5;16;-0,27402192;-0,27845314;0,00443122;0,49302500;0,50181870;-0,00879374;25,98;25,98;-0,00;0,03488693;0,05872772;-0,02384079;-0,00219330;-0,00695862;0,00476532
CCW;270;15;-0,27740000;-0,27826004;0,00086007;0,49799330;0,50385990;-0,00586659;25,98;25,98;-0,00;0,03662663;0,05658838;-0,01996176;0,00193245;-0,01113558;0,01306803
