smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;225;-135.00;-135.00;50;-0.38309992;0.62795010;25.23;0.035305;-0.007637;-0.36160000;0.62170000;25.30;0.058462;-0.001582
CW;2;270;-90.00;45.00;50;-0.35004988;0.58495010;25.30;0.037551;0.001311;-0.34684990;0.59039990;25.34;0.058123;-0.010432
CW;3;337.5;-22.50;67.50;50;-0.32145004;0.56595004;25.38;0.049248;0.007668;-0.31089990;0.54545016;25.47;0.045171;-0.016401
CCW;4;202.5;-157.50;-135.00;50;-0.30654994;0.54260016;25.48;0.037327;-0.011882;-0.30620006;0.54060024;25.58;0.056726;0.002490
CW;5;202.5;-157.50;0.00;50;-0.28470010;0.52070000;25.60;0.036162;-0.011858;-0.29310010;0.52960000;25.59;0.057915;0.002544
CCW;6;180;-180.00;-22.50;50;-0.27909996;0.51859990;25.60;0.038591;-0.015149;-0.28830008;0.50719976;25.63;0.051943;0.005134
CCW;7;45;-315.00;-135.00;50;-0.27990004;0.50959984;25.64;0.058237;-0.001765;-0.26420010;0.51524980;25.62;0.034114;-0.007874
CW;8;180;-180.00;135.00;50;-0.27310002;0.50724996;25.69;0.040635;-0.014653;-0.27869996;0.50479984;25.66;0.053965;0.005476
CCW;9;112.5;-247.50;-67.50;50;-0.26130006;0.51679980;25.63;0.053545;-0.014465;-0.25675000;0.50319992;25.62;0.041509;0.004346
CCW;10;315;-45.00;-45.00;50;-0.26879996;0.51119990;25.73;0.043376;0.006807;-0.25485004;0.51679990;25.73;0.049749;-0.016604
CCW;11;225;-135.00;-90.00;50;-0.26235000;0.51799976;25.72;0.034814;-0.008054;-0.27144998;0.51999984;25.80;0.058757;-0.001953
CW;12;337.5;-22.50;112.50;50;-0.26079996;0.51644976;25.79;0.049382;0.006741;-0.27119994;0.50784976;25.80;0.046731;-0.016550
CCW;13;225;-135.00;-112.50;50;-0.25675000;0.50864990;25.80;0.034268;-0.007817;-0.27039996;0.51819984;25.80;0.057795;-0.001785
CCW;14;180;-180.00;-45.00;50;-0.26139990;0.51559990;25.80;0.039165;-0.015708;-0.26105004;0.50964992;25.80;0.053525;0.005398
CCW;15;22.5;-337.50;-157.50;50;-0.27175004;0.52019990;25.80;0.056226;0.002251;-0.25770006;0.50939984;25.80;0.035547;-0.012058
CW;16;45;-315.00;22.50;50;-0.25985008;0.51899980;25.81;0.057754;-0.001731;-0.26335008;0.51344984;25.80;0.034307;-0.007598
CW;17;157.5;-202.50;112.50;50;-0.25575000;0.50890000;25.84;0.045466;-0.016528;-0.26214992;0.52164996;25.84;0.050388;0.007534
CW;18;292.5;-67.50;135.00;50;-0.26460000;0.49530016;25.85;0.040405;0.004609;-0.26049998;0.51754976;25.83;0.053960;-0.014570
CW;19;22.5;22.50;90.00;50;-0.28090004;0.51734984;25.94;0.057085;0.002373;-0.26620000;0.51524984;25.91;0.038157;-0.011768
CCW;20;315;-45.00;-67.50;50;-0.24925002;0.51274990;25.89;0.043931;0.006843;-0.26690000;0.51409996;25.91;0.049475;-0.016497
CCW;21;135;-225.00;-180.00;50;-0.25460000;0.51995000;25.96;0.048608;-0.016675;-0.26125010;0.51154980;25.92;0.043032;0.006990
CCW;22;0;-360.00;-135.00;50;-0.25880010;0.53000000;25.95;0.051819;0.004846;-0.25365000;0.51474980;25.98;0.041272;-0.014504
CW;23;157.5;-202.50;157.50;50;-0.25349996;0.51874984;25.98;0.044595;-0.017068;-0.25980004;0.53280000;25.96;0.049143;0.007021
CW;24;292.5;-67.50;135.00;50;-0.26814994;0.50639990;25.98;0.042344;0.004714;-0.25905008;0.51604980;25.95;0.053032;-0.014287
CW;25;0;0.00;67.50;50;-0.26404998;0.51699984;26.03;0.052563;0.004963;-0.25014996;0.51939990;25.97;0.039438;-0.015354
CCW;26;337.5;-22.50;-22.50;50;-0.26125014;0.51369990;26.07;0.049519;0.006587;-0.24710008;0.52014992;26.01;0.045371;-0.016492
CCW;27;180;-180.00;-157.50;50;-0.26120000;0.52134996;26.03;0.040483;-0.015508;-0.24770000;0.50319990;26.02;0.053845;0.005132
CCW;28;67.5;-292.50;-112.50;50;-0.26854996;0.52610000;26.05;0.059248;-0.006816;-0.26135004;0.51879996;26.04;0.034778;-0.003677
