smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;6;-0,46680824;-0,46369156;-0,00311667;0,6570333;0,66035836;-0,00332505;22,98;22,98;0;0,06056641;0,01901245;0,04155396;0,01924805;-0,00678833;0,02603638
CCW;10;2;-0,46197504;-0,4631248;0,00114977;0,63084996;0,6317;-0,00085002;23,41;23,4;0;0,06229858;0,0153772;0,04692139;0,0142688;-0,0024353;0,0167041
CCW;20;8;-0,4683062;-0,46589992;-0,00240624;0,64973752;0,6499125;-0,00017494;23,13;23,14;-0,01;0,06424865;0,01545532;0,04879333;0,01080322;0,00135742;0,0094458
CCW;30;7;-0,46841416;-0,46219276;-0,00622138;0,6632786;0,66360724;-0,00032866;22,88;22,86;0,02;0,0649449;0,01570208;0,04924282;0,00641915;0,00608782;0,00033133
CCW;40;6;-0,46866656;-0,45709988;-0,01156667;0,65928332;0,6470917;0,01219165;23,08;23,09;0;0,06457683;0,01573934;0,04883749;0,00190063;0,01002889;-0,00812826
CCW;50;4;-0,46581236;-0,4589749;-0,00683746;0,64538752;0,63943744;0,00595009;23,18;23,21;-0,03;0,06314331;0,01596619;0,04717713;-0,0021814;0,01400085;-0,01618225
CCW;60;6;-0,4643332;-0,46431648;-0,00001675;0,64910836;0,64426668;0,00484169;23,11;23,12;-0,01;0,06172078;0,01811483;0,04360595;-0,0061084;0,01849202;-0,02460042
CCW;70;7;-0,46302844;-0,4621356;-0,00089285;0,65830716;0,65237856;0,00592858;23,01;22,99;0,02;0,05950091;0,02040876;0,03909215;-0,00964634;0,02185233;-0,03149867
CCW;80;10;-0,4684899;-0,46399992;-0,00448996;0,64821004;0,64842;-0,00020993;23,15;23,16;0;0,05658814;0,02400806;0,03258008;-0,01292188;0,02521655;-0,03813843
CCW;90;8;-0,46772496;-0,46601236;-0,00171259;0,66391876;0,6611501;0,00276864;22,91;22,88;0,03;0,0532669;0,02783081;0,02543609;-0,01517029;0,02795441;-0,04312469
CCW;100;2;-0,4622749;-0,46664984;0,00437492;0,66150016;0,6575001;0,00400007;22,95;22,91;0,04;0,04865723;0,03264404;0,01601318;-0,01721069;0,02975464;-0,04696533
CCW;110;10;-0,46402496;-0,46911496;0,00509;0,65649;0,65777004;-0,00128001;22,98;22,98;0;0,044552;0,03577685;0,00877515;-0,01821948;0,03088818;-0,04910766
CCW;120;10;-0,4641749;-0,46743492;0,00326005;0,65707;0,6546451;0,0024249;23,01;23,03;-0,01;0,04039184;0,04003442;0,00035742;-0,01870337;0,03122681;-0,04993018
CCW;130;7;-0,4667785;-0,47028568;0,0035072;0,6595357;0,6545142;0,00502151;23;22,98;0,02;0,03575823;0,04446673;-0,0087085;-0,01818743;0,03087577;-0,0490632
CCW;140;7;-0,462207;-0,4683999;0,00619292;0,6479642;0,6517642;-0,00380003;23,11;23,12;-0,01;0,03187953;0,04871896;-0,01683943;-0,017372;0,02970982;-0,04708182
CCW;150;10;-0,46180992;-0,46838992;0,00658;0,641295;0,641415;-0,00011998;23,23;23,25;-0,01;0,02755688;0,05270337;-0,02514648;-0,01546826;0,02764136;-0,04310962
CCW;160;4;-0,4591374;-0,4711374;0,01200002;0,6690749;0,6709374;-0,00186253;22,81;22,79;0,02;0,02473633;0,05684082;-0,03210449;-0,01246094;0,02577881;-0,03823975
CCW;170;7;-0,46069272;-0,46829992;0,00760719;0,67133576;0,6665215;0,00481427;22,79;22,78;0,01;0,02155064;0,06008196;-0,03853132;-0,00956648;0,02263393;-0,0322004
CCW;180;8;-0,4612624;-0,46869988;0,00743747;0,65503124;0,65623116;-0,0011999;23,02;23,01;0,01;0,01876129;0,06179596;-0,04303467;-0,00621155;0,01893433;-0,02514588
CCW;190;8;-0,467225;-0,46896868;0,00174367;0,66503124;0,6669875;-0,00195622;22,86;22,86;-0,01;0,0171106;0,06467835;-0,04756776;-0,00231659;0,01515076;-0,01746735
