smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CCW;1;340;-20.00;-20.00;50;-0.46089990;0.69034992;22.30;0.058813;0.025867;-0.46169990;0.69240000;22.30;0.027085;-0.013323
CW;2;120;120.00;140.00;50;-0.45769996;0.70100016;22.29;0.041594;-0.017988;-0.46944996;0.70410016;22.30;0.041858;0.031152
CW;3;200;200.00;80.00;50;-0.47195000;0.70190000;22.31;0.017664;0.002185;-0.46880000;0.70010020;22.31;0.066545;0.011755
CW;4;340;340.00;140.00;50;-0.47270010;0.69335016;22.29;0.058633;0.026462;-0.45704980;0.69120030;22.30;0.028113;-0.013188
CW;5;150;150.00;150.00;50;-0.46459980;0.69050020;22.32;0.029819;-0.015627;-0.46199990;0.69170000;22.31;0.054958;0.028296
CW;6;210;210.00;60.00;50;-0.46539976;0.68650000;22.31;0.017637;0.006624;-0.46310000;0.70395000;22.34;0.066101;0.007703
CW;7;270;270.00;60.00;50;-0.46654996;0.69244990;22.30;0.031155;0.028267;-0.47870020;0.69410016;22.30;0.057747;-0.014219
CCW;8;190;190.00;-80.00;50;-0.46555004;0.69984990;22.32;0.016875;-0.002605;-0.47049988;0.70190024;22.32;0.067029;0.015686
CW;9;310;310.00;120.00;50;-0.45320000;0.69440024;22.33;0.046118;0.031523;-0.47615008;0.69520016;22.35;0.038533;-0.017961
CCW;10;260;260.00;-50.00;50;-0.46084988;0.69394990;22.32;0.025725;0.025757;-0.47265010;0.70455010;22.30;0.060100;-0.012178
CCW;11;190;190.00;-70.00;50;-0.47870010;0.68979980;22.31;0.018818;-0.002214;-0.45944992;0.69845010;22.33;0.066379;0.015703
CCW;12;130;130.00;-60.00;50;-0.46274980;0.69674990;22.40;0.036089;-0.017473;-0.48100020;0.68545016;22.32;0.046101;0.031492
CCW;13;320;-40.00;-170.00;50;-0.47615010;0.69250024;22.30;0.049661;0.030737;-0.47254996;0.69960016;22.32;0.032251;-0.016624
CW;14;330;-30.00;10.00;50;-0.46434980;0.69235000;22.34;0.052795;0.028804;-0.47025000;0.69265010;22.31;0.029026;-0.014998
CCW;15;160;-200.00;-170.00;50;-0.46379984;0.69779990;22.36;0.024836;-0.011792;-0.47715000;0.69515020;22.31;0.056909;0.026299
CCW;16;120;-240.00;-40.00;50;-0.47080004;0.69415010;22.30;0.040918;-0.018064;-0.47865010;0.69240000;22.31;0.040703;0.031736
CW;17;290;-70.00;170.00;50;-0.46584996;0.69950016;22.30;0.036899;0.031646;-0.46434984;0.69174990;22.30;0.044595;-0.018064
CW;18;100;100.00;170.00;50;-0.46774984;0.69575010;22.30;0.051282;-0.017090;-0.46444996;0.69484990;22.31;0.034238;0.030562
