smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;13;-0,27384228;-0,25943846;-0,01440382;0,39486544;0,39791160;-0,00304613;27,45;27,45;0,00;-0,20532490;0,29011304;-0,49543792;0,00189340;-0,01189322;0,01378662
CCW;22,5;14;-0,26951430;-0,26029644;-0,00921786;0,39801790;0,39455360;0,00346431;27,47;27,45;0,01;-0,18278670;0,26763064;-0,45041732;0,09740828;-0,10711688;0,20452516
CCW;45;17;-0,27099412;-0,25841176;-0,01258236;0,40239124;0,39522652;0,00716472;27,41;27,41;-0,00;-0,12747542;0,21252600;-0,34000140;0,17549546;-0,18583668;0,36133212
CCW;67,5;9;-0,27154446;-0,26410556;-0,00743890;0,41095564;0,39335560;0,01760006;27,41;27,42;-0,01;-0,04494141;0,13131374;-0,17625516;0,22667860;-0,23672470;0,46340328
CCW;90;17;-0,26535296;-0,26492646;-0,00042650;0,40417060;0,38711770;0,01705289;27,48;27,48;0,01;0,05016918;0,03459745;0,01557172;0,24267190;-0,25303224;0,49570416
CCW;112,5;15;-0,26072670;-0,26490000;0,00417331;0,40722344;0,39191004;0,01531339;27,46;27,47;-0,01;0,14516602;-0,05950635;0,20467236;0,22101336;-0,23108316;0,45209652
CCW;135;16;-0,26026878;-0,26874684;0,00847808;0,40159384;0,39082504;0,01076883;27,48;27,47;0,01;0,22285446;-0,13761490;0,36046936;0,16454544;-0,17495192;0,33949740
CCW;157,5;17;-0,26064414;-0,26756766;0,00692353;0,40254128;0,39438830;0,00815299;27,42;27,40;0,02;0,27415338;-0,18858886;0,46274224;0,08337833;-0,09369128;0,17706960
CCW;180;13;-0,26111536;-0,26808076;0,00696540;0,40106930;0,39772700;0,00334230;27,40;27,42;-0,01;0,28967398;-0,20457462;0,49424860;-0,01146672;0,00092961;-0,01239633
CCW;202,5;12;-0,25518754;-0,26922496;0,01403743;0,39529172;0,40016256;-0,00487083;27,44;27,45;-0,01;0,26787804;-0,18327900;0,45115704;-0,10701740;0,09720398;-0,20422138
