smer;cyklus;cilovy_azimut;skutecne_natoceni;jump_deg;trim;xA;yA;tA;axA;ayA;xC;yC;tC;axC;ayC
CW;1;135;135.00;135.00;50;-0.24874992;0.38039988;27.90;0.219985;0.167502;-0.26555002;0.36544992;27.90;-0.136479;-0.179004
CW;2;270;270.00;135.00;50;-0.25339996;0.36624996;27.85;0.037329;-0.254834;-0.25840004;0.38635000;27.84;0.045671;0.243689
CCW;3;90;90.00;-180.00;50;-0.25840014;0.38074972;27.84;0.045933;0.243086;-0.26330004;0.35675008;27.81;0.037524;-0.254482
CW;4;90;90.00;0.00;50;-0.24704998;0.37514984;27.82;0.044421;0.242832;-0.26115010;0.36955000;27.87;0.038145;-0.254900
CW;5;180;180.00;90.00;50;-0.26020000;0.37265000;27.80;0.289897;-0.009502;-0.26135010;0.37030004;27.75;-0.206072;-0.001814
CCW;6;0;0.00;-180.00;50;-0.26714996;0.38329984;27.75;-0.207349;-0.002002;-0.24630000;0.38059984;27.76;0.290413;-0.008730
CW;7;112.5;112.50;112.50;50;-0.26280004;0.39365004;27.71;0.142957;0.222988;-0.27199992;0.36959992;27.70;-0.057815;-0.234434
CCW;8;45;45.00;-67.50;50;-0.26405008;0.38574990;27.68;-0.132073;0.173032;-0.26055004;0.38224996;27.68;0.214519;-0.184253
CW;9;180;180.00;135.00;50;-0.25105004;0.38494984;27.66;0.289846;-0.009583;-0.26460004;0.38194984;27.65;-0.205913;-0.001833
CW;10;202.5;202.50;22.50;50;-0.25490010;0.39210010;27.76;0.267231;-0.104243;-0.27469996;0.37734992;27.64;-0.185332;0.092937
CW;11;247.5;247.50;45.00;50;-0.26125010;0.36524992;27.60;0.134666;-0.236738;-0.25545012;0.39345004;27.60;-0.050107;0.225837
CCW;12;135;135.00;-112.50;50;-0.26115006;0.40060008;27.60;0.220286;0.167266;-0.27714992;0.38534992;27.60;-0.136682;-0.179153
CW;13;270;270.00;135.00;50;-0.26910000;0.38599996;27.61;0.038035;-0.254480;-0.26600016;0.39175004;27.59;0.045876;0.243030
CW;14;337.5;337.50;67.50;50;-0.26989996;0.39404988;27.60;-0.189719;-0.097241;-0.26899996;0.38955004;27.60;0.271221;0.086550
CW;15;67.5;67.50;67.50;50;-0.26874992;0.40335008;27.58;-0.051675;0.225808;-0.25690008;0.38340004;27.57;0.140527;-0.236377
CCW;16;292.5;-67.50;-135.00;50;-0.26494998;0.37774984;27.55;-0.053013;-0.233911;-0.25275000;0.38119996;27.58;0.131990;0.222571
CW;17;45;45.00;112.50;50;-0.26860002;0.40445020;27.59;-0.130928;0.173103;-0.26035010;0.38594996;27.53;0.214023;-0.183955
CCW;18;337.5;-22.50;-67.50;50;-0.25915004;0.38840000;27.50;-0.182825;-0.097378;-0.25160004;0.41370020;27.45;0.277778;0.085889
CCW;19;180;-180.00;-157.50;50;-0.24945010;0.39710010;27.55;0.290381;-0.008972;-0.26729996;0.38649996;27.50;-0.205581;-0.002031
CW;20;202.5;-157.50;22.50;50;-0.24905002;0.38980008;27.48;0.267126;-0.104475;-0.25670000;0.39474992;27.47;-0.188054;0.093855
CW;21;315;-45.00;112.50;50;-0.27104996;0.39680012;27.44;-0.136440;-0.178604;-0.26505000;0.40070012;27.51;0.220654;0.167610
CW;22;337.5;-22.50;22.50;50;-0.26739996;0.39234996;27.49;-0.190125;-0.097192;-0.26345006;0.39365008;27.42;0.272527;0.086370
CCW;23;157.5;-202.50;-180.00;50;-0.26659996;0.40395012;27.50;0.276299;0.085515;-0.27370004;0.39705016;27.40;-0.193054;-0.096790
CW;24;247.5;-112.50;90.00;50;-0.26480004;0.38805004;27.37;0.135103;-0.236926;-0.27764996;0.40575004;27.39;-0.047551;0.225891
CW;25;337.5;-22.50;90.00;50;-0.28580004;0.39005004;27.39;-0.189487;-0.096855;-0.25110000;0.40615012;27.36;0.284485;0.086213
CCW;26;315;-45.00;-22.50;50;-0.26884996;0.39095008;27.41;-0.135510;-0.179187;-0.26700008;0.41285016;27.44;0.219995;0.168430
CCW;27;270;-90.00;-45.00;50;-0.26689996;0.38860000;27.39;0.037786;-0.254358;-0.27884996;0.40715012;27.42;0.046008;0.243230
CCW;28;135;-225.00;-135.00;50;-0.26505004;0.39305004;27.42;0.220383;0.167231;-0.27729996;0.39550000;27.39;-0.136091;-0.178645
CW;29;135;-225.00;0.00;50;-0.26895004;0.41525008;27.47;0.221306;0.167905;-0.28615008;0.39335010;27.45;-0.135024;-0.179216
CW;30;247.5;-112.50;112.50;50;-0.26320004;0.39510000;27.35;0.130515;-0.237100;-0.28065008;0.40490012;27.32;-0.046082;0.225771
CW;31;337.5;-22.50;90.00;50;-0.28175002;0.40295016;27.35;-0.185850;-0.096755;-0.26290004;0.41305012;27.38;0.281562;0.085889
CW;32;90;90.00;112.50;50;-0.27429992;0.41640004;27.35;0.047205;0.243162;-0.28124996;0.39130008;27.33;0.038796;-0.253860
CW;33;247.5;247.50;157.50;50;-0.27085000;0.40625030;27.37;0.134590;-0.236851;-0.26839992;0.40160020;27.32;-0.048865;0.226133
