smer;azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;tA_prumer;tC_prumer;difft_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
CCW;0;9;-0,44302770;-0,45056104;0,00753334;0,53467780;0,53335560;0,00132221;25,30;25,32;-0,02;0,03744982;0,03622721;0,00122261;0,04047553;-0,03052219;0,07099772
CCW;10;6;-0,45194160;-0,45337500;0,00143340;0,53403330;0,53534176;-0,00130844;25,34;25,33;0,01;0,04322225;0,02975545;0,01346680;0,03993774;-0,02985148;0,06978922
CCW;20;8;-0,44447500;-0,44879364;0,00431865;0,53838752;0,53968140;-0,00129384;25,31;25,30;0,01;0,04955414;0,02439819;0,02515594;0,03809784;-0,02826813;0,06636596
CCW;30;6;-0,44425000;-0,44999992;0,00574994;0,53474170;0,53765004;-0,00290835;25,38;25,37;0,01;0,05535970;0,01843018;0,03692952;0,03546224;-0,02564046;0,06110270
CCW;40;6;-0,44434168;-0,45054992;0,00620827;0,53045004;0,53206664;-0,00161660;25,39;25,37;0,03;0,05980998;0,01291992;0,04689006;0,03213948;-0,02191650;0,05405599
CCW;50;6;-0,44874992;-0,45701660;0,00826666;0,53904176;0,53693350;0,00210828;25,27;25,21;0,06;0,06392008;0,00896444;0,05495564;0,02698608;-0,01732340;0,04430949
CCW;60;5;-0,44227996;-0,45089992;0,00861996;0,52430000;0,52773000;-0,00343001;25,46;25,42;0,05;0,06694775;0,00582227;0,06112548;0,02235596;-0,01244873;0,03480469
CCW;70;3;-0,44896652;-0,45238324;0,00341672;0,54266670;0,54345008;-0,00078338;25,26;25,25;0,00;0,06990072;0,00343669;0,06646403;0,01646321;-0,00661947;0,02308268
CCW;80;3;-0,45193324;-0,44949992;-0,00243333;0,53489996;0,53683332;-0,00193340;25,28;25,23;0,04;0,07122314;0,00210531;0,06911784;0,01031087;-0,00072998;0,01104085
CCW;90;8;-0,44576868;-0,44683744;0,00106874;0,52779376;0,53657500;-0,00878125;25,35;25,34;0,01;0,07190521;0,00161560;0,07028961;0,00430634;0,00556213;-0,00125580
