azimut;n;xA_prumer;xC_prumer;diffx_prumer;yA_prumer;yC_prumer;diffy_prumer;axA_prumer;axC_prumer;diffax_prumer;ayA_prumer;ayC_prumer;diffay_prumer
0;50;-0,30208892;-0,29866096;-0,00342795;0,64750010;0,64266720;0,00483292;0,06834478;0,03066035;0,03768443;0,00467632;-0,01393008;0,01860640
22,5;50;-0,30046996;-0,29707192;-0,00339803;0,64642716;0,64591308;0,00051409;0,06986108;0,02803336;0,04182773;-0,00344687;-0,00615425;0,00270737
45;50;-0,29925396;-0,29778802;-0,00146595;0,64779716;0,64502116;0,00277603;0,06907681;0,02939478;0,03968203;-0,01176167;0,00208633;-0,01384800
67,5;50;-0,29807090;-0,29888090;0,00081000;0,64790210;0,64563200;0,00227004;0,06492466;0,03349512;0,03142954;-0,01908101;0,00931987;-0,02840088
90;50;-0,29823200;-0,30084792;0,00261593;0,64819500;0,64383804;0,00435698;0,05855670;0,04011352;0,01844318;-0,02416162;0,01436084;-0,03852246
112,5;50;-0,29809898;-0,30192696;0,00382799;0,64875008;0,64505904;0,00369102;0,05034214;0,04796747;0,00237466;-0,02634668;0,01655655;-0,04290323
135;50;-0,29695700;-0,30026194;0,00330496;0,64639590;0,64436304;0,00203288;0,04225268;0,05628996;-0,01403728;-0,02525669;0,01545630;-0,04071299
157,5;50;-0,29649996;-0,29975092;0,00325096;0,64472010;0,64443000;0,00029010;0,03516201;0,06345688;-0,02829487;-0,02103530;0,01128750;-0,03232280
180;50;-0,29498494;-0,29937196;0,00438702;0,64610000;0,64685510;-0,00075513;0,03026968;0,06821992;-0,03795025;-0,01434438;0,00469785;-0,01904224
202,5;50;-0,29718096;-0,30061590;0,00343496;0,64560104;0,64710700;-0,00150597;0,02747305;0,07046244;-0,04298940;-0,00628364;-0,00346138;-0,00282227
225;50;-0,29756796;-0,30048496;0,00291699;0,64181600;0,64883100;-0,00701499;0,02882016;0,06944858;-0,04062841;0,00175151;-0,01171245;0,01346397
247,5;50;-0,29932094;-0,29768490;-0,00163603;0,64208710;0,64698710;-0,00489998;0,03259516;0,06533878;-0,03274361;0,00905469;-0,01892739;0,02798208
270;50;-0,29981196;-0,29764996;-0,00216201;0,64356310;0,64796410;-0,00440103;0,03965048;0,05881308;-0,01916259;0,01434112;-0,02388462;0,03822574
292,5;50;-0,30116596;-0,29788592;-0,00328004;0,64331300;0,64568300;-0,00237000;0,04707583;0,05092681;-0,00385098;0,01647714;-0,02609248;0,04256963
315;50;-0,30034596;-0,29784888;-0,00249708;0,64329890;0,64455708;-0,00125813;0,05606231;0,04254644;0,01351587;0,01543477;-0,02488281;0,04031758
337,5;50;-0,30044292;-0,29733996;-0,00310299;0,64511300;0,64398896;0,00112402;0,06343374;0,03580821;0,02762554;0,01126631;-0,02063081;0,03189712
